"district","hour","rev5","rev1","rev2","rev3","rev4"
"001","4am",1080.2153,887.5654,977.01,1011.4117,873.8047
"002","4am",736.1977,605.471,1066.4546,1135.2581,722.437
"003","4am",784.3601,571.0692,1128.3777,1307.2669,577.9496
"004","4am",667.3941,756.8387,1169.6598,1692.5666,681.1548
"005","4am",770.5994,1506.7971,908.2065,584.8299,282.0944
"006","4am",729.3173,860.044,1217.8223,1389.8311,632.9924
"007","4am",729.3173,522.9068,1348.549,1527.4381,688.0352
"008","4am",646.7531,357.7783,1128.3777,1726.9684,1279.7455
"009","4am",956.3689,708.6763,1362.3097,1431.1132,722.437
"010","4am",846.2833,1417.3525,1272.8651,743.078,268.3337
"011","4am",715.5566,956.3689,1465.515,1087.0956,598.5906
"012","4am",681.1548,660.5138,1506.7971,1575.6006,564.1889
"013","4am",612.3513,454.1032,1286.6258,908.2065,309.6158
"014","4am",832.5226,722.437,1341.6686,1768.2505,825.6422
"015","4am",674.2745,694.9156,1444.8739,1589.3613,564.1889
"016","4am",749.9584,626.112,1651.2845,1437.9936,522.9068
"017","4am",715.5566,502.2657,1603.122,1190.3009,543.5478
"018","4am",577.9496,701.7959,1761.3701,1582.481,577.9496
"019","4am",674.2745,763.7191,1286.6258,1376.0704,495.3853
"020","4am",667.3941,921.9672,1782.0112,1321.0276,571.0692
"021","4am",660.5138,846.2833,1616.8827,1217.8223,295.8551
"001","5am",1087.0956,894.4458,1004.5314,1018.2921,866.9244
"002","5am",743.078,605.471,1066.4546,1162.7795,715.5566
"003","5am",791.2405,571.0692,1128.3777,1314.1472,571.0692
"004","5am",681.1548,756.8387,1197.1812,1665.0452,667.3941
"005","5am",777.4798,1486.156,921.9672,605.471,282.0944
"006","5am",722.437,853.1636,1224.7027,1376.0704,681.1548
"007","5am",722.437,522.9068,1314.1472,1493.0364,660.5138
"008","5am",639.8727,357.7783,1121.4974,1720.088,1265.9848
"009","5am",963.2493,729.3173,1362.3097,1424.2329,715.5566
"010","5am",860.044,1389.8311,1265.9848,736.1977,275.2141
"011","5am",708.6763,949.4886,1472.3953,1052.6939,584.8299
"012","5am",681.1548,653.6334,1499.9167,1575.6006,536.6675
"013","5am",584.8299,454.1032,1231.583,894.4458,309.6158
"014","5am",873.8047,749.9584,1362.3097,1843.9343,825.6422
"015","5am",667.3941,681.1548,1424.2329,1561.8399,550.4282
"016","5am",749.9584,626.112,1644.4041,1424.2329,522.9068
"017","5am",694.9156,495.3853,1575.6006,1128.3777,536.6675
"018","5am",584.8299,688.0352,1754.4898,1589.3613,550.4282
"019","5am",681.1548,770.5994,1252.2241,1376.0704,502.2657
"020","5am",639.8727,915.0868,1726.9684,1307.2669,557.3085
"021","5am",619.2317,846.2833,1575.6006,1176.5402,288.9748
"001","6am",1142.1384,921.9672,1066.4546,1142.1384,908.2065
"002","6am",763.7191,612.3513,1093.976,1224.7027,729.3173
"003","6am",825.6422,584.8299,1169.6598,1327.9079,577.9496
"004","6am",660.5138,756.8387,1210.942,1658.1648,646.7531
"005","6am",818.7619,1479.2757,949.4886,653.6334,309.6158
"006","6am",756.8387,825.6422,1224.7027,1389.8311,736.1977
"007","6am",722.437,543.5478,1252.2241,1403.5918,591.7103
"008","6am",667.3941,344.0176,1183.4205,1733.8487,1259.1044
"009","6am",942.6082,763.7191,1382.9508,1389.8311,653.6334
"010","6am",853.1636,1369.19,1238.4634,743.078,275.2141
"011","6am",688.0352,921.9672,1382.9508,1004.5314,577.9496
"012","6am",639.8727,653.6334,1424.2329,1444.8739,488.505
"013","6am",571.0692,454.1032,1183.4205,791.2405,268.3337
"014","6am",866.9244,811.8815,1575.6006,1926.4986,908.2065
"015","6am",632.9924,674.2745,1327.9079,1410.4722,488.505
"016","6am",653.6334,591.7103,1596.2417,1293.5062,474.7443
"017","6am",667.3941,460.9836,1458.6346,1025.1724,474.7443
"018","6am",612.3513,694.9156,1692.5666,1561.8399,529.7871
"019","6am",653.6334,743.078,1217.8223,1314.1472,460.9836
"020","6am",591.7103,853.1636,1541.1988,1183.4205,495.3853
