"hour";"001";"002";"003";"004";"005";"006";"007";"008";"009";"010";"011";"012";"013";"014";"015";"016";"017";"018";"019";"020";"021";"022";"023";"024";"025";"026";"027";"028";"029";"030";"031";"032";"033";"034";"035";"036";"037";"038";"039";"040";"041";"042";"043";"044";"045";"046";"047";"048";"049";"050";"051";"052"
"min";"365.091";"365.091";"365.091";"365.091";"365.091";"365.091";"365.091";"365.091";"365.091";"365.091";"365.091";"365.091";"365.091";"365.091";"365.091";"365.091";"365.091";"365.091";"365.091";"365.091";"365.091";"365.091";"365.091";"365.091";"365.091";"365.091";"365.091";"365.091";"365.091";"365.091";"365.091";"365.091";"365.091";"365.091";"365.091";"365.091";"365.091";"365.091";"365.091";"365.091";"365.091";"365.091";"365.091";"365.091";"365.091";"365.091";"365.091";"365.091";"365.091";"365.091";"365.091";"365.091"
"max";"14072.147";"14072.147";"14072.147";"14072.147";"14072.147";"14072.147";"14072.147";"14072.147";"14072.147";"14072.147";"14072.147";"14072.147";"14072.147";"14072.147";"14072.147";"14072.147";"14072.147";"14072.147";"14072.147";"14072.147";"14072.147";"14072.147";"14072.147";"14072.147";"14072.147";"14072.147";"14072.147";"14072.147";"14072.147";"14072.147";"14072.147";"14072.147";"14072.147";"14072.147";"14072.147";"14072.147";"14072.147";"14072.147";"14072.147";"14072.147";"14072.147";"14072.147";"14072.147";"14072.147";"14072.147";"14072.147";"14072.147";"14072.147";"14072.147";"14072.147";"14072.147";"14072.147"
"4am";"9633.994";"8832.249";"5915.237";"4513.114";"5843.516";"6593.123";"6338.007";"6669.034";"5552.873";"4955.523";"3646.347";"5996.345";"8439.319";"7771.777";"7586.390";"5632.550";"7963.284";"8228.018";"2322.438";"3818.831";"4131.438";"5008.745";"2017.413";"5401.655";"5681.678";"1332.507";"3121.910";"2719.776";"1310.034";"5882.311";" 831.779";"5206.780";"1778.222";"6322.892";"2587.014";"3262.495";"1264.095";"2747.601";"4105.647";"2434.208";"4095.362";"3515.933";"3393.397";"1712.968";"4274.382";"8145.002";"3615.552";"5344.615";"5958.351";"3291.927";"1475.498";"2016.335"
"5am";"9677.705";"8896.611";"5982.931";"4402.486";"5794.857";"6566.166";"6279.656";"6603.944";"5584.188";"4887.829";"3547.327";"5996.345";"8375.095";"7816.743";"7494.822";"5580.294";"8135.923";"8236.967";"2290.846";"3818.831";"4131.438";"4942.899";"1986.190";"5332.224";"5712.901";"1283.067";"2983.498";"2719.776";"1294.556";"5732.342";" 806.339";"5206.780";"1755.461";"6294.482";"2587.014";"3216.998";"1264.095";"2710.879";"4215.101";"2396.110";"4060.678";"3372.641";"3428.081";"1712.968";"4294.359";"8226.766";"3615.552";"5344.615";"5824.861";"3200.739";"1475.498";"1981.743"
"6am";"9650.484";"8659.339";"5921.315";"4565.718";"5785.385";"6548.562";"6253.362";"6556.724";"5359.782";"4659.249";"3597.232";"6573.849";"8305.511";"7674.926";"7594.928";"5421.976";"8569.627";"8161.213";"2199.515";"3725.512";"3794.986";"5054.092";"2020.019";"5214.009";"5508.806";"1269.877";"2876.060";"2446.576";"1234.372";"5503.238";" 791.282";"5088.110";"1717.793";"6281.639";"2392.818";"3078.540";"1222.644";"2713.318";"4350.331";"2358.012";"4171.287";"3372.641";"3277.376";"1695.561";"4080.436";"7838.593";"3479.704";"5344.615";"5763.506";"3162.027";"1395.326";"1834.471"
"7am";"9706.733";"9731.631";"5678.956";"4787.938";"5998.496";"6697.621";"6617.476";"6322.713";"5437.591";"4575.039";"3721.810";"7394.554";"7804.600";"6642.727";"7574.952";"4891.196";"8570.777";"6791.904";"1861.073";"3871.603";"3415.096";"5191.064";"2092.930";"5115.436";"5599.581";" 987.453";"2404.118";"1970.988";"1171.417";"5113.352";" 782.962";"4570.874";"1512.357";"7062.490";"2066.715";"2809.393";"1112.000";"2367.591";"4677.344";"2172.944";"3926.136";"2740.563";"2727.414";"1457.734";"3812.694";"7140.969";"3222.753";"5045.334";"5621.725";"2897.102";"1214.230";"1640.337"
"8am";"12394.909";"10650.704";" 5253.402";" 4363.436";" 6313.293";" 7753.097";" 7496.405";" 6077.283";" 5907.127";" 3852.925";" 4023.482";" 8071.606";" 7854.470";" 6275.968";" 8532.005";" 4379.047";" 9550.624";" 6471.269";" 1760.533";" 3941.047";" 3274.008";" 5902.370";" 2151.944";" 4815.342";" 5624.431";"  768.058";" 2027.687";" 1820.516";" 1007.898";" 4669.096";"  636.517";" 4273.522";" 1256.486";" 7797.659";" 2014.112";" 2264.649";" 1123.179";" 2193.417";" 5514.966";" 1910.847";" 3993.272";" 2541.706";" 2492.257";" 1131.559";" 3528.211";" 6982.446";" 3201.987";" 5005.968";" 5335.319";" 2480.626";" 1076.926";" 1234.582"
"9am";"13044.135";"11617.749";" 5061.311";" 4194.546";" 6273.814";" 7471.497";" 8275.975";" 6254.987";" 5745.240";" 3623.409";" 3719.377";" 8212.147";" 7444.087";" 5984.232";" 9289.055";" 4083.361";"10405.844";" 5792.241";" 1716.595";" 3746.543";" 3245.202";" 6089.728";" 1834.125";" 4832.273";" 5823.428";"  814.624";" 2000.037";" 1960.284";"  955.826";" 4495.860";"  674.700";" 4050.728";" 1380.126";" 8159.569";" 1994.976";" 2011.139";" 1105.514";" 2149.797";" 5719.297";" 1759.549";" 3673.246";" 2573.077";" 2351.268";" 1138.216";" 3330.959";" 6665.927";" 3019.431";" 5027.587";" 5416.251";" 2330.017";" 1188.097";" 1102.254"
"10am";"13699.361";"11398.687";" 4948.612";" 4387.601";" 6424.550";" 7457.852";" 8546.744";" 6323.188";" 5716.637";" 3689.524";" 3486.513";" 8435.982";" 7380.921";" 5659.270";" 9101.120";" 3617.006";"10260.844";" 5764.057";" 1662.697";" 3611.864";" 3166.202";" 6074.557";" 1801.150";" 4943.073";" 5924.002";"  875.037";" 1781.252";" 1693.808";"  954.392";" 4203.360";"  596.143";" 4381.725";" 1463.597";" 8263.801";" 1890.976";" 2021.279";" 1013.321";" 1992.523";" 5619.671";" 1850.802";" 3567.210";" 2535.238";" 2297.102";" 1133.873";" 3374.648";" 6941.522";" 2732.883";" 4998.886";" 5105.016";" 2336.208";"  983.637";" 1172.546"
"11am";"13225.952";"11030.972";" 5548.754";" 4384.432";" 5815.486";" 7225.554";" 8301.633";" 5810.131";" 5569.750";" 3908.178";" 3752.297";" 7827.935";" 7360.904";" 5896.743";" 8597.765";" 4226.463";"10664.926";" 6022.228";" 1758.357";" 3765.507";" 3148.943";" 5937.287";" 1901.517";" 4821.191";" 5852.662";"  891.187";" 1599.316";" 1893.696";"  915.530";" 4554.771";"  631.175";" 4199.986";" 1429.413";" 8035.529";" 2006.427";" 2060.867";" 1056.981";" 2160.825";" 5220.309";" 1852.500";" 3469.007";" 2699.021";" 2374.913";" 1129.331";" 3353.809";" 6999.833";" 2851.586";" 5002.196";" 5404.527";" 2376.082";" 1022.603";" 1190.396"
