"district","hour","occ1","occ2","occ3","occ4","occ5"
"105","6am",0,0,0,0,0
"106","6am",997.285,0,0,0,0
"107","6am",0,0,0,0,0
"108","6am",0,0,0,0,0
"109","6am",0,0,0,0,0
"110","6am",0,0,0,0,0
"111","6am",0,0,0,0,0
"112","6am",1393.736,0,0,0,0
"113","6am",585.412,0,0,0,0
"114","6am",0,0,0,0,0
"115","6am",0,0,0,0,0
"116","6am",983.089,0,0,0,0
"117","6am",0,0,0,0,0
"118","6am",0,0,0,0,0
"119","6am",1516.867,0,0,0,0
"120","6am",1079.146,0,0,0,0
"121","6am",0,0,0,0,0
"122","6am",0,0,0,0,0
"123","6am",601.219,0,0,0,0
"124","6am",0,0,0,0,0
"125","6am",0,0,0,0,0
"126","6am",0,0,0,0,0
"127","6am",539.513,0,0,0,0
"128","6am",571.854,0,0,0,0
"129","6am",0,0,0,0,0
"130","6am",580.115,0,0,0,0
"131","6am",1271.055,0,0,0,0
"132","6am",0,0,0,0,0
"133","6am",0,0,0,0,0
"134","6am",0,0,0,0,0
"135","6am",1008.64,0,0,0,0
"136","6am",0,0,0,0,0
"137","6am",0,0,0,0,0
"138","6am",0,0,0,0,0
"139","6am",524.315,0,0,0,0
"140","6am",0,0,0,0,0
"141","6am",0,0,0,0,0
"142","6am",0,0,0,0,0
"143","6am",0,0,0,0,0
"201","6am",0,0,0,0,0
"202","6am",0,0,0,0,0
"203","6am",0,0,0,0,0
"204","6am",0,0,0,0,0
"205","6am",0,0,0,0,0
"301","6am",0,0,0,0,0
"302","6am",0,0,0,0,0
"303","6am",0,0,0,0,0
"304","6am",0,0,0,0,0
"305","6am",676.061,0,0,0,0
"306","6am",0,0,0,0,0
"307","6am",0,0,0,0,0
"308","6am",0,0,0,0,0
"309","6am",0,0,0,0,0
"310","6am",0,0,0,0,0
"311","6am",0,0,0,0,0
"312","6am",0,0,0,0,0
"313","6am",0,0,0,0,0
"314","6am",0,0,0,0,0
"401","6am",0,0,0,0,0
"402","6am",0,0,0,0,0
"403","6am",0,0,0,0,0
"501","6am",499.676,0,0,0,0
"502","6am",0,0,0,0,0
"503","6am",0,0,0,0,0
"504","6am",366.405,0,0,0,0
"505","6am",0,0,0,0,0
"506","6am",0,0,0,0,0
"507","6am",0,0,0,0,0
"508","6am",0,0,0,0,0
"509","6am",0,0,0,0,0
"510","6am",0,0,0,0,0
"511","6am",0,0,0,0,0
"512","6am",0,0,0,0,0
"513","6am",434.125,0,0,0,0
"514","6am",0,0,0,0,0
"515","6am",0,0,0,0,0
"516","6am",0,0,0,0,0
"517","6am",0,0,0,0,0
"518","6am",0,0,0,0,0
"519","6am",0,0,0,0,0
"601","6am",0,0,0,0,0
"602","6am",0,0,0,0,0
"603","6am",0,0,0,0,0
"701","6am",0,0,0,0,0
"801","6am",0,0,0,0,0
"802","6am",0,0,0,0,0
"803","6am",0,0,0,0,0
"804","6am",0,0,0,0,0
"805","6am",0,0,0,0,0
"806","6am",0,0,0,0,0
"901","6am",0,0,0,0,0
"902","6am",0,0,0,0,0
"903","6am",0,0,0,0,0
"101","7am",2103.19,834.22,0,0,0
"102","7am",2265.39,1476.517,0,0,0
"103","7am",2574.501,1816.77,0,0,0
"104","7am",768.556,0,0,0,0
"105","7am",1142.032,0,0,0,0
"106","7am",5335.793,1056.865,0,0,0
"107","7am",555.025,0,0,0,0
"108","7am",786.89,0,0,0,0
"109","7am",1224.03,0,0,0,0
"110","7am",1781.122,903.666,0,0,0
"111","7am",590.757,0,0,0,0
"112","7am",3231.976,1000.433,0,0,0
"113","7am",1957.387,2370.927,0,0,0
"114","7am",0,0,0,0,0
"115","7am",1690.923,0,0,0,0
"116","7am",2523.44,0,0,0,0
"117","7am",0,0,0,0,0
"118","7am",831.223,0,0,0,0
"119","7am",2923.351,850.92,0,0,0
"120","7am",3634.072,707.728,0,0,0
"121","7am",0,0,0,0,0
"122","7am",2171.92,4215.322,0,0,0
"123","7am",2015.978,735.627,0,0,0
"124","7am",0,0,0,0,0
"125","7am",0,742.741,0,0,0
"126","7am",1079.127,0,0,0,0
"127","7am",1827.618,0,0,0,0
"128","7am",1323.623,0,0,0,0
"129","7am",0,0,0,0,0
"130","7am",1050.625,0,0,0,0
"131","7am",2560.88,770.888,0,0,0
"132","7am",1001.433,0,0,0,0
"133","7am",0,0,0,0,0
"134","7am",1121.39,0,0,0,0
"135","7am",2453.6,0,0,0,0
"136","7am",0,0,0,0,0
"137","7am",566.488,0,0,0,0
"138","7am",0,0,0,0,0
"139","7am",1410.75,0,0,0,0
"140","7am",804.471,0,0,0,0
"141","7am",715.807,0,0,0,0
"142","7am",955.206,0,0,0,0
"143","7am",473.462,0,0,0,0
"201","7am",779.48,0,0,0,0
"202","7am",0,0,0,0,0
"203","7am",569.772,0,0,0,0
"204","7am",0,0,0,0,0
"205","7am",0,0,0,0,0
"301","7am",0,0,0,0,0
"302","7am",1182.193,0,0,0,0
"303","7am",0,0,0,0,0
"304","7am",590.243,0,0,0,0
"305","7am",2322.444,0,0,0,0
"306","7am",0,0,0,0,0
"307","7am",0,0,0,0,0
"308","7am",0,0,0,0,0
"309","7am",395.23,0,0,0,0
"310","7am",0,0,0,0,0
"311","7am",0,0,0,0,0
"312","7am",0,0,0,0,0
"313","7am",513.938,677.772,0,0,0
"314","7am",0,0,0,0,0
"401","7am",0,0,0,0,0
"402","7am",751.189,0,0,0,0
"403","7am",749.985,571.455,0,0,0
"501","7am",2171.384,1694.506,0,0,0
"502","7am",0,0,0,0,0
"503","7am",0,0,0,0,0
"504","7am",509.906,0,0,0,0
"505","7am",272.828,0,0,0,0
"506","7am",0,0,0,0,0
"507","7am",0,0,0,0,0
"508","7am",0,0,0,0,0
"509","7am",0,0,0,0,0
"510","7am",0,0,0,0,0
"511","7am",0,0,0,0,0
"512","7am",1443.713,0,0,0,0
"513","7am",990.154,0,0,0,0
"514","7am",0,0,0,0,0
"515","7am",918.717,0,0,0,0
"516","7am",528.791,0,0,0,0
"517","7am",0,0,0,0,0
"518","7am",0,0,0,0,0
"519","7am",0,0,0,0,0
"601","7am",0,0,0,0,0
"602","7am",1196.42,0,0,0,0
"603","7am",0,0,0,0,0
"701","7am",0,0,0,0,0
"801","7am",0,0,0,0,0
"802","7am",0,0,0,0,0
"803","7am",743.982,0,0,0,0
"804","7am",0,0,0,0,0
"805","7am",0,0,0,0,0
"806","7am",0,0,0,0,0
"901","7am",0,0,0,0,0
"902","7am",0,0,0,0,0
"903","7am",0,0,0,0,0
"101","8am",3798.209,1068.978,0,0,0
"102","8am",5079.135,2319.414,0,706.571,0
"103","8am",4681.843,2180.909,0,0,0
"104","8am",2066.047,0,0,0,0
"105","8am",2257.011,0,0,0,0
"106","8am",12395.275,1661.137,0,0,0
"107","8am",692.433,0,0,0,0
"108","8am",1795.113,0,0,0,0
"109","8am",1856.804,454.439,0,0,0
"110","8am",2835.332,1244.231,0,0,0
"111","8am",1502.607,0,0,0,0
"112","8am",5416.575,1500.11,0,0,0
"113","8am",3000.351,2865.359,0,0,0
"114","8am",0,0,0,0,0
"115","8am",3007.113,627.089,0,0,0
"116","8am",4286.749,0,0,0,0
"117","8am",661.856,0,0,0,0
"118","8am",1342.219,0,0,0,0
"119","8am",5755.27,1862.964,0,0,0
"120","8am",7963.343,973.154,0,0,0
"121","8am",0,0,0,0,0
"122","8am",4896.445,6716.587,0,0,0
"123","8am",3205.691,794.966,0,0,0
"124","8am",0,0,0,0,0
"125","8am",0,792.473,0,0,0
"126","8am",1287.571,0,0,0,0
"127","8am",4151.022,0,0,0,0
"128","8am",2486.143,0,0,0,0
"129","8am",869.345,0,0,0,0
"130","8am",1369.664,0,0,0,0
"131","8am",3853.307,989.404,0,0,0
"132","8am",1772.265,0,0,0,0
"133","8am",0,0,0,0,0
"134","8am",2116.438,0,0,0,0
"135","8am",3724.186,0,0,0,0
"136","8am",0,0,0,0,0
"137","8am",751.701,0,0,0,0
"138","8am",0,0,0,0,0
"139","8am",2255.41,0,0,0,0
"140","8am",1295.001,0,0,0,0
"141","8am",1196.561,0,0,0,0
"142","8am",1269.707,0,0,0,0
"143","8am",677.36,0,0,0,0
"201","8am",1118.283,0,0,0,0
"202","8am",590.567,0,0,0,0
"203","8am",869.276,0,0,0,0
"204","8am",837.858,0,0,0,0
"205","8am",0,0,0,0,0
"301","8am",662.566,0,0,0,0
"302","8am",3093.865,0,0,0,0
"303","8am",860.848,0,0,0,0
"304","8am",835.411,0,0,0,0
"305","8am",4685.03,0,0,0,0
"306","8am",0,0,0,0,0
"307","8am",0,0,0,0,0
"308","8am",0,0,0,0,0
"309","8am",601.011,0,0,0,0
"310","8am",706.179,0,0,0,0
"311","8am",0,0,0,0,0
"312","8am",0,0,0,0,0
"313","8am",586.476,727.208,0,0,0
"314","8am",508.473,0,0,0,0
"401","8am",0,0,0,0,0
"402","8am",1227.847,0,0,0,0
"403","8am",993.535,619.812,0,0,0
"501","8am",3763.662,1961.803,0,379.67,0
"502","8am",0,0,0,0,0
"503","8am",0,0,0,0,0
"504","8am",1276.487,0,0,0,0
"505","8am",357.431,0,0,0,0
"506","8am",0,0,0,0,0
"507","8am",0,0,0,0,0
"508","8am",0,0,0,0,0
"509","8am",0,0,0,0,0
"510","8am",0,0,0,0,0
"511","8am",0,0,0,0,0
"512","8am",2149.266,0,0,0,0
"513","8am",2227.199,697.854,0,0,0
"514","8am",0,0,0,0,0
"515","8am",1018.681,0,0,0,0
"516","8am",1080.894,0,0,0,0
"517","8am",0,0,0,0,0
"518","8am",0,0,0,0,0
"519","8am",0,0,0,0,0
"601","8am",0,0,0,0,0
"602","8am",1780.636,0,0,0,0
"603","8am",0,0,0,0,0
"701","8am",0,0,0,0,0
"801","8am",0,0,0,0,0
"802","8am",0,0,0,0,0
"803","8am",1082.03,0,0,0,0
"804","8am",0,0,0,0,0
"805","8am",0,0,0,0,0
"806","8am",0,0,0,0,0
"901","8am",0,0,0,0,0
"902","8am",0,0,0,0,0
"903","8am",0,0,0,0,0
"101","9am",5324.764,1151.326,0,1406.786,0
"102","9am",5404.027,2629.968,0,1400,0
"103","9am",5058.946,2333.022,0,745.154,0
"104","9am",2124.032,0,0,0,0
"105","9am",2233.736,0,0,0,0
"106","9am",14619.961,2152.02,0,0,0
"107","9am",790.711,0,0,0,0
"108","9am",1890.466,0,0,0,0
"109","9am",1761.406,529.945,0,0,0
"110","9am",3073.196,1291.516,0,0,0
"111","9am",1511.314,0,0,0,0
"112","9am",5747.536,1763.872,0,0,0
"113","9am",3758.129,3007.603,0,0,0
"114","9am",0,0,0,0,0
"115","9am",3540.014,701.422,0,0,0
"116","9am",4062.1,0,0,0,0
"117","9am",675.199,0,0,0,0
"118","9am",1295.844,0,0,0,0
"119","9am",6230.677,2071.535,0,676.713,0
"120","9am",9233.165,1102.212,0,0,0
"121","9am",0,0,0,0,0
"122","9am",6044.099,8654.035,0,0,0
"123","9am",3974.023,851.847,0,269.624,0
"124","9am",0,0,0,0,0
"125","9am",0,792.473,0,0,0
"126","9am",1335.381,0,0,0,0
"127","9am",4820.009,0,0,0,0
"128","9am",3329.929,0,0,1681.335,0
"129","9am",917.843,0,0,0,0
"130","9am",1514.562,603.423,0,0,0
"131","9am",4773.53,1015.786,0,840.74,0
"132","9am",1805.203,0,0,0,0
"133","9am",0,0,0,0,0
"134","9am",2021.768,0,0,0,0
"135","9am",4548.211,0,0,920.204,0
"136","9am",0,0,0,0,0
"137","9am",611.685,0,0,0,0
"138","9am",0,0,0,0,0
"139","9am",2597.525,0,0,0,0
"140","9am",1446.646,0,0,0,0
"141","9am",1124.967,0,0,0,0
"142","9am",1319.272,0,0,0,0
"143","9am",677.36,0,0,0,0
"201","9am",1134.402,0,0,0,0
"202","9am",546.532,0,0,0,0
"203","9am",923.806,0,0,0,0
"204","9am",944.955,0,0,0,0
"205","9am",0,0,0,0,0
"301","9am",688.752,0,0,0,0
"302","9am",3596.869,0,0,0,0
"303","9am",890.219,0,0,0,0
"304","9am",851.406,0,0,0,0
"305","9am",5630.772,0,0,0,0
"306","9am",627.959,0,0,0,0
"307","9am",0,0,0,0,0
"308","9am",464.377,0,0,0,0
"309","9am",617.209,0,0,0,0
"310","9am",771.485,0,0,0,0
"311","9am",0,0,0,0,0
"312","9am",0,0,0,0,0
"313","9am",778.221,727.208,0,0,0
"314","9am",635.062,0,0,0,0
"401","9am",710.16,0,0,0,0
"402","9am",1111.261,0,0,0,0
"403","9am",1276.558,619.812,0,0,0
"501","9am",4183.717,2079.779,0,609.467,0
"502","9am",0,0,0,0,0
"503","9am",0,0,0,0,0
"504","9am",1283.297,0,0,354.337,0
"505","9am",387.675,0,0,0,0
"506","9am",0,0,0,0,0
"507","9am",0,0,0,0,0
"508","9am",0,0,0,0,0
"509","9am",0,0,0,0,0
"510","9am",0,0,0,0,0
"511","9am",0,0,0,0,0
"512","9am",2252.958,0,0,0,0
"513","9am",2513.876,697.854,0,0,0
"514","9am",0,0,0,0,0
"515","9am",1093.268,0,0,0,0
"516","9am",1043.129,0,0,0,0
"517","9am",0,0,0,0,0
"518","9am",0,0,0,0,0
"519","9am",0,0,0,0,0
"601","9am",0,0,0,0,0
"602","9am",2003.787,0,0,0,0
"603","9am",0,0,0,0,0
"701","9am",656.37,0,0,0,0
"801","9am",0,0,0,0,0
