"hour";"001";"002";"003";"004";"005";"006";"007";"008";"009";"010";"011";"012";"013";"014";"015";"016";"017";"018"
"min";"49.393";"49.393";"49.393";"49.393";"49.393";"49.393";"49.393";"49.393";"49.393";"49.393";"49.393";"49.393";"49.393";"49.393";"49.393";"49.393";"49.393";"49.393"
"max";"4816.483";"4816.483";"4816.483";"4816.483";"4816.483";"4816.483";"4816.483";"4816.483";"4816.483";"4816.483";"4816.483";"4816.483";"4816.483";"4816.483";"4816.483";"4816.483";"4816.483";"4816.483"
"4am";"2453.455";"2407.089";"2906.581";"3645.552";"1892.229";"2296.892";"2298.774";"2288.297";"1855.433";"1637.818";"1997.302";"3302.125";"2758.217";"3274.726";"2514.653";"3301.497";"2959.338";"1773.250"
"5am";"2543.229";"2407.089";"2978.141";"3712.267";"1850.485";"2324.832";"2298.774";"2141.525";"1863.372";"1602.429";"1941.422";"3271.343";"2758.217";"3326.892";"2449.632";"3283.800";"2919.852";"1728.734"
"6am";"2732.454";"2343.216";"2951.693";"3648.682";"1815.271";"2288.716";"2233.247";"2162.920";"1986.472";"1756.484";"1913.482";"3317.039";"2950.471";"3292.199";"2361.692";"2948.373";"2705.711";"1620.802"
"7am";"3693.392";"2621.374";"3413.510";"3821.316";"1599.330";"2172.792";"1731.188";"1810.241";"2013.615";"1838.709";"1655.487";"3087.106";"2707.790";"3180.772";"2114.751";"2593.821";"2085.568";"1270.061"
"8am";"4816.483";"2505.888";"3861.724";"3648.123";"1558.458";"1779.916";"1414.643";"1744.182";"2606.337";"1885.344";"1603.663";"2947.685";"2507.751";"3334.708";"1490.622";"2247.160";"2252.627";" 995.052"
"9am";"4535.180";"2794.704";"3961.218";"3475.950";"1563.763";"1819.178";"1301.398";"1719.363";"2517.272";"1974.555";"1461.578";"3349.030";"2410.512";"3101.649";"1407.441";"2357.026";"2136.820";"1044.728"
"10am";"4682.014";"2303.553";"4366.126";"3143.338";"1577.142";"1716.861";"1318.572";"1643.090";"2318.838";"2044.301";"1443.679";"3598.264";"2269.812";"3224.722";"1307.784";"2432.046";"2146.781";" 935.604"
"11am";"4727.935";"2392.525";"3811.432";"3407.896";"1544.702";"1882.980";"1374.330";"1655.572";"2691.553";"1936.900";"1611.656";"3299.473";"2242.266";"3189.537";"1399.527";"2439.427";"2054.931";"1112.569"
"12am";"4029.058";"3094.970";"3088.429";"3495.053";"1625.456";"2014.128";"1979.588";"1832.947";"2483.588";"1844.339";"1613.360";"3213.785";"2304.855";"3241.813";"1522.290";"2526.892";"2164.719";"1134.513"
"1pm";"4133.305";"3030.011";"3509.243";"3286.346";"1267.457";"2140.693";"1535.792";"1689.865";"2679.206";"2097.605";"1556.827";"3507.622";"2393.050";"3183.487";"1404.170";"2305.746";"2086.856";"1102.642"
"2pm";"4100.995";"2955.706";"3473.847";"3216.953";" 993.907";"1976.185";"1488.329";"1637.500";"2557.220";"2034.864";"1669.608";"3813.711";"2473.403";"3158.185";"1331.121";"2438.773";"2098.670";"1084.744"
"3pm";"4593.133";"2746.986";"3625.581";"3548.795";"1211.789";"1993.311";"1486.113";"1745.331";"2218.010";"1881.756";"1436.918";"3596.766";"2390.206";"3172.102";"1166.861";"2747.663";"2300.383";"1029.641"
"4pm";"3858.592";"2817.657";"3186.214";"3383.871";"1284.795";"1978.530";"1559.717";"1801.434";"2056.343";"2193.903";"1515.895";"3811.969";"2436.036";"3111.964";"1200.322";"2754.026";"2738.248";"1293.934"
"5pm";"3014.547";"2361.804";"3253.899";"3465.843";"1323.734";"2131.552";"1753.077";"1977.480";"1867.179";"2018.010";"1607.004";"3718.711";"2546.868";"3294.116";"1822.726";"2657.310";"3258.745";"1469.611"
"6pm";"2739.913";"2315.631";"3056.951";"3514.001";"1370.722";"2456.723";"2156.078";"1963.220";"1646.152";"1942.409";"1926.991";"3626.587";"2986.721";"3040.536";"2296.772";"3055.286";"3037.223";"1641.346"
"7pm";"2466.507";"2250.323";"3493.365";"3695.135";"1611.035";"2202.684";"2256.467";"2187.493";"1614.232";"1999.868";"2024.919";"3118.231";"2920.812";"3117.158";"2410.379";"3224.702";"3205.355";"1681.652"
"8pm";"2410.662";"2312.877";"3400.438";"3629.326";"1737.007";"2148.283";"2241.264";"2198.282";"1652.103";"2004.415";"2085.752";"3123.207";"2902.911";"3472.182";"2487.316";"3264.499";"3118.963";"1613.615"
"9pm";"2459.293";"2294.500";"3372.299";"3598.973";"1754.896";"2223.549";"2288.463";"2198.282";"1686.795";"1859.394";"2081.756";"3123.207";"2861.859";"3479.940";"2432.903";"3286.519";"3159.552";"1652.242"
"10pm";"2230.966";"2532.065";"3239.924";"3514.422";"1731.832";"2295.722";"2247.028";"2266.548";"1902.817";"1816.441";"2103.943";"3056.435";"2762.028";"3535.965";"2479.617";"3286.141";"3210.957";"1711.180"
"11pm";"2202.789";"2432.234";"3086.623";"3486.482";"1736.079";"2314.587";"2290.702";"2295.003";"1902.817";"1899.285";"2131.883";"3156.266";"2762.028";"3564.142";"2479.617";"3286.141";"3166.411";"1749.807"
"12pm";"2339.766";"2381.202";"3104.377";"3441.387";"1758.679";"2284.250";"2290.702";"2367.732";"1902.817";"1782.579";"2131.883";"3187.683";"2785.471";"3592.319";"2479.617";"3286.141";"3076.484";"1749.807"
"1am";"2269.772";"2381.202";"3104.377";"3441.387";"1832.611";"2284.250";"2290.702";"2346.814";"1923.735";"1782.579";"2131.883";"3187.683";"2785.471";"3592.319";"2479.617";"3356.135";"3076.484";"1749.807"
"2am";"2269.772";"2381.202";"3104.377";"3441.387";"1832.611";"2284.250";"2290.702";"2346.814";"1923.735";"1782.579";"2131.883";"3187.683";"2785.471";"3592.319";"2479.617";"3356.135";"3076.484";"1749.807"
"3am";"2269.772";"2381.202";"3104.377";"3441.387";"1797.575";"2284.250";"2290.702";"2346.814";"1923.735";"1782.579";"2131.883";"3187.683";"2785.471";"3592.319";"2514.653";"3356.135";"3076.484";"1749.807"
