"hour";"001";"002";"003";"004";"005";"006";"007";"008";"009";"010";"011";"012";"013";"014";"015";"016";"017";"018";"019";"020";"021";"022";"023";"024";"025";"026";"027";"028"
"min";"1.18762819600814";"1.18762819600814";"1.18762819600814";"1.18762819600814";"1.18762819600814";"1.18762819600814";"1.18762819600814";"1.18762819600814";"1.18762819600814";"1.18762819600814";"1.18762819600814";"1.18762819600814";"1.18762819600814";"1.18762819600814";"1.18762819600814";"1.18762819600814";"1.18762819600814";"1.18762819600814";"1.18762819600814";"1.18762819600814";"1.18762819600814";"1.18762819600814";"1.18762819600814";"1.18762819600814";"1.18762819600814";"1.18762819600814";"1.18762819600814";"1.18762819600814"
"max";"64.0841528156793";"64.0841528156793";"64.0841528156793";"64.0841528156793";"64.0841528156793";"64.0841528156793";"64.0841528156793";"64.0841528156793";"64.0841528156793";"64.0841528156793";"64.0841528156793";"64.0841528156793";"64.0841528156793";"64.0841528156793";"64.0841528156793";"64.0841528156793";"64.0841528156793";"64.0841528156793";"64.0841528156793";"64.0841528156793";"64.0841528156793";"64.0841528156793";"64.0841528156793";"64.0841528156793";"64.0841528156793";"64.0841528156793";"64.0841528156793";"64.0841528156793"
"4am";"23.872622";"26.644552";"36.635377";"28.535167";" 8.622152";"23.439104";" 2.166523";"16.826830";"12.750928";" 7.534658";"14.453065";"19.144453";"28.106424";" 3.128558";"12.426760";" 7.821473";" 7.444455";" 3.333265";" 9.830537";"13.026087";"13.104376";"14.675085";"18.586417";"11.062066";"20.491608";"28.296812";"25.135704";"16.516151"
"5am";"23.863939";"26.488882";"36.794014";"28.363873";" 8.686782";"23.624624";" 2.198131";"16.883443";"12.709295";" 7.447117";"14.839858";"19.371587";"29.046102";" 3.082930";"11.982747";" 7.727896";" 7.448520";" 3.391680";" 9.880994";"12.481143";"13.188136";"14.766318";"18.895965";"11.224278";"20.633494";"28.296812";"25.315820";"16.525776"
"6am";"22.078358";"26.612658";"36.596692";"29.035299";" 7.690772";"23.166697";" 2.191168";"16.345319";"13.352103";" 7.410756";"14.578713";"18.301360";"28.952007";" 2.918835";"11.688413";" 7.947824";" 7.565113";" 3.590868";"10.038093";"13.087049";"13.390154";"15.444120";"20.143707";"12.158897";"20.887507";"26.713258";"26.810109";"16.981287"
"7am";"23.314477";"22.381988";"36.169362";"21.917302";" 9.674396";"23.399319";" 3.196247";"13.135844";"15.281900";" 6.354034";"15.020655";"16.970000";"24.610455";" 3.220814";" 8.156148";" 7.807290";"10.807949";" 4.207839";" 7.797192";"12.463833";"10.891038";"13.600152";"21.226053";" 8.713165";"20.808593";"24.557361";"28.107867";"16.183761"
"8am";"26.427702";"13.796080";"30.942509";"16.210691";"15.724932";"23.594766";" 8.294943";"16.678816";"11.361602";"10.957628";"21.328771";"17.721738";"22.420479";" 3.873434";" 7.126361";" 8.716764";"11.915691";" 2.310799";" 7.462132";"11.645712";"10.136092";" 5.182140";"12.234180";"11.272452";"12.451664";"28.950717";"24.458020";"10.097701"
"9am";"23.908389";"14.013925";"30.474244";"14.830211";"17.293234";"22.801292";" 7.828633";"19.120836";"12.149303";"13.598924";"15.728604";"16.488219";"22.300091";" 3.793127";" 7.885091";" 8.325716";"12.080680";" 2.571694";" 7.974936";"12.096082";" 8.283107";" 5.148928";"11.456116";"10.705421";"13.106003";"30.528242";"22.169101";"10.406353"
"10am";"25.058155";"13.235119";"29.100945";"14.170554";"18.548826";"23.685911";" 7.707519";"20.584360";" 8.594832";"12.201801";"15.102862";"16.394470";"20.202541";" 3.883652";" 7.482281";" 9.154964";"12.394060";" 4.477374";"10.078837";"10.744800";" 7.829423";" 4.771228";"10.703646";"11.855918";"11.482172";"28.279038";"21.071363";"14.262895"
"11am";"25.856564";"12.906272";"30.644022";"14.373452";"18.230759";"26.082782";" 7.773904";"16.236437";" 9.633336";"13.167926";"15.320940";"15.356720";"21.360695";" 3.579469";" 8.308584";"10.804748";"10.519847";" 4.208834";" 9.820432";"11.178802";" 7.289096";" 3.612755";"12.391406";"10.961652";"11.472065";"28.555097";"23.938815";"10.620932"
"12am";"23.433764";"15.787312";"30.214316";"18.003798";"16.148289";"21.734417";" 7.179538";"18.768117";"14.073378";"12.928987";"15.782748";"17.320644";"18.664873";" 2.460429";" 9.778897";" 9.271470";"11.798777";" 1.621791";" 9.669791";" 9.972546";" 8.085169";" 3.755573";"13.967294";"11.663780";"12.730983";"23.593352";"22.246606";" 8.479819"
"1pm";"25.077039";"12.313553";"29.437880";"17.153927";"17.542644";"20.664110";" 9.395162";"18.752748";"11.354872";"12.417279";"16.872284";"15.700939";"18.352475";" 4.242287";"10.464863";" 8.966048";"12.962514";" 4.207289";"10.370917";" 9.322905";" 6.903983";" 4.292894";"13.817164";"13.710932";"11.274867";"25.612263";"20.699389";" 7.493795"
"2pm";"24.726025";"13.422369";"30.069755";"17.273794";"16.608341";"20.666775";" 5.602928";"20.676245";" 9.676215";" 9.960293";"15.164515";"17.736241";"16.750505";" 3.504164";"10.701510";" 9.083258";"13.670739";" 9.024793";"10.499608";"11.489657";" 6.960276";" 4.590317";"11.814791";"14.871544";"10.974453";"21.334058";"21.266426";"10.129908"
"3pm";"26.142069";"16.533167";"29.982901";"14.361361";"15.171208";"20.194308";" 5.716466";"19.203522";" 8.788674";"11.684531";"16.119522";"16.722060";"19.033466";" 4.436909";"10.170514";" 7.792341";"13.385931";" 4.775564";" 9.713488";"11.677605";" 7.581480";" 4.874968";"13.825719";"14.176827";"13.050277";"24.382067";"21.906767";" 9.645550"
"4pm";"26.858725";"15.805275";"28.272859";"15.219371";"13.585911";"19.625285";" 5.549950";"19.567916";"10.892151";"12.433743";"17.216869";"16.858672";"21.239454";" 6.123711";"11.949724";" 4.949128";"11.616482";" 3.117581";" 9.247073";"11.962236";" 8.424817";" 6.683521";"14.738184";"11.841226";"14.828820";"27.941746";"25.297081";" 9.095413"
"5pm";"23.641093";"16.052446";"33.246126";"21.208191";" 9.853928";"21.104237";" 2.917061";"20.457170";"12.884198";" 8.734647";"16.591152";"20.529022";"22.905036";" 3.915158";"14.119178";" 7.498771";" 8.786224";" 2.387702";"10.308498";"13.491382";"11.331678";" 6.823716";"13.090984";" 8.367886";"14.590853";"24.203270";"22.061430";"12.362236"
"6pm";"22.687064";"18.282659";"41.692718";"20.833049";" 9.779938";"18.851443";" 1.373286";"22.758693";"12.999351";" 8.168160";"14.818787";"19.821352";"25.036427";" 3.724902";"12.976315";" 8.499957";" 9.383909";" 4.139595";"11.958820";" 9.329734";"10.840423";"15.163324";"17.940082";" 9.255757";"17.856204";"24.534608";"23.154129";"15.711007"
"7pm";"25.392155";"21.822513";"34.299669";"24.922503";" 8.758458";"17.804505";" 4.281612";"20.079262";"13.778152";" 7.549904";"16.637691";"18.323871";"26.417466";" 3.247121";"13.883682";" 9.307248";" 8.980978";" 4.160999";"12.578862";" 8.714863";" 9.586579";"15.676669";"16.648743";"14.262753";"24.199745";"26.472421";"24.768902";"14.703954"
"8pm";"22.984289";"22.514349";"35.620330";"26.115607";" 9.181034";"19.594273";" 2.952930";"18.343678";"13.383335";" 7.751704";"17.233471";"18.331195";"27.350007";" 2.282315";"13.511346";" 7.784804";" 9.547282";" 6.795589";" 8.797640";"10.090431";"13.520848";"15.914163";"16.590552";"14.177478";"23.409478";"26.822683";"26.081819";"15.631734"
"9pm";"25.525604";"24.547543";"35.753962";"23.875749";"10.207898";"20.727034";" 2.933889";"18.073874";"12.817722";" 9.241918";"15.367003";"19.689485";"27.813388";" 2.189709";"13.867098";" 7.503166";" 7.976709";" 6.745400";" 8.177551";"10.793367";"13.403736";"16.815809";"17.192735";"14.577800";"24.976617";"27.709088";"25.357989";"18.100857"
"10pm";"23.901008";"24.629598";"36.068093";"27.190309";" 9.292381";"19.359459";" 2.122119";"18.186021";"13.310046";" 7.164800";"17.798030";"19.910907";"28.403662";" 1.960307";"13.614245";" 8.156879";" 7.728291";" 6.494863";" 8.298119";"11.264026";"13.114445";"16.475336";"18.157713";"10.915380";"24.900175";"28.518978";"25.515866";"17.282038"
"11pm";"24.374864";"25.675544";"35.763634";"28.621820";" 9.412550";"19.874760";" 2.153055";"17.962660";"13.140596";" 7.147519";"17.174100";"20.634655";"27.430792";" 1.229662";"13.319868";" 8.094968";" 7.628856";" 4.334715";"10.025547";"11.861152";"12.917275";"16.311292";"18.056120";"10.915380";"24.735603";"28.661165";"25.712327";"16.699100"
"12pm";"24.375852";"24.697416";"36.907175";"28.737752";" 9.678356";"21.115672";" 2.153055";"18.267064";"14.239880";" 7.097545";"14.307785";"20.634655";"26.986884";" 1.193498";"13.141868";" 7.968348";" 7.483536";" 4.334715";"10.025547";"11.949331";"12.917275";"16.229922";"18.056120";"10.915380";"21.657858";"28.661165";"25.882721";"17.086697"
