"hour","101","102","103","104","105","106","107","108","109","110","111","112","113","114","115","116","117","118","119","120","121","122","123","124","125","126","127","128","129","130","131","132","133","134","135","136","137","138","139","140","141","301","302","303","304","305","306","307","308","309","310","401","402","403","404","405","406","407","408","501","502","511","521","522","523","524","525","531","532","533","541","542","543","544","545","546","547","551","561","562","563","564","571","572","573","574","575","576","601","602","611","612","621","622","623","624","631","632","633","641","642","643","644","645","651","661","662","663","671","672","673","681","691"
"min",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"max",267357.6,267357.6,267357.6,267357.6,267357.6,267357.6,267357.6,267357.6,267357.6,267357.6,267357.6,267357.6,267357.6,267357.6,267357.6,267357.6,267357.6,267357.6,267357.6,267357.6,267357.6,267357.6,267357.6,267357.6,267357.6,267357.6,267357.6,267357.6,267357.6,267357.6,267357.6,267357.6,267357.6,267357.6,267357.6,267357.6,267357.6,267357.6,267357.6,267357.6,267357.6,267357.6,267357.6,267357.6,267357.6,267357.6,267357.6,267357.6,267357.6,267357.6,267357.6,267357.6,267357.6,267357.6,267357.6,267357.6,267357.6,267357.6,267357.6,267357.6,267357.6,267357.6,267357.6,267357.6,267357.6,267357.6,267357.6,267357.6,267357.6,267357.6,267357.6,267357.6,267357.6,267357.6,267357.6,267357.6,267357.6,267357.6,267357.6,267357.6,267357.6,267357.6,267357.6,267357.6,267357.6,267357.6,267357.6,267357.6,267357.6,267357.6,267357.6,267357.6,267357.6,267357.6,267357.6,267357.6,267357.6,267357.6,267357.6,267357.6,267357.6,267357.6,267357.6,267357.6,267357.6,267357.6,267357.6,267357.6,267357.6,267357.6,267357.6,267357.6,267357.6
"4am",3379.6,3038.8,1050.8,994,2982,1221.2,1590.4,2470.8,653.2,1022.4,1391.6,1334.8,852,426,454.4,1590.4,568,766.8,4544,369.2,0,0,0,0,0,0,738.4,1562,1192.8,6191.2,738.4,0,0,0,0,340.8,0,0,0,0,0,0,994,0,0,0,539.6,852,426,1391.6,0,0,710,1107.6,397.6,0,1931.2,0,482.8,0,0,0,0,0,0,0,0,0,482.8,0,0,0,0,397.6,0,397.6,0,0,0,0,0,0,0,0,1789.2,0,0,0,0,539.6,426,0,0,795.2,369.2,0,426,0,0,511.2,0,426,0,0,1306.4,710,0,397.6,0,0,0,0,823.6
"5am",12410.8,8434.8,2300.4,2243.6,6162.8,2357.2,3550,5055.2,1874.4,2414,4032.8,3266,2130,1448.4,1363.2,3862.4,2101.6,2101.6,16046,1476.8,397.6,511.2,0,454.4,0,0,1704,3209.2,2896.8,9684.4,2868.4,511.2,0,0,0,539.6,766.8,0,539.6,624.8,0,681.6,1988,397.6,426,0,738.4,2073.2,1050.8,3237.6,653.2,0,1732.4,2811.6,880.4,568,4345.2,653.2,1192.8,0,0,539.6,766.8,0,568,0,0,511.2,681.6,0,0,454.4,482.8,710,0,823.6,0,0,0,965.6,0,0,397.6,0,2044.8,0,0,0,0,795.2,937.2,0,823.6,2044.8,766.8,0,1079.2,0,340.8,1249.6,624.8,795.2,426,0,2925.2,1306.4,0,539.6,596.4,340.8,0,0,880.4
"6am",43508.8,22265.6,5964,4544,17693.2,6702.4,8264.4,14285.2,5112,7043.2,9656,7753.2,4458.8,3834,2953.6,8804,5680,5708.4,35074,3294.4,1391.6,2470.8,0,1249.6,0,511.2,4600.8,6986.4,6816,15790.4,7270.4,1306.4,0,511.2,0,1391.6,1817.6,596.4,1050.8,1760.8,0,1476.8,6077.6,908.8,1363.2,0,1704,4742.8,3550,7810,2499.2,994,4004.4,7298.8,2840,1136,11899.6,2328.8,2130,454.4,511.2,1704,1363.2,397.6,1334.8,426,0,908.8,1505.2,426,0,1164.4,1505.2,2044.8,426,2385.6,0,568,596.4,2612.8,0,0,738.4,880.4,3322.8,624.8,397.6,397.6,454.4,1846,2357.2,1363.2,1988,4998.4,1164.4,0,3095.6,511.2,766.8,2641.2,2470.8,2300.4,1164.4,681.6,6844.4,3550,0,965.6,1249.6,624.8,0,710,1164.4
"7am",122631.2,58248.4,10820.4,9428.8,47229.2,16528.8,19170,34903.6,10394.4,19397.2,20306,15960.8,7838.4,7412.4,4118,16670.8,10735.2,12524.4,62565.2,6674,6077.6,6759.2,0,1959.6,994,653.2,10309.2,13177.6,13433.2,22066.8,14711.2,3209.2,0,624.8,1249.6,4402,4203.2,1249.6,1959.6,4970,596.4,4913.2,16841.2,2556,3890.8,0,4174.8,12325.6,9457.2,14597.6,6304.8,1902.8,6475.2,17040,6134.4,2385.6,29223.6,6106,3152.4,908.8,1192.8,5140.4,2641.2,823.6,2953.6,1050.8,0,2612.8,3322.8,1505.2,397.6,3067.2,2698,4032.8,823.6,6191.2,0,1022.4,908.8,6191.2,0,482.8,1420,1732.4,5964,1107.6,1107.6,795.2,766.8,4657.6,6191.2,3095.6,4686,10224,2754.8,596.4,6872.8,1192.8,1476.8,5396,7810,4799.6,3606.8,1107.6,11104.4,10763.6,369.2,1391.6,2328.8,965.6,397.6,1874.4,1789.2
"8am",212261.6,104313.2,16614,14427.2,75970,28229.6,30444.8,51489.2,15279.2,28172.8,30331.2,21186.4,9599.2,9315.2,5026.8,23089.2,16443.6,17295.6,87074.4,10252.4,9286.8,11019.2,340.8,2982,1505.2,710,15478,17835.2,17494.4,28911.2,21498.8,5339.2,340.8,823.6,1618.8,6702.4,6390,2470.8,2925.2,8264.4,937.2,10053.6,24793.2,4373.6,6986.4,624.8,6617.2,18772.4,15733.6,20306,9088,2612.8,9400.4,28144.4,9542.4,3436.4,40782.4,8974.4,4231.6,1278,1618.8,6844.4,3947.6,1278,5481.2,2044.8,482.8,3720.4,5112,2328.8,511.2,6219.6,3550,5367.6,1107.6,8946,0,1476.8,1278,8662,0,795.2,2186.8,2328.8,9059.6,1448.4,1789.2,1107.6,1022.4,8605.2,9230,4771.2,6986.4,14370.4,4260,1107.6,10337.6,2243.6,2612.8,7866.8,13660.4,7611.2,5680,1533.6,13575.2,19425.6,653.2,1789.2,3038.8,2016.4,994,2698,3010.4
"9am",243302.8,125641.6,19880,17068.4,87784.4,35358,36408.8,58702.8,17466,32660,35216,24026.4,10877.2,9911.6,5396,26497.2,19539.2,19113.2,97099.6,12013.2,10792,13234.4,369.2,3578.4,1732.4,908.8,17920.4,20362.8,19312,31353.6,25588.4,6588.8,397.6,937.2,1931.2,7327.2,7270.4,3038.8,3067.2,9769.6,1306.4,12694.8,28229.6,4742.8,8406.4,795.2,7611.2,21413.6,19340.4,22691.6,11416.8,2811.6,10990.8,34080,12098.4,4231.6,45354.8,9656,4686,1448.4,1732.4,7781.6,4316.8,1420,6787.6,2783.2,596.4,4146.4,5481.2,2754.8,511.2,7185.2,3890.8,5992.4,1391.6,10309.2,340.8,1647.2,1476.8,10195.6,0,880.4,2385.6,3067.2,10877.2,1562,1959.6,1391.6,1221.2,10025.2,11587.2,6191.2,8008.8,16216.4,5140.4,1278,11899.6,2698,2982,9031.2,15847.2,8662,7952,1675.6,14540.8,23770.8,710,2101.6,3294.4,2243.6,1022.4,3152.4,3578.4
"10am",258468.4,135013.6,21811.2,18829.2,93095.2,38851.2,39873.6,64411.2,18630.4,34477.6,37204,25815.6,11218,10422.8,5566.4,29734.8,21669.2,20078.8,101444.8,13348,11587.2,14342,369.2,4146.4,1931.2,908.8,18829.2,22350.8,19624.4,32745.2,28854.4,7128.4,454.4,1079.2,2186.8,8094,8207.6,3322.8,3180.8,10593.2,1306.4,13433.2,29138.4,4970,9315.2,766.8,8463.2,22350.8,21470.4,24054.8,13830.8,2982,12609.6,38226.4,12609.6,4345.2,48620.8,10252.4,4941.6,1448.4,1760.8,8150.8,4742.8,1420,7128.4,3180.8,653.2,4373.6,5538,2953.6,482.8,7810,4288.4,6304.8,1476.8,11104.4,397.6,1817.6,1618.8,11388.4,340.8,880.4,2669.6,3379.6,11672.4,1732.4,2044.8,1334.8,1192.8,10877.2,12354,6361.6,8520,17551.2,5708.4,1448.4,12751.6,3010.4,3464.8,10138.8,16727.6,8804,9485.6,1704,14938.4,26042.8,738.4,2272,3521.6,2414,1334.8,3067.2,3919.2
