"hour";"001";"002";"003";"004";"005";"006";"007";"008";"009";"010";"011";"012";"013";"014";"015";"016";"017";"018";"019";"020";"021";"022";"023";"024";"025";"026";"027";"028"
"6pm";"17.7168026";"22.2293233";" 4.1075455";" 5.5026946";"15.8768572";"14.4858377";" 4.9482534";" 8.0103405";" 8.7983636";" 8.0626475";" 7.0174636";" 7.7121031";" 6.3461812";" 5.9414262";"13.1509758";"10.2417701";" 3.1300852";" 7.8014609";" 1.5778724";" 1.6754533";" 6.9346890";" 2.0506076";" 3.4191096";" 1.5231851";" 0.9441405";" 2.7433359";" 1.4691437";" 2.5358868"
"7pm";"21.3807793";"22.0415278";" 8.9736803";" 7.1092405";"12.8324848";"10.7528617";" 7.1523639";" 6.5284541";" 9.8852444";" 7.9506877";" 8.1477737";" 7.6448194";"11.6120272";" 6.3420249";" 9.2724148";" 6.0062958";" 5.7251833";" 6.6830596";" 5.1743614";" 5.2987074";" 2.6440755";" 1.3961013";" 7.3877418";" 9.4311579";" 6.2126117";" 1.7811288";" 0.6958515";" 1.8174169"
"8pm";"21.1637956";"20.6540092";"12.3923554";" 5.7876118";"14.0527282";" 9.5947724";"13.1491267";" 6.9925876";" 6.7782557";" 5.1354943";" 6.7277361";" 8.7978964";"13.1569521";" 5.5799863";" 9.8981559";" 7.7346813";" 6.5825830";" 9.4009898";"10.7335071";" 3.7331703";" 9.3008618";" 2.5462131";" 6.5142794";"10.9891040";"10.5050794";" 0.5534055";" 2.4975381";" 3.5321449"
"9pm";"24.817452";"18.485492";"11.328865";" 5.260485";"11.918685";" 7.721948";"10.880500";" 6.890849";" 4.208185";" 2.846191";" 4.522671";" 8.892890";" 7.475437";" 5.353577";" 9.436334";" 9.627845";" 3.337882";" 9.332063";" 7.658268";" 1.415031";" 6.794679";" 2.443745";" 3.226888";" 9.303434";"10.126053";" 0.529889";" 3.036619";" 2.299062"
"10pm";"21.8637775";"11.0214001";" 7.1565390";" 1.7668282";" 9.6854401";" 3.0592277";" 6.6530049";" 4.9217385";" 1.5048164";" 2.3484919";" 3.2631290";" 4.5879273";" 3.1987654";" 3.4067519";" 4.4221669";" 6.6024953";" 1.3707412";" 5.8279377";" 4.5546498";" 0.1916696";" 3.4261382";" 1.8942594";" 1.5833680";" 3.6764345";" 8.8211929";" 0.0000000";" 1.9159601";" 0.0000000"
"11pm";"18.0320483";" 7.2494410";" 5.6130776";" 1.7258341";" 6.9007209";" 2.7892802";" 2.7945949";" 4.0924990";" 0.0000000";" 0.0000000";" 3.2593269";" 2.9377677";" 0.7268218";" 0.0000000";" 2.1025373";" 1.1873639";" 0.8323868";" 1.4411221";" 2.1647755";" 0.1898909";" 0.5948694";" 0.0000000";" 0.0000000";" 3.6764345";" 8.0120701";" 0.0000000";" 1.1607566";" 0.0000000"
"12pm";"14.7398202";" 5.5304550";" 4.6312144";" 1.3532125";" 1.5680258";" 1.6102209";" 2.7945949";" 2.9827876";" 0.0000000";" 0.0000000";" 0.0000000";" 2.3134444";" 0.7152320";" 0.0000000";" 2.0744400";" 1.1687914";" 1.0471531";" 0.4478253";" 0.8758295";" 0.1913026";" 0.5948694";" 0.0000000";" 0.0000000";" 3.6764345";" 0.0000000";" 0.0000000";" 0.0000000";" 0.0000000"
"1am";"10.6536895";" 5.5227065";" 2.2358952";" 1.3532125";" 1.5680258";" 1.6036072";" 1.4608306";" 2.9695811";" 0.0000000";" 0.0000000";" 0.0000000";" 1.4061239";" 0.7152320";" 0.0000000";" 2.0744400";" 1.1610435";" 0.0000000";" 0.4425312";" 0.0000000";" 0.1899598";" 0.5948694";" 0.0000000";" 0.0000000";" 3.6415994";" 0.0000000";" 0.0000000";" 0.0000000";" 0.0000000"
"2am";"6.1198308";"5.4237436";"1.2546969";"1.3271452";"1.5577236";"0.9143974";"1.4608306";"2.9561511";"0.0000000";"0.0000000";"0.0000000";"1.4061239";"0.7152320";"0.0000000";"2.0744400";"0.5594318";"0.0000000";"0.4425312";"0.0000000";"0.1899598";"0.5948694";"0.0000000";"0.0000000";"3.6415994";"0.0000000";"0.0000000";"0.0000000";"0.0000000"
"3am";"4.9483891";"5.4922341";"1.2546969";"0.3568898";"1.5577236";"0.9092762";"1.4608306";"2.9561511";"0.0000000";"0.0000000";"0.0000000";"1.1336834";"0.0000000";"0.0000000";"2.0744400";"2.1000445";"0.0000000";"0.4425312";"0.0000000";"0.1899598";"0.5948694";"0.0000000";"0.0000000";"3.6415994";"0.0000000";"0.0000000";"0.0000000";"0.0000000"
