"3pm",12069.7595,9268.15333,8379.56808,11042.6731,18645.74545,16604.08007,3502.87568,2361.63919,6493.21841,2512.6744,2199.85917,10813.70483,7545.08266,4981.27336,1712.20412,1533.93112,4694.88135,0,1087.72039,0,0,931.07096,1734.77334,7467.18716,1995.62276,788.29973,1014.40217,0,1049.42323,6576.75952,736.82859,877.43879,1328.33748,0,899.36291,3076.71942,891.30651,0,0,1817.50729,784.12593,2508.81428,1920.75943,7770.96881,4684.98088,1110.40276,1080.77278,761.38341
"4pm",9601.99723,7682.30372,7271.65661,9018.3708,15480.57647,14082.72052,2354.77456,1785.12615,5633.00593,2596.0815,2029.47494,9434.19264,6555.48759,3450.07284,1500.12677,1524.92022,4514.93491,0,1005.06806,0,0,843.8962,2001.67433,6004.74875,2460.37471,0,639.23061,918.0495,857.99815,4988.17462,0,837.16347,1321.93388,0,520.77421,2588.74991,766.0651,979.49369,0,1874.82635,618.17064,2155.15673,1633.66357,6212.29106,4142.64756,1034.86957,895.13066,0
"5pm",8089.23727,5370.2801,4902.90754,5108.89982,10273.08132,10072.59979,1614.64647,1353.39672,3076.54908,1724.32809,1460.59155,5376.45361,4042.69806,3178.74989,647.69232,0,3219.73495,0,0,809.29399,520.9724,0,1317.37159,4499.29512,1719.36973,675.69509,0,0,0,3088.40493,0,0,0,0,0,1348.69593,667.76773,0,0,1300.05136,0,1063.54944,1148.36559,3779.83341,1436.33284,0,1006.6984,0
"6pm",6113.54339,3895.31475,4016.3198,3560.6046,5984.0893,5601.58979,1271.90579,684.45639,2787.79429,1887.36094,0,3189.40997,2916.02041,1729.84698,0,0,1799.74316,0,0,0,0,0,796.38884,2821.34751,1238.23544,0,0,0,0,2029.50409,0,0,0,0,0,0,0,0,0,0,0,648.42804,0,1933.8878,801.07639,0,0,0
"7pm",3524.69319,2169.0752,3137.68895,1343.61116,3551.98707,4083.48055,1360.3078,0,2249.67872,0,0,2023.68161,1247.38234,0,0,0,1176.74786,0,0,0,0,0,0,1695.33975,0,0,0,0,0,1226.80527,0,0,0,0,0,0,0,0,0,0,0,0,0,942.68729,0,0,0,0
"8pm",3092.62433,2043.64635,2279.27287,1798.59667,2389.47314,3772.00932,1003.56894,0,1768.28823,0,0,2245.52416,859.66641,0,0,0,1035.72215,0,0,0,0,0,0,1493.97281,0,0,0,0,0,1018.87117,0,0,0,0,0,0,0,0,0,0,0,0,0,928.0507,0,0,0,0
"9pm",2938.42887,1555.19889,1875.4149,1543.94046,1567.25684,3322.20854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1134.68795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10pm",2569.28061,1196.96707,1600.8179,0,0,2404.91885,0,0,943.9734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11pm",0,0,1252.4671,0,0,1319.80383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12pm",0,0,0,0,0,1104.01185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1am",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2am",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3am",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
