"hour","101","102","103","104","105","106","107","108","109","110","111","112","113","114","115","116","117","119","121","123","124","125","127","128","129","130","132","201","202","203","205","206","207","208","209","210","213","214","215","216","217","218","219","220","221","222","223","224"
"min",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"max",20938.67175,20938.67175,20938.67175,20938.67175,20938.67175,20938.67175,20938.67175,20938.67175,20938.67175,20938.67175,20938.67175,20938.67175,20938.67175,20938.67175,20938.67175,20938.67175,20938.67175,20938.67175,20938.67175,20938.67175,20938.67175,20938.67175,20938.67175,20938.67175,20938.67175,20938.67175,20938.67175,20938.67175,20938.67175,20938.67175,20938.67175,20938.67175,20938.67175,20938.67175,20938.67175,20938.67175,20938.67175,20938.67175,20938.67175,20938.67175,20938.67175,20938.67175,20938.67175,20938.67175,20938.67175,20938.67175,20938.67175,20938.67175
"4am",0,0,0,0,1778.35051,1182.01981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5am",0,0,835.23678,0,2470.47565,1716.46433,0,0,0,0,0,0,0,759.21717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,871.97332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6am",0,1041.92069,1066.37226,0,4284.74704,2364.57367,0,0,968.64182,0,0,903.75554,1182.00728,1180.97029,0,0,1058.66865,0,0,0,0,0,0,1207.53472,0,0,662.88837,0,0,1541.25476,0,0,0,0,0,0,0,0,0,0,0,0,0,832.03703,763.4881,0,0,0
"7am",2364.58575,4906.54806,4240.58168,5582.05932,13092.37202,8635.73226,1085.63177,1295.11551,2895.80291,857.19484,1111.08907,5287.13244,3973.61859,2932.60509,1148.45611,907.52327,3181.31352,0,0,0,0,0,809.8647,4686.12399,717.70342,0,1197.32044,0,0,4094.56674,0,0,921.83086,0,0,1893.29179,0,0,0,0,0,1135.49215,0,2809.75828,4308.16211,0,0,0
"8am",5915.75503,9609.11193,7964.41619,9032.49465,19217.87769,15175.37839,2546.7725,2058.44769,4920.39738,1297.1914,1638.51345,8279.35114,6175.86924,4580.61533,1198.19788,1254.9481,4742.17061,0,962.6559,0,0,1226.16878,1610.59284,7521.2372,1498.77132,0,1637.702,0,0,6180.31172,0,827.31004,1806.44464,0,0,3074.20013,1313.83937,0,649.69469,1176.44036,1257.05743,1705.08668,987.10477,6017.76886,5390.95721,1022.4416,1371.3314,0
"9am",9042.44864,9938.44497,10167.03627,11272.64128,20714.96025,16220.92221,3100.64741,2479.71235,6129.39896,2164.81964,1780.03576,11111.78535,7700.19596,5429.36357,1694.78314,1469.1327,5407.1297,968.19657,1318.33584,0,0,1405.96494,1597.58525,8325.16049,1771.52774,0,1623.19849,0,0,6639.01978,0,1047.11811,1894.06805,775.7579,616.68615,3397.96143,1183.23015,0,649.69469,1248.22699,1205.46788,2157.0069,1544.38145,7238.55497,5845.98058,1167.95887,1551.25235,0
"10am",10258.07963,11340.60522,9922.66755,11731.10344,20938.67175,17207.62934,3349.29938,2306.39588,6674.74132,1797.84929,2016.95922,11338.64245,7036.04488,5419.41808,1648.55656,1434.47079,5436.02728,0,1251.71685,0,0,1381.66782,1811.14563,8518.30765,2174.59388,573.10249,1623.19849,0,0,6771.69687,0,1024.86538,1470.10078,866.29225,632.31534,3632.45128,1445.86217,883.3322,689.56558,1300.9221,1123.51765,2234.41591,1382.41794,7427.97098,5592.42236,1277.88557,1606.11569,549.65633
"11am",9172.5386,10636.13004,9285.74215,11957.59812,20509.75113,15987.73309,2995.09883,2511.40609,5725.34999,1565.10469,2298.81808,9770.27395,6297.09375,4964.32397,1435.86944,1353.48424,4743.85809,0,924.80995,0,0,1301.42848,1805.04583,8080.21385,1477.74605,0,1622.16051,0,0,6370.12725,790.59521,725.41901,1328.17808,762.518,576.03153,3492.82389,1391.83295,0,0,1238.37369,1123.51765,1767.00152,1251.22429,6425.19956,5420.27278,1083.5061,1252.40382,745.79538
"12am",8819.82431,7079.7094,7879.5107,9279.33734,16673.61247,14324.06689,2758.24313,2214.13057,4390.26393,1560.50865,2113.40285,8257.28879,4517.22342,4541.72333,1240.50372,1514.92042,4416.97626,0,806.63048,0,0,1124.60748,1690.51013,7198.56907,1005.44791,0,1697.34159,0,0,5307.37462,0,0,1138.27867,0,597.38126,2822.65903,957.72781,0,0,1235.17963,640.11407,734.43716,1154.13302,5001.64433,3439.04523,967.76056,0,0
"1pm",10308.5556,7960.18439,8429.35594,9936.65772,18839.35705,17434.91576,2810.20561,2267.212,5935.92731,2426.81388,2145.02558,10226.49009,6333.5853,5072.69151,1404.79254,1214.76116,5064.85501,0,875.07373,0,0,933.76462,1790.52055,7580.9817,1265.31934,0,1157.62082,0,1071.74647,5865.6018,733.43145,655.18299,1222.0858,0,909.58667,3549.96412,1278.03697,0,610.33714,1688.91163,0,1763.9335,1786.22586,6878.37112,4362.00023,1019.49062,1030.57962,754.17108
"2pm",11114.72083,9562.22614,8902.36061,10831.54301,20400.13978,16910.73329,3281.01311,2758.26183,6506.23298,2608.1999,1987.59363,11278.10324,6864.412,7155.90901,1444.53,1527.12623,5252.34932,0,1044.54256,636.98204,0,931.07096,1736.52288,7645.7614,1673.50288,0,1128.01888,0,1253.44144,6344.26034,0,728.1449,1418.59892,0,836.77994,3628.60647,1168.10479,0,723.4197,1773.66195,590.77928,2213.69665,2036.66762,8062.26312,4674.70377,1179.63377,997.82162,691.67276
