"district","hour","cspmen1","cspmen2","cspmen3","cspmen4","cspmen5"
"029","5am",0.7217341,20.91581,54.15204,13.58048,10.629939
"030","5am",3.4237755,20.214823,40.9601,19.40727,15.994024
"031","5am",7.9061126,14.303243,48.77006,14.39955,14.621032
"032","5am",4.3686693,17.058712,52.38296,16.10152,10.088133
"033","5am",5.3201107,29.772633,21.6971,40.29347,2.916688
"034","5am",2.1899395,26.227416,22.41013,35.28742,13.885097
"035","5am",8.7409134,24.242903,32.2248,25.26416,9.527233
"036","5am",2.2212968,22.054884,35.01717,33.51506,7.191589
"037","5am",2.0537059,11.906965,21.95752,40.49105,23.590762
"038","5am",3.8876948,19.247422,26.38131,39.52746,10.956114
"041","5am",3.382024,14.096112,28.58987,38.66866,15.263331
"042","5am",5.6221688,18.862398,27.01168,31.10767,17.396084
"043","5am",2.2409692,13.183571,38.78378,30.44177,15.349915
"044","5am",0,20.04764,37.87823,29.73011,12.344026
"045","5am",0,16.057767,30.65438,29.60733,23.680521
"046","5am",2.6675721,24.414789,32.00812,34.29736,6.612163
"047","5am",0.6855902,16.542231,40.76243,33.30276,8.706988
"048","5am",1.0723875,39.524989,30.93041,23.40801,5.064213
"049","5am",0.7516028,31.383007,19.17519,36.27162,12.418572
"050","5am",0.5091761,20.290252,23.56361,41.35441,14.282561
"051","5am",0,12.641396,28.4139,42.19979,16.744914
"052","5am",2.9364234,32.723125,30.18946,22.40389,11.747105
"053","5am",0.6056676,29.782757,23.52377,34.3984,11.689408
"054","5am",9.2468185,20.315516,42.13603,18.38359,9.91805
"055","5am",0.4096823,14.102921,39.74165,29.56727,16.178476
"056","5am",2.5976234,25.621411,32.75373,31.4864,7.540841
"057","5am",1.0939517,24.315031,34.97336,21.03248,18.585178
"058","5am",1.7086721,25.656567,32.33677,26.8639,13.434091
"059","5am",0,24.922298,40.44122,29.71591,4.920575
"060","5am",0,21.385672,38.27314,28.13501,12.206177
"061","5am",0.922003,18.51816,36.93919,32.84956,10.771092
"062","5am",4.5712074,28.167439,25.8168,32.14029,9.304261
"063","5am",1.5994122,14.439877,34.43281,30.66954,18.858361
"064","5am",4.3873663,10.96812,32.00264,39.20812,13.433748
"065","5am",3.7571055,26.269025,31.74007,26.19291,12.040885
"066","5am",5.2637736,24.348971,26.39115,35.64328,8.352833
"067","5am",4.98211,25.189577,32.53347,25.91922,11.375629
"068","5am",7.1138061,21.938065,33.82224,25.98299,11.142903
"069","5am",5.7487376,28.13584,28.86173,32.96687,4.286819
"070","5am",0.4747026,31.683024,29.23868,35.64704,2.956559
"071","5am",0.3462322,33.398562,28.60965,33.44926,4.196289
"072","5am",3.4813891,19.076977,41.57257,32.40128,3.467779
"073","5am",0.591508,33.616487,33.2807,24.94268,7.568628
"074","5am",0.9395717,28.402088,25.7376,31.68366,13.237077
"075","5am",0,15.611005,42.57429,33.64036,8.174348
"081","5am",1.0396122,12.115489,41.32007,36.86578,8.659054
"082","5am",0.8490061,17.311625,38.67753,37.98937,5.172471
"083","5am",0,34.781716,21.42585,37.89992,5.892515
"001","6am",4.3347221,4.852041,16.3812,38.55985,35.872187
"002","6am",4.1383788,10.72341,29.56941,21.70456,33.864245
"003","6am",10.5771844,9.100108,17.23948,31.85243,31.230793
"004","6am",4.6046691,16.706978,27.42944,35.74432,15.51459
"005","6am",0,25.732746,42.89681,26.9135,4.456947
"006","6am",3.6689905,27.050323,17.07941,37.09817,15.103109
"007","6am",12.5210522,16.383176,39.51148,19.84608,11.738211
"008","6am",8.8744126,6.444032,38.46552,21.00818,25.207854
"009","6am",8.9603411,6.758421,32.99437,28.72446,22.562417
"010","6am",10.631209,19.022691,41.09856,20.19166,9.055878
"011","6am",8.0843833,11.697703,47.99406,17.43326,14.790588
"012","6am",6.9652757,10.33278,47.96025,20.72241,14.01928
"021","6am",1.5628605,4.768437,40.38139,29.84113,23.446187
"022","6am",0.708218,4.759414,37.02336,32.95538,24.553627
"023","6am",9.1297722,11.093663,28.22369,22.20801,29.344865
"024","6am",2.3692849,4.87085,36.46359,24.96258,31.333697
"025","6am",4.2947279,8.698429,46.25991,23.41551,17.331424
"026","6am",2.9685988,17.715916,44.81387,24.02792,10.473698
"027","6am",0,16.576356,48.4899,21.30615,13.627601
"028","6am",3.2605145,12.000657,43.96623,19.61634,21.15626
"029","6am",0.7171057,19.918519,53.16678,15.63583,10.56177
"030","6am",3.1945846,24.042453,40.48161,17.35798,14.923368
"031","6am",7.9103853,15.616198,46.82136,14.19388,15.458173
"032","6am",4.3802697,17.414432,52.39193,16.14428,9.669087
"033","6am",5.5177817,28.073374,23.12994,40.25385,3.025058
"034","6am",2.1694357,27.955834,20.5789,33.4675,15.828326
"035","6am",8.9660177,24.570795,31.77972,24.91088,9.772587
"036","6am",2.6950562,20.16757,33.00053,36.05351,8.083333
"037","6am",2.2108153,9.971274,21.25646,41.16599,25.395465
"038","6am",3.9834102,18.202182,28.62627,37.96229,11.225855
"041","6am",3.4556315,12.956757,27.41942,40.57266,15.595527
"042","6am",5.6650637,20.753827,26.10678,30.75996,16.714374
"043","6am",2.3367228,11.146234,39.07627,31.43498,16.005797
"044","6am",0,21.060869,37.57567,29.3089,12.054555
"045","6am",0,13.987628,30.93607,30.66906,24.407242
"046","6am",2.772537,24.268817,33.26759,32.81872,6.872342
"047","6am",0.5180567,18.231348,39.86234,33.4996,7.888651
"048","6am",1.1226723,38.163701,31.62906,24.33265,4.751917
"049","6am",0.9255208,33.016191,17.85114,35.89966,12.307483
"050","6am",0.5232356,18.267777,24.51598,42.4963,14.196705
"051","6am",0,12.996442,28.75726,41.66726,16.579034
"052","6am",3.0133455,32.145195,30.62312,22.16351,12.05483
"053","6am",0.6267259,30.657766,23.01874,34.41587,11.280896
"054","6am",8.7144338,23.651839,39.60915,18.67756,9.347019
"055","6am",0.4372214,13.580686,41.6948,31.55481,12.73248
"056","6am",2.8568296,24.236865,33.19892,31.41407,8.293311
"057","6am",1.1662278,26.048527,36.19758,18.93879,17.648878
"058","6am",1.7889587,23.435389,33.8562,27.27352,13.645932
"059","6am",0,25.058362,40.29624,30.7434,3.901999
"060","6am",0,22.155418,39.65072,26.63845,11.555405
"061","6am",1.0097592,17.172876,37.43586,32.92901,11.452491
"062","6am",4.6519077,25.741348,26.69668,33.44154,9.468519
"063","6am",1.5633897,14.114657,36.32121,30.10579,17.894947
"064","6am",4.4716539,11.178833,33.00416,38.40936,12.936
"065","6am",3.793588,26.316283,31.58048,26.30159,12.008064
"066","6am",5.3374115,26.692587,24.875,34.62532,8.469686
"067","6am",5.2143272,24.011639,33.71937,25.14882,11.905849
"068","6am",7.4801909,18.89686,35.48302,27.3212,10.818734
"069","6am",5.9697308,28.761172,26.5833,34.23419,4.451613
"070","6am",0.471176,32.696645,29.02146,34.87612,2.934594
"071","6am",0.3512247,33.475899,28.63034,33.28574,4.256798
"072","6am",3.5372734,19.044545,42.23991,31.65483,3.523444
"073","6am",0.5999789,32.665825,33.7573,25.29988,7.677017
"074","6am",0.9669596,26.234628,27.08997,32.08552,13.622929
"075","6am",0,14.880643,43.28343,33.42303,8.412891
"081","6am",1.0788753,12.573055,39.1039,38.25809,8.986081
"082","6am",0.8669629,17.677774,38.73096,37.8634,4.8609
"083","6am",0,33.325705,22.8759,37.50709,6.291306
"001","7am",4.2129991,7.469338,19.80224,34.47808,34.037348
"002","7am",4.1136991,11.307117,29.37129,27.24954,27.958354
"003","7am",10.880341,9.836791,20.5601,28.74378,29.97899
"004","7am",4.1834308,17.135918,27.1602,35.31092,16.209536
"005","7am",0.7562024,20.352702,44.18918,24.15549,10.546424
"006","7am",3.5160415,23.02108,21.06743,39.87777,12.517678
"007","7am",12.177025,17.129982,39.09785,19.45594,12.139196
"008","7am",7.7222433,6.297668,34.89668,28.3108,22.772611
"009","7am",9.2782265,8.127353,34.50647,29.05528,19.032678
"010","7am",9.839839,18.084499,45.70623,12.83496,13.534465
"011","7am",7.7163842,10.61121,45.70527,19.8508,16.116335
"012","7am",6.4427937,14.969187,43.91548,24.73899,9.933549
"021","7am",1.3961904,6.70037,38.78521,26.96827,26.149953
"022","7am",0.7744825,5.748207,40.686,29.00058,23.790739
"023","7am",8.0584207,17.984282,29.73026,20.88883,23.33821
"024","7am",2.0368084,8.216801,37.08922,24.9872,27.669968
"025","7am",4.0840765,9.23195,45.72637,21.83164,19.125957
"026","7am",1.5750481,17.51038,48.10064,25.69474,7.119191
"027","7am",0,20.206809,42.80176,23.40094,13.590499
"028","7am",3.478245,15.222487,43.27037,17.77211,20.256793
"029","7am",0.8114209,21.912759,46.58508,18.91407,11.776666
"030","7am",3.2760623,24.89061,39.72307,17.93412,14.176139
"031","7am",8.4849613,15.561418,40.92302,15.9178,19.112794
"032","7am",6.2458896,23.348852,49.34464,11.71405,9.34656
"033","7am",7.5776316,28.480481,23.01632,38.98162,1.943948
"034","7am",2.9397973,27.338145,16.45874,32.76784,20.495475
"035","7am",8.7335977,26.507589,27.34665,30.1127,7.299464
"036","7am",3.022428,24.115745,30.40333,35.08615,7.372342
"037","7am",2.292655,14.080876,21.95585,35.22549,26.445128
"038","7am",3.2292027,15.67262,29.09853,40.91577,11.083881
"041","7am",1.4524966,19.738914,29.28439,34.53045,14.993749
"042","7am",6.226243,21.245299,27.76129,30.62824,14.138926
"043","7am",2.9106079,11.688318,35.96153,35.30374,14.135805
"044","7am",0,22.476448,34.49709,31.37865,11.647809
"045","7am",0,17.209735,38.23785,24.66337,19.889043
"046","7am",3.3486884,22.510754,32.24261,35.33121,6.566735
"047","7am",0.5180742,24.229884,35.34726,33.3738,6.530987
"048","7am",1.2752174,36.984521,31.12133,26.3079,4.311028
"049","7am",1.0719016,33.341979,26.55017,30.22672,8.809234
"050","7am",0.5165401,22.867033,23.87945,39.92195,12.815031
"051","7am",0,19.733659,29.26982,37.04471,13.951808
"052","7am",3.2383465,34.111385,29.30541,21.35027,11.994584
"053","7am",0.7045389,31.388936,21.77158,36.0291,10.105851
"054","7am",5.1235987,19.181395,35.80281,25.31082,14.581374
"055","7am",0.4752334,15.378139,42.05216,28.49757,13.596896
"056","7am",3.6051875,21.68427,36.31885,29.832,8.559694
"057","7am",1.4608244,25.475554,36.81284,22.95315,13.297627
"058","7am",2.7336558,22.642203,33.85125,27.7851,12.9878
"059","7am",0.3459663,26.455319,43.27336,27.11572,2.809635
"060","7am",0,23.474595,37.9179,29.0793,9.528205
"061","7am",1.0779649,19.464028,40.06457,28.43213,10.961309
"062","7am",5.6156009,25.511813,24.92529,35.38412,8.563174
"063","7am",1.6250448,15.857155,34.93815,29.51993,18.059717
"064","7am",4.5050903,15.64876,34.55839,34.74969,10.538073
"065","7am",3.6414195,23.301809,32.28509,28.55059,12.221092
"066","7am",4.8641369,25.020279,26.32889,36.72201,7.064679
"067","7am",5.7287919,26.928282,28.21154,26.78199,12.349397
"068","7am",7.0875918,18.689042,37.29074,26.44602,10.486601
"069","7am",6.0286915,30.963588,24.05364,35.3274,3.626678
"070","7am",0.5544908,27.529395,33.82918,35.41217,2.674766
"071","7am",0.4100103,31.430937,31.36495,33.37557,3.418526
"072","7am",2.3478507,17.0052,44.1139,32.92242,3.61063
"073","7am",1.0988267,33.503804,32.68186,25.67668,7.038828
"074","7am",1.1881696,28.068792,26.7926,30.79384,13.156606
"075","7am",0,20.192844,45.64191,24.7414,9.423845
"081","7am",1.2600807,11.721308,41.94341,35.37122,9.703985
"082","7am",1.2788334,18.339159,39.39835,35.57662,5.407038
"083","7am",0,32.974616,23.51071,36.76343,6.751235
"001","8am",4.6185203,8.379749,22.86967,34.54693,29.585128
"002","8am",4.0031773,10.230479,31.04608,31.94073,22.77954
"003","8am",11.5869462,9.943155,27.60177,26.04519,24.822932
"004","8am",4.2625611,17.871952,31.59044,29.96905,16.305997
"005","8am",3.7348468,17.170396,37.82936,26.11773,15.147667
"006","8am",3.3197806,16.05701,31.70639,35.36993,13.546895
"007","8am",11.320973,19.624073,44.64581,16.76736,7.641789
"008","8am",3.9155398,8.22548,32.02265,28.67914,27.15719
"009","8am",8.4490112,8.451264,35.66026,32.06104,15.378426
"010","8am",7.7110344,18.572731,46.35624,11.69718,15.662816
"011","8am",6.3715562,10.482347,42.9419,25.13775,15.066444
"012","8am",6.9537027,13.233824,47.07034,26.69403,6.048107
"021","8am",1.0179056,7.754796,37.86845,25.48204,27.876808
"022","8am",0.9398584,9.9259,37.09548,30.0482,21.990562
"023","8am",5.6907508,20.960973,32.6674,20.41373,20.267151
"024","8am",2.0019415,7.965051,32.25351,25.37036,32.409139
"025","8am",4.3975445,9.757405,47.48423,22.69647,15.664346
"026","8am",2.7746681,16.89545,47.10481,22.08184,11.143231
"027","8am",0,20.013738,50.97071,20.224,8.791558
"028","8am",4.4452007,17.308419,47.05393,20.52117,10.671279
"029","8am",0.9765844,24.925438,42.7225,20.9337,10.44177
"030","8am",3.1692952,23.371868,42.32749,17.78609,13.345256
"031","8am",6.1719095,13.640457,34.82311,23.67448,21.690044
"032","8am",4.7015756,23.875056,39.85133,17.06863,14.503403
"033","8am",6.7182167,28.832767,22.26768,39.946,2.235344
"034","8am",2.4622459,21.350712,24.97432,34.3353,16.877415
"035","8am",8.4502147,25.288216,24.30416,29.49022,12.467194
"036","8am",3.7857359,23.152463,32.79306,33.38124,6.887499
"037","8am",2.6489505,16.761067,25.32978,33.77884,21.481361
"038","8am",4.8195222,19.81042,29.0389,35.42795,10.90321
"041","8am",1.4708401,21.061564,29.55508,35.28739,12.625129
"042","8am",5.6291533,24.403267,29.93305,30.65303,9.381506
"043","8am",3.8076967,19.275085,33.64819,35.74315,7.525874
"044","8am",0,21.363469,30.43697,29.40273,18.796833
"045","8am",0,21.063435,38.69673,29.64666,10.593172
"046","8am",3.9386322,25.844918,26.20165,35.0107,9.004106
"047","8am",0.4109262,23.638103,32.69346,32.70044,10.557067
"048","8am",1.3786581,38.893467,31.40356,26.10109,2.223218
"049","8am",1.1028553,33.336313,28.10031,31.81703,5.643495
"050","8am",0.642147,26.770269,29.41392,30.50765,12.666015
"051","8am",0,14.662493,28.28416,39.62069,17.432662
"052","8am",3.4252817,33.51462,26.7911,26.10404,10.164963
"053","8am",0.6981498,31.544792,25.284,30.32407,12.148992
"054","8am",6.2837253,17.003069,34.59858,25.97852,16.136108
"055","8am",0.5338618,15.639181,35.11397,33.27765,15.435341
"056","8am",3.9354072,21.807146,30.33833,33.98543,9.933679
"057","8am",1.8528302,35.549284,36.37915,19.98961,6.229128
"058","8am",2.8809208,24.537578,34.27718,30.39219,7.912126
"059","8am",0.3852016,28.884113,41.93799,25.75515,3.037546
"060","8am",0,28.361305,34.99492,28.62713,8.016653
"061","8am",2.7197536,19.263881,39.45552,30.17982,8.381023
"062","8am",5.9493849,30.068205,21.98433,36.02994,5.968146
"063","8am",1.3607122,15.50652,36.40113,30.12545,16.606193
"064","8am",4.1103212,15.505474,35.01239,33.65684,11.714975
"065","8am",3.5324009,22.914213,31.16538,30.04193,12.346071
"066","8am",3.5720744,24.107018,26.685,40.69637,4.93954
"067","8am",2.4169677,28.357259,29.34421,25.8504,14.031161
"068","8am",6.6140961,19.53909,39.18053,25.41124,9.255044
"069","8am",6.1055302,28.015423,26.65638,35.88516,3.337509
"070","8am",0.6435947,29.48573,32.60157,35.26352,2.005584
"071","8am",0.4425157,28.029685,31.06697,36.87134,3.589486
"072","8am",2.5448367,18.583281,42.02288,33.67938,3.169622
"073","8am",1.0235635,30.746323,32.18147,29.16959,6.879061
"074","8am",1.3550416,33.657645,23.76549,31.67169,9.550135
"075","8am",0,21.816094,44.8379,24.40753,8.938471
"081","8am",1.3019571,12.110843,38.04424,36.90428,11.638682
"082","8am",0.9234039,19.525829,38.18797,35.21655,6.146246
"083","8am",0,33.501688,26.97255,36.64851,2.877253
"001","9am",4.8568865,9.054534,26.30031,33.33898,26.449289
"002","9am",3.3861998,10.017167,31.31584,33.12579,22.154998
"003","9am",11.8413247,14.05073,27.70897,26.37418,20.024793
"004","9am",2.7772611,17.045027,36.4442,26.63617,17.097347
"005","9am",4.0139942,13.931723,37.0948,25.75002,19.209463
"006","9am",3.2690274,15.811528,32.14042,34.59047,14.188552
"007","9am",11.7847341,18.440868,41.99513,18.71537,9.063893
"008","9am",3.968921,7.330882,34.28735,26.07642,28.336427
"009","9am",8.9975775,8.850889,31.7725,33.45566,16.92337
"010","9am",5.9642083,18.153831,45.46967,13.39467,17.017621
"011","9am",9.5852869,10.855711,42.96524,25.45195,11.141816
"012","9am",6.9339035,15.629022,47.11794,26.45726,3.861881
"021","9am",1.263093,7.273746,37.40039,27.29251,26.770263
"022","9am",0,10.953678,38.02525,29.41073,21.610338
"023","9am",5.7108404,19.907242,33.42144,19.91364,21.04684
"024","9am",1.7301179,9.375803,28.89533,24.34307,35.655684
"025","9am",3.4144649,8.793166,49.3024,23.1029,15.387068
"026","9am",5.2324012,14.45398,41.52191,25.86256,12.929155
"027","9am",0,18.437104,53.63389,18.60444,9.324565
"028","9am",4.8596565,15.633906,48.92698,19.27783,11.301635
"029","9am",1.0942598,25.067713,40.87266,21.72805,11.237314
"030","9am",3.1507553,22.439211,43.06011,19.67434,11.675579
"031","9am",6.1466296,13.934042,34.00421,25.00614,20.908976
"032","9am",4.5507362,22.444659,38.93045,16.08817,17.985988
"033","9am",4.6278933,30.092971,18.8891,43.93895,2.45109
"034","9am",3.9533342,18.750957,25.96879,34.41995,16.906965
"035","9am",7.8535722,26.42554,26.01085,28.40456,11.305472
"036","9am",3.6863361,23.807922,32.13082,32.89727,7.47766
"037","9am",2.607814,18.979115,25.46088,32.92015,20.032045
"038","9am",2.7222075,19.890992,32.48189,32.91895,11.98596
"041","9am",1.5310401,19.082553,34.1596,32.08495,13.141862
"042","9am",5.716873,27.016012,28.55234,30.56565,8.149117
"043","9am",4.1346413,20.930123,32.44109,34.32206,8.172077
"044","9am",0,21.677123,27.65955,31.90184,18.761483
"045","9am",0,23.537975,39.07798,27.10753,10.276512
"046","9am",4.0564042,23.552122,30.52971,33.20723,8.654526
"047","9am",0.4022402,24.117633,32.30095,32.77385,10.405325
"048","9am",1.3827503,38.895931,31.97315,25.16835,2.57982
"049","9am",0.1813687,31.360821,27.81008,34.19655,6.451179
"050","9am",0,29.398683,25.52152,32.64106,12.438741
"051","9am",0,13.031334,30.788,39.95987,16.220797
"052","9am",3.3510358,32.788162,26.39527,27.17366,10.291873
"053","9am",0.7402129,33.445345,24.12158,28.8119,12.880961
"054","9am",6.1928343,16.981793,36.43053,24.60341,15.791433
"055","9am",0.5778184,16.926864,37.96627,31.58511,12.943946
"056","9am",4.2897756,20.619618,30.34628,35.68436,9.059966
"057","9am",1.7838991,35.316063,39.00849,18.0261,5.865446
"058","9am",2.941427,21.204703,36.38064,30.22902,9.244203
"059","9am",0.452281,30.069825,39.32138,26.59001,3.566507
"060","9am",0,30.432257,33.3665,27.11967,9.081573
"061","9am",2.8817142,20.41104,38.94165,32.6513,5.114294
"062","9am",4.5882967,27.62204,23.0435,36.99559,7.750572
"063","9am",1.3483159,15.66668,37.63435,29.33114,16.01952
"064","9am",5.1494849,16.836243,37.03085,30.41326,10.570161
"065","9am",4.4249002,20.374737,31.9146,29.34373,13.942033
"066","9am",3.8125533,24.425216,23.86008,41.77381,6.128339
"067","9am",2.5841501,28.295476,27.31854,29.01378,12.788049
"068","9am",6.6832182,20.36344,38.14526,25.45632,9.351766
"069","9am",4.2500498,28.840362,26.79516,36.49132,3.623108
"070","9am",3.1730894,28.602491,31.44356,34.68304,2.09782
"071","9am",0.4584705,25.263027,31.45694,37.83502,4.986536
"072","9am",6.1081946,20.833492,35.42519,33.88103,3.752087
"073","9am",1.0093756,30.066679,32.69246,29.36393,6.867553
"074","9am",1.4372179,33.012384,29.22805,28.50762,7.814726
"075","9am",0,19.665292,46.20374,26.20978,7.921192
