"district","hour","educmen1","educmen2","educmen3","educmen4"
"022","6am",583.7033,1130.946,230.7337,50.42626
"023","6am",577.5466,2303.212,298.3544,44.89063
"024","6am",1580.0462,4224.264,552.5163,232.69598
"025","6am",679.1192,5551.675,754.5117,0
"026","6am",1604.2562,3322.171,1079.8251,263.36621
"027","6am",581.4555,2051.382,505.9058,186.41571
"028","6am",460.8796,3954.751,1208.22,471.36439
"029","6am",1334.6535,3670.095,1773.2512,400.4062
"030","6am",1005.0407,1709.398,846.4474,155.11649
"031","6am",1359.2797,4992.185,1439.0667,355.59118
"032","6am",504.4858,3342.825,825.1143,225.73888
"033","6am",1256.787,4417.009,1044.5771,564.84949
"034","6am",449.7089,2458.035,828.8299,514.61107
"035","6am",868.6181,2403.329,875.9951,384.90384
"036","6am",1620.5292,4871.363,755.5901,316.68487
"037","6am",2280.9507,3107.955,1250.9679,402.19827
"038","6am",501.9941,2782.053,422.8147,122.91737
"039","6am",1805.5847,2975.801,2119.3577,182.50192
"040","6am",3192.4503,3945.912,952.6267,65.03693
"041","6am",913.6732,2554.222,1863.4644,766.7338
"001","7am",849.2776,2739.7425,2033.4528,1867.14997
"002","7am",302.7332,4053.329,2242.0145,1029.69589
"003","7am",867.2399,2942.1505,839.5146,1030.45563
"004","7am",352.0739,3665.1956,1250.2444,1207.83419
"005","7am",1428.8765,4343.2593,1694.1117,314.03621
"006","7am",1081.4391,3691.3168,976.7788,89.49624
"007","7am",369.2319,2315.5842,423.8827,81.746
"008","7am",1638.2089,3883.2712,1022.0112,379.41504
"009","7am",490.1762,4816.4004,2488.3581,878.22879
"010","7am",853.6206,4692.224,2042.309,843.54547
"011","7am",585.3613,3153.4462,921.195,271.63268
"012","7am",885.2722,6189.5913,1449.4193,468.50693
"013","7am",1431.777,4734.4259,926.3808,211.67788
"014","7am",849.2433,2878.5999,516.1028,0
"015","7am",1105.3374,3092.8629,285.8173,135.3962
"016","7am",1754.7866,1388.533,330.3457,135.8953
"017","7am",1152.9397,5242.0171,1105.8259,207.99905
"018","7am",1086.2356,4858.1555,956.5365,244.83776
"019","7am",758.9151,1834.0881,1051.1252,302.03143
"020","7am",484.8592,4337.5633,621.9856,552.93483
"021","7am",1897.2714,6488.5412,894.3928,116.59941
"022","7am",513.7141,961.9753,202.9908,40.39878
"023","7am",644.384,2182.0538,265.955,131.49736
"024","7am",1462.9077,3808.485,601.6251,232.69598
"025","7am",679.1192,4895.5935,537.1747,0
"026","7am",1499.9061,2941.4829,771.6889,167.9407
"027","7am",601.9475,1705.9761,343.7191,137.36017
"028","7am",404.1551,3245.693,873.5194,280.58532
"029","7am",1263.3846,3545.6198,1583.5488,485.04547
"030","7am",951.7678,1546.9064,657.8154,117.2017
"031","7am",1300.6452,5410.6796,1474.2755,288.46934
"032","7am",563.3039,2974.4473,635.4969,312.43488
"033","7am",1287.2597,3603.0289,1019.7375,373.28037
"034","7am",341.4608,2156.9015,557.1986,357.95833
"035","7am",823.9565,2091.8641,666.3656,357.7944
"036","7am",1687.2544,4567.281,708.3899,412.12963
"037","7am",2366.926,3481.5381,1006.047,336.0561
"038","7am",640.1688,2746.5903,383.1741,74.1762
"039","7am",1676.4852,2599.8373,1894.4454,182.50192
"040","7am",3017.7507,3509.946,886.0681,65.03693
"041","7am",845.4079,2084.4988,1710.335,544.47501
"001","8am",1022.9925,4469.5791,2862.83,1898.02825
"002","8am",350.0483,4181.1648,2648.0807,942.4895
"003","8am",878.9057,3185.2772,733.0251,444.89144
"004","8am",356.8962,3777.4623,1180.4563,974.74523
"005","8am",1384.7007,4663.8886,1742.0321,606.9026
"006","8am",1092.8922,3605.6367,953.4251,235.24939
"007","8am",442.6968,2341.492,355.3983,176.02982
"008","8am",1711.602,3748.0239,884.7371,407.37352
"009","8am",535.7762,4321.0197,2214.6747,1102.83728
"010","8am",853.6206,4987.3324,2126.6144,480.85711
"011","8am",589.1007,3371.3929,1163.1732,634.50694
"012","8am",915.6502,5610.5608,1423.0935,279.73473
"013","8am",1668.3048,5189.7311,1130.7718,441.49468
"014","8am",906.3033,2766.3335,507.9835,63.31602
"015","8am",996.5335,2647.6903,340.1952,106.56855
"016","8am",1676.294,1314.1325,409.034,225.09951
"017","8am",1116.0523,5107.3602,1100.1201,150.04771
"018","8am",1086.2356,4626.701,895.8502,307.28099
"019","8am",756.5132,1831.529,460.9492,254.71358
"020","8am",594.9762,3949.9589,568.0918,117.66879
"021","8am",1696.6633,6347.7255,1071.1847,287.0695
"022","8am",429.1053,881.3334,144.6315,34.61927
"023","8am",657.0303,2582.5231,256.9932,262.62136
"024","8am",1462.9077,3838.0211,601.6251,237.34295
"025","8am",648.745,4355.9922,455.4682,0
"026","8am",1470.4529,2840.3414,490.5354,189.46337
"027","8am",578.833,1545.5889,271.4321,88.30463
"028","8am",414.268,3185.2826,664.9194,134.05462
"029","8am",1146.7171,3558.1912,1626.8211,517.86298
"030","8am",951.7678,1322.2986,557.4103,65.07884
"031","8am",1263.282,5185.1501,1711.8953,190.16455
"032","8am",518.958,3126.4975,772.4898,348.73804
"033","8am",1239.9445,3374.5087,745.358,106.6389
"034","8am",401.827,1859.1346,491.4512,240.00846
"035","8am",770.1744,1800.2091,521.2339,304.48176
"036","8am",1557.2552,4365.5747,679.893,280.52956
"037","8am",2274.0465,3962.4281,1291.358,336.0561
"038","8am",612.9081,2442.9621,501.8517,134.38191
"039","8am",1589.1523,2589.6865,1731.7433,226.58286
"040","8am",2988.4209,3333.6366,939.9561,154.88532
"041","8am",845.4079,2155.9738,1211.1391,352.36095
"001","9am",1295.8669,5153.1222,3260.2513,1961.22605
"002","9am",350.0483,4388.9047,2785.4914,1096.11682
"003","9am",857.6153,3348.5673,775.1379,325.18474
"004","9am",420.259,3600.3773,1128.4781,982.34314
"005","9am",1340.525,4599.2522,1563.9602,678.31081
"006","9am",1288.6196,3788.0101,765.7556,274.31741
"007","9am",411.7396,2132.5164,308.8496,133.71514
"008","9am",1649.4606,3827.2783,723.4264,407.37352
"009","9am",500.7395,4335.1901,1927.4748,953.15681
"010","9am",853.6206,5270.7401,2069.3069,500.92026
"011","9am",604.7948,3890.3509,1069.8646,593.09073
"012","9am",915.6502,5529.8837,1279.8826,279.73473
"013","9am",1854.0983,5658.6139,1430.9599,373.71888
"014","9am",600.8924,2522.9868,578.2273,104.03746
"015","9am",943.0471,2509.3191,303.3432,78.05261
"016","9am",1671.9671,1486.9517,341.4721,291.05583
"017","9am",989.4646,4547.186,1138.3559,150.04771
"018","9am",939.5326,4183.6182,865.506,203.77778
"019","9am",736.4501,1832.772,475.6791,288.41172
"020","9am",535.0933,3976.0014,664.4283,160.06216
"021","9am",1788.2617,7360.8729,1248.9435,288.90904
"022","9am",406.7103,906.5485,124.9047,10.02748
"023","9am",589.4354,2247.4018,346.7649,280.65514
"024","9am",1384.1182,3478.4747,555.3875,237.34295
"025","9am",619.2918,4428.4522,475.7234,44.08094
"026","9am",1367.0548,2406.0683,571.3425,153.52899
"027","9am",531.491,1412.9968,226.0701,88.30463
"028","9am",414.268,2823.8091,710.3851,134.05462
"029","9am",997.9593,3740.996,1491.7487,339.13426
"030","9am",900.1986,1331.3679,549.6276,90.03765
"031","9am",1260.3897,5109.0426,1500.8407,178.25739
"032","9am",481.9689,3180.28,831.6364,338.01168
"033","9am",1304.4518,3149.2667,654.9861,106.6389
"034","9am",519.0274,1798.7685,491.4512,140.48476
"035","9am",695.9716,1653.2705,434.9778,285.88174
"036","9am",1557.2552,4004.4093,707.0025,280.52956
"037","9am",2321.2127,3887.5606,1312.5562,269.33095
"038","9am",580.6152,2282.4005,501.8517,134.38191
"039","9am",1675.9409,2507.8265,1663.8997,283.30731
"040","9am",3043.3945,3230.8391,987.3789,154.88532
"041","9am",760.9462,2082.1823,1155.2922,390.12817
"001","10am",1338.4747,5266.8994,3294.334,1996.90521
"002","10am",437.3261,4443.7397,2612.5539,1035.40989
"003","10am",852.56,3105.6618,862.1366,325.18474
"004","10am",313.5966,3597.4843,1074.1948,1000.49587
"005","10am",1301.3842,4519.9863,1483.8927,590.26425
"006","10am",1368.5243,3651.9348,794.9627,289.01624
"007","10am",425.7752,1954.0822,480.6676,209.19639
"008","10am",1706.7562,3989.5025,799.6196,360.77678
"009","10am",482.1395,4111.2423,1994.8025,953.15681
"010","10am",943.3274,4783.5893,2074.4093,615.51547
