"district","hour","occ1","occ2","occ3","occ4","occ5"
"022","8am",0,0,0,0,0
"023","8am",1036.1092,0,0,0,0
"024","8am",0,0,0,0,0
"025","8am",0,0,0,0,0
"026","8am",0,0,0,0,0
"027","8am",0,0,0,0,0
"028","8am",0,0,0,0,0
"029","8am",1616.0559,0,0,0,0
"030","8am",0,0,0,0,0
"031","8am",2203.1465,0,0,0,0
"032","8am",889.393,0,0,0,0
"033","8am",0,0,0,0,0
"034","8am",0,0,0,0,0
"035","8am",0,0,0,0,0
"036","8am",783.5966,0,0,0,0
"037","8am",963.6705,1054.6905,0,0,0
"038","8am",1079.9733,0,0,0,0
"039","8am",0,0,0,0,0
"040","8am",675.2194,0,0,0,0
"041","8am",896.4565,0,0,0,0
"001","9am",4549.0092,1721.8696,0,400.6802,0
"002","9am",2424.4778,3019.2642,0,0,0
"003","9am",1384.8356,0,0,0,0
"004","9am",931.6983,1950.9454,0,0,0
"005","9am",2243.8802,0,0,0,0
"006","9am",950.6494,810.4991,0,0,0
"007","9am",697.5131,0,0,0,0
"008","9am",826.0038,0,0,0,0
"009","9am",2797.2647,0,0,0,0
"010","9am",1988.6228,0,0,0,0
"011","9am",1374.8805,1417.3893,0,0,0
"012","9am",2304.2388,0,0,0,0
"013","9am",3201.4227,0,0,567.5006,0
"014","9am",0,0,0,0,0
"015","9am",621.5979,0,0,0,0
"016","9am",627.3718,0,0,0,0
"017","9am",1198.7238,0,0,0,0
"018","9am",2273.7935,0,0,0,0
"019","9am",0,0,0,0,0
"020","9am",0,0,0,0,0
"021","9am",1723.7158,1779.3895,0,520.9346,0
"022","9am",0,0,0,0,0
"023","9am",1163.2241,0,0,0,0
"024","9am",0,0,0,0,0
"025","9am",0,0,0,0,0
"026","9am",0,0,0,0,0
"027","9am",0,0,0,0,0
"028","9am",0,0,0,0,0
"029","9am",1697.6355,0,0,0,0
"030","9am",0,0,0,0,0
"031","9am",2174.0525,0,0,0,0
"032","9am",1005.2028,0,0,0,0
"033","9am",0,0,0,0,0
"034","9am",0,0,0,0,0
"035","9am",0,0,0,0,0
"036","9am",869.8527,0,0,0,0
"037","9am",765.1416,1300.025,0,0,0
"038","9am",1079.9733,0,0,0,0
"039","9am",735.6491,0,0,0,0
"040","9am",777.6157,0,0,0,0
"041","9am",847.2746,0,0,0,0
"001","10am",4834.8055,1827.9613,0,580.2877,0
"002","10am",2382.1434,3019.2642,0,0,0
"003","10am",1270.5655,0,0,0,0
"004","10am",897.2875,1860.1737,0,0,0
"005","10am",2320.4105,0,0,0,0
"006","10am",866.2698,715.1029,0,409.1694,0
"007","10am",832.9454,0,0,0,0
"008","10am",841.9308,0,0,0,0
"009","10am",2729.6366,0,0,0,0
"010","10am",2110.5306,0,0,0,0
"011","10am",1632.4993,1417.3893,0,0,0
"012","10am",2262.8226,0,0,0,0
"013","10am",3388.701,0,0,1076.4607,0
"014","10am",0,0,0,0,0
"015","10am",707.6159,0,0,0,0
"016","10am",0,0,0,0,0
"017","10am",1260.8931,0,0,0,0
"018","10am",2273.7935,0,0,0,0
"019","10am",0,0,0,0,0
"020","10am",0,0,0,0,0
"021","10am",1829.148,1779.3895,0,531.624,0
"022","10am",0,0,0,0,0
"023","10am",1148,0,0,0,0
"024","10am",0,0,0,0,0
"025","10am",0,0,0,0,0
"026","10am",0,0,0,0,0
"027","10am",0,0,0,0,0
"028","10am",0,0,0,0,0
"029","10am",1673.0138,0,0,0,0
"030","10am",0,0,0,0,0
"031","10am",2022.8602,0,0,0,0
"032","10am",940.3867,0,0,0,0
"033","10am",0,0,0,0,0
"034","10am",0,0,0,0,0
"035","10am",0,0,0,0,0
"036","10am",937.4807,0,0,0,0
"037","10am",639.8039,1300.025,0,0,0
"038","10am",1129.0014,0,0,0,0
"039","10am",624.6499,0,0,0,0
"040","10am",807.7988,0,0,0,0
"041","10am",873.461,0,0,0,0
"001","11am",4620.6018,1748.9769,0,0,0
"002","11am",2530.893,2938.8498,0,0,0
"003","11am",998.2397,0,0,0,0
"004","11am",886.1874,1860.1737,0,0,0
"005","11am",2203.2841,0,0,0,0
"006","11am",1082.8325,715.1029,0,0,0
"007","11am",650.5341,0,0,0,0
"008","11am",786.8213,0,0,0,0
"009","11am",2781.9543,0,0,0,0
"010","11am",2003.6937,0,0,0,0
"011","11am",1608.9658,1245.8942,0,0,0
"012","11am",2330.7766,0,0,0,0
"013","11am",2954.3277,0,0,673.2291,0
"014","11am",0,0,0,0,0
"015","11am",579.7781,0,0,0,0
"016","11am",0,0,0,0,0
"017","11am",1123.6231,0,0,0,0
"018","11am",2526.5861,0,0,0,0
"019","11am",0,0,0,0,0
"020","11am",0,0,0,0,0
"021","11am",1711.5292,1736.65,0,0,0
"022","11am",0,0,0,0,0
"023","11am",977.2492,0,0,0,0
"024","11am",0,0,0,0,0
"025","11am",0,0,0,0,0
"026","11am",0,0,0,0,0
"027","11am",0,0,0,0,0
"028","11am",0,0,0,0,0
"029","11am",1613.8098,0,0,0,0
"030","11am",0,0,0,0,0
"031","11am",2050.4448,0,0,0,0
"032","11am",799.4023,0,0,0,0
"033","11am",0,0,0,0,0
"034","11am",0,0,0,0,0
"035","11am",0,0,0,0,0
"036","11am",722.7913,0,0,0,0
"037","11am",744.9599,1241.4071,0,0,0
"038","11am",1030.0109,0,0,0,0
"039","11am",0,0,0,0,0
"040","11am",760.376,0,0,0,0
"041","11am",850.4464,0,0,0,0
"001","12am",3978.2472,1746.7917,0,0,0
"002","12am",1583.9982,2191.5973,0,0,0
"003","12am",776.5968,0,0,0,0
"004","12am",0,1644.7801,0,0,0
"005","12am",2578.0991,0,0,0,0
"006","12am",766.6018,0,0,0,0
"007","12am",0,0,0,0,0
"008","12am",762.8741,0,0,0,0
"009","12am",2557.6602,0,0,0,0
"010","12am",1413.8004,0,0,0,0
"011","12am",1503.1744,1026.5638,0,0,0
"012","12am",2361.1499,0,0,0,0
"013","12am",2686.6123,0,0,0,0
