"district","hour","sex1","sex2"
"036","8am",48.50323,51.49677
"037","8am",41.36716,58.63284
"038","8am",56.76346,43.23654
"039","8am",34.08301,65.91699
"040","8am",40.90446,59.09554
"041","8am",51.48171,48.51829
"001","9am",44.17242,55.82758
"002","9am",44.88432,55.11568
"003","9am",51.90405,48.09595
"004","9am",58.37371,41.62629
"005","9am",40.48651,59.51349
"006","9am",39.17799,60.82201
"007","9am",32.09391,67.90609
"008","9am",32.84625,67.15375
"009","9am",47.11023,52.88977
"010","9am",44.21198,55.78802
"011","9am",52.73403,47.26597
"012","9am",57.74172,42.25828
"013","9am",49.69861,50.30139
"014","9am",38.43175,61.56825
"015","9am",45.04053,54.95947
"016","9am",41.63093,58.36907
"017","9am",42.33678,57.66322
"018","9am",57.03975,42.96025
"019","9am",58.72684,41.27316
"020","9am",44.65457,55.34543
"021","9am",38.86185,61.13815
"022","9am",44.5369,55.4631
"023","9am",44.58323,55.41677
"024","9am",39.1466,60.8534
"025","9am",45.9772,54.0228
"026","9am",41.36286,58.63714
"027","9am",35.50194,64.49806
"028","9am",48.37626,51.62374
"029","9am",46.88552,53.11448
"030","9am",47.95364,52.04636
"031","9am",48.25839,51.74161
"032","9am",51.72124,48.27876
"033","9am",32.75974,67.24026
"034","9am",44.8951,55.1049
"035","9am",46.95831,53.04169
"036","9am",46.53501,53.46499
"037","9am",39.20104,60.79896
"038","9am",55.47688,44.52312
"039","9am",35.68936,64.31064
"040","9am",41.52089,58.47911
"041","9am",50.27162,49.72838
"001","10am",45.20348,54.79652
"002","10am",48.06169,51.93831
"003","10am",50.95095,49.04905
"004","10am",57.40012,42.59988
"005","10am",37.27986,62.72014
"006","10am",38.99759,61.00241
"007","10am",32.03944,67.96056
"008","10am",31.89383,68.10617
"009","10am",48.23737,51.76263
"010","10am",44.44987,55.55013
"011","10am",53.74536,46.25464
"012","10am",58.33424,41.66576
"013","10am",49.17906,50.82094
"014","10am",38.9712,61.0288
"015","10am",46.58685,53.41315
"016","10am",40.9509,59.0491
"017","10am",44.03079,55.96921
"018","10am",55.10361,44.89639
"019","10am",58.25731,41.74269
"020","10am",45.28327,54.71673
"021","10am",36.99121,63.00879
"022","10am",47.87147,52.12853
"023","10am",44.75336,55.24664
"024","10am",39.10859,60.89141
"025","10am",46.33285,53.66715
"026","10am",42.72083,57.27917
"027","10am",35.80556,64.19444
"028","10am",49.3383,50.6617
"029","10am",48.20981,51.79019
"030","10am",45.17836,54.82164
"031","10am",51.4938,48.5062
"032","10am",48.51948,51.48052
"033","10am",30.24538,69.75462
"034","10am",44.05585,55.94415
"035","10am",44.65197,55.34803
"036","10am",46.03865,53.96135
"037","10am",40.12557,59.87443
"038","10am",55.1556,44.8444
"039","10am",36.87877,63.12123
"040","10am",43.01207,56.98793
"041","10am",49.49786,50.50214
"001","11am",45.31373,54.68627
"002","11am",48.0361,51.9639
"003","11am",47.12608,52.87392
"004","11am",55.29695,44.70305
"005","11am",37.60396,62.39604
"006","11am",40.09423,59.90577
"007","11am",31.39664,68.60336
"008","11am",33.18919,66.81081
"009","11am",49.14866,50.85134
"010","11am",43.55275,56.44725
"011","11am",53.88085,46.11915
"012","11am",57.28659,42.71341
"013","11am",47.17724,52.82276
"014","11am",35.65699,64.34301
"015","11am",46.52933,53.47067
"016","11am",39.19048,60.80952
"017","11am",43.04099,56.95901
"018","11am",54.75625,45.24375
"019","11am",61.45491,38.54509
"020","11am",45.8251,54.1749
"021","11am",38.95381,61.04619
"022","11am",46.15646,53.84354
"023","11am",46.97283,53.02717
"024","11am",36.79321,63.20679
"025","11am",46.48809,53.51191
"026","11am",42.47543,57.52457
"027","11am",39.00752,60.99248
"028","11am",51.17439,48.82561
"029","11am",46.87374,53.12626
"030","11am",46.86032,53.13968
"031","11am",49.70771,50.29229
"032","11am",49.43295,50.56705
"033","11am",31.2381,68.7619
"034","11am",42.03147,57.96853
"035","11am",47.73439,52.26561
"036","11am",45.76919,54.23081
"037","11am",40.36428,59.63572
"038","11am",55.91557,44.08443
"039","11am",36.33244,63.66756
"040","11am",41.63782,58.36218
"041","11am",51.29816,48.70184
"001","12am",43.24744,56.75256
"002","12am",45.23642,54.76358
"003","12am",51.11248,48.88752
"004","12am",56.12585,43.87415
"005","12am",36.99227,63.00773
"006","12am",40.57379,59.42621
"007","12am",32.28005,67.71995
"008","12am",35.32934,64.67066
"009","12am",46.36819,53.63181
"010","12am",42.65471,57.34529
"011","12am",53.26044,46.73956
"012","12am",56.53999,43.46001
"013","12am",45.67125,54.32875
"014","12am",38.37282,61.62718
"015","12am",44.61848,55.38152
"016","12am",44.4936,55.5064
"017","12am",42.9629,57.0371
"018","12am",60.28407,39.71593
"019","12am",57.75482,42.24518
"020","12am",44.84092,55.15908
"021","12am",39.86128,60.13872
"022","12am",48.52854,51.47146
"023","12am",44.42012,55.57988
"024","12am",35.34388,64.65612
"025","12am",47.27454,52.72546
"026","12am",41.40823,58.59177
"027","12am",38.48105,61.51895
"028","12am",48.00219,51.99781
"029","12am",49.66462,50.33538
"030","12am",44.7188,55.2812
"031","12am",51.95798,48.04202
"032","12am",43.31133,56.68867
"033","12am",36.16705,63.83295
"034","12am",42.61539,57.38461
"035","12am",47.02179,52.97821
"036","12am",49.70408,50.29592
"037","12am",39.15965,60.84035
"038","12am",56.07282,43.92718
"039","12am",36.02503,63.97497
"040","12am",38.94071,61.05929
"041","12am",51.96039,48.03961
"001","1pm",43.34221,56.65779
