"district","hour","cs1","cs2","cs3","cs4","cs5"
"005","8am",0,0,1119.2167,799.5741,0
"006","8am",0,0,0,0,0
"007","8am",0,0,0,0,0
"008","8am",0,0,0,0,0
"009","8am",0,1321.9805,0,813.3853,0
"010","8am",0,0,0,843.3394,0
"011","8am",0,0,0,0,0
"012","8am",0,1449.4317,0,672.5865,0
"013","8am",0,668.1749,1413.6572,661.0544,0
"014","8am",0,0,0,0,0
"015","8am",0,0,0,0,0
"016","8am",0,0,0,0,0
"017","8am",0,0,0,0,0
"018","8am",0,1600.8471,0,0,0
"019","8am",0,0,0,0,0
"020","8am",0,0,0,0,0
"021","8am",0,0,803.3996,568.9552,0
"022","8am",0,0,0,0,0
"023","8am",0,0,0,0,0
"024","8am",0,0,0,0,0
"025","8am",0,0,0,0,0
"026","8am",0,0,0,0,0
"027","8am",0,0,0,0,0
"028","8am",0,0,0,0,0
"029","8am",0,717.337,0,592.7,0
"030","8am",0,0,0,0,0
"031","8am",0,601.7954,752.9472,693.9348,0
"032","8am",0,0,0,0,0
"033","8am",0,0,0,0,0
"034","8am",0,0,0,0,0
"035","8am",0,0,0,0,0
"036","8am",0,0,0,0,0
"037","8am",0,0,0,0,0
"038","8am",0,0,0,0,0
"039","8am",0,0,0,0,0
"040","8am",0,0,0,0,0
"041","8am",0,0,0,0,0
"001","9am",0,753.0041,2512.5609,1852.7965,0
"002","9am",0,0,952.0066,849.7189,0
"003","9am",0,0,562.2977,638.8875,0
"004","9am",0,0,0,0,0
"005","9am",0,861.5721,1181.424,828.9643,0
"006","9am",0,0,0,0,0
"007","9am",0,0,0,0,0
"008","9am",0,0,0,0,0
"009","9am",0,1307.6077,0,868.4164,0
"010","9am",0,0,708.7252,892.8623,0
"011","9am",0,0,652.4957,0,0
"012","9am",0,1477.3533,0,672.5865,0
"013","9am",0,1070.0985,1808.3075,950.7518,0
"014","9am",0,0,0,0,0
"015","9am",0,0,0,0,0
"016","9am",0,0,0,0,0
"017","9am",0,0,0,0,0
"018","9am",0,1600.8471,0,0,0
"019","9am",0,0,0,0,0
"020","9am",0,0,0,0,0
"021","9am",0,0,1228.1947,705.1429,0
"022","9am",0,0,0,0,0
"023","9am",0,0,0,542.1985,0
"024","9am",0,0,0,0,0
"025","9am",0,0,0,0,0
"026","9am",0,0,0,0,0
"027","9am",0,0,0,0,0
