"hour";"001";"002";"003";"004";"005";"006";"007";"008";"009";"010";"011";"012";"013";"014";"015";"016";"017";"018";"019";"020";"021";"022";"023";"024";"025";"026";"027";"028";"029";"030";"031";"032";"033";"034";"035";"036";"037";"038";"039";"040";"041";"042";"043";"044";"045";"046";"047";"048";"049";"050";"051";"052";"053";"054";"055";"056";"057";"058";"059";"060";"061";"062";"063";"064";"065";"066"
"12am";" 2716.0965";" 9629.3262";" 6982.2311";" 5155.1563";" 2475.8368";" 4816.2658";" 1669.9059";" 2825.3635";" 1577.8062";" 1945.1552";" 1567.5432";"    0.0000";" 5055.8113";" 1296.3916";" 1252.7778";" 2240.9651";" 4766.1106";" 3884.7625";" 1036.3484";" 1074.7484";" 3211.2420";" 1216.2266";"11810.8983";" 5172.0141";" 7574.3075";" 1312.2418";" 3373.2268";"11123.6425";"14091.9002";"17285.2035";" 1215.8088";" 3982.9794";" 1693.3555";" 2415.1843";" 1720.8622";" 1312.4072";" 4170.8835";" 6738.5937";" 1085.0465";"  952.2223";" 2711.9312";" 1309.9335";" 1038.5942";"  932.2335";"  840.6651";" 5970.4382";" 1510.7973";"    0.0000";" 3389.3698";" 1618.8914";"    0.0000";"    0.0000";"  960.9680";" 3107.8281";"    0.0000";" 1989.3278";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";" 1193.9003";"0";"    0.0000";"    0.0000";" 2266.6277"
"1pm";" 3206.3552";"11008.5501";" 8211.7202";" 6803.5731";" 3284.7014";" 5486.5722";" 1864.1522";" 3660.8190";" 2083.9454";" 1771.5279";" 1625.2015";"    0.0000";" 5514.1953";" 1724.0856";" 1659.2285";" 2719.3923";" 4796.7547";" 3977.6220";" 1879.6873";" 1593.7177";" 3616.6068";" 1467.7625";"15227.5185";" 5891.5340";" 8665.0772";" 1473.4267";" 3632.5206";"12127.1136";"16630.0692";"19851.3225";" 1671.3279";" 4840.1854";" 1831.0563";" 3278.6733";" 2001.9501";" 1208.7336";" 5131.8701";" 7980.9226";" 1192.8580";"  885.4972";" 2844.3421";" 1671.4316";" 1328.4342";" 1876.9361";" 1191.6734";" 7129.1084";" 1906.6943";"    0.0000";" 3630.4648";" 1434.9294";" 1153.0309";"    0.0000";" 1152.0632";" 3781.9149";"    0.0000";" 2221.7671";"    0.0000";"    0.0000";"  703.9755";"    0.0000";"    0.0000";" 1462.0923";"    0.0000";"    0.0000";"  874.8579";" 2608.1929"
"2pm";" 3618.1644";"10551.9694";" 8425.9548";" 7059.7859";" 3639.2566";" 5484.7228";" 2414.4371";" 3959.6814";" 1819.7609";" 1590.2205";" 1184.8995";" 1030.4745";" 5501.7134";" 1720.4915";" 1572.9648";" 2524.4866";" 4267.9943";" 4227.6370";" 1690.6821";" 1815.3171";" 3956.6656";" 1271.4605";"15214.4733";" 6000.3930";" 9015.7005";" 1564.9150";" 3689.1637";"12904.9033";"17717.1986";"19953.3546";" 1930.9255";" 5014.7863";" 1914.8252";" 3170.3393";" 2366.2144";" 1465.1214";" 5263.4061";" 8207.9308";" 1244.7753";"  911.6846";" 2986.9628";" 1682.2774";" 1444.2019";" 1993.9334";" 1134.7186";" 7222.9799";" 1893.4452";"    0.0000";" 4030.0165";" 1417.4062";" 1170.4843";"    0.0000";" 1076.6791";" 3770.7886";"    0.0000";" 2130.5953";"    0.0000";"    0.0000";"  986.6426";"    0.0000";"    0.0000";" 1526.5774";"    0.0000";"    0.0000";"    0.0000";" 2671.2565"
"3pm";" 3344.4044";"10416.3785";" 8193.9375";" 7359.7681";" 3258.7031";" 5838.0451";" 1923.4663";" 3593.8690";" 2239.0353";" 1732.7067";" 1413.2383";" 1030.4745";" 5139.6261";" 1669.2926";" 1498.1371";" 2134.4704";" 3745.0999";" 3430.6184";" 1653.9597";" 1567.2566";" 3954.1816";" 1431.5179";"14895.8922";" 5470.6931";" 9255.7120";" 1733.0631";" 3535.6907";"12292.4132";"17292.8282";"20345.6994";" 1844.9476";" 4839.2711";" 1674.8362";" 2968.6939";" 2213.1110";" 1394.0323";" 4986.0892";" 8138.4314";" 1158.1256";"    0.0000";" 2860.4789";" 1510.8517";" 1160.7260";" 1911.6894";"  946.1196";" 7067.2531";" 1725.7553";"    0.0000";" 3914.7235";" 1422.7174";" 1055.8397";"    0.0000";" 1130.5068";" 3704.7463";"    0.0000";" 1941.9791";"    0.0000";"    0.0000";" 1009.3605";"    0.0000";"    0.0000";" 1531.9168";"    0.0000";"    0.0000";"    0.0000";" 2466.6950"
"4pm";" 2708.4373";" 9240.8822";" 7118.6983";" 6994.2606";" 2610.6849";" 5318.4866";" 1405.1190";" 2951.1515";" 2053.6831";" 1464.4928";" 1430.8993";"    0.0000";" 4078.1471";" 1697.7165";" 1232.3240";" 1587.1880";" 2959.1909";" 2650.4796";" 1354.3788";" 1692.6905";" 3091.3943";" 1181.2981";"13676.1790";" 4648.8119";" 7202.2107";" 1565.8544";" 2781.6295";"10822.0702";"13681.5769";"17803.3358";" 1593.6437";" 4300.8106";"  931.4645";" 2162.9305";" 1815.6363";" 1239.3857";" 3859.2035";" 5937.3147";"  942.3484";"    0.0000";" 2623.0187";" 1421.4446";"  967.3398";" 1601.9906";"  966.8309";" 6080.5675";" 1554.4865";"    0.0000";" 3035.0433";" 1387.8830";" 1121.2517";"    0.0000";" 1094.5949";" 3524.4111";"    0.0000";" 1468.1932";"    0.0000";"    0.0000";"  870.8964";"    0.0000";"    0.0000";" 1033.1203";"    0.0000";"    0.0000";"    0.0000";" 1970.1221"
"5pm";" 1929.1925";" 6543.3146";" 3737.9763";" 4116.3639";" 1839.7247";" 3225.3877";"  941.8331";" 2035.3721";" 1424.1781";"    0.0000";" 1409.5244";"    0.0000";" 2617.4189";" 1431.9984";"    0.0000";"    0.0000";" 1900.5912";" 1299.5572";"    0.0000";"    0.0000";" 2302.2193";"    0.0000";" 8488.1854";" 2697.1996";" 3988.4818";"    0.0000";" 1633.3401";" 6233.0158";" 8391.8202";"10980.6076";" 1136.5651";" 2594.1386";"    0.0000";" 1324.8569";" 1230.9047";"  917.9772";" 2727.7195";" 3185.1048";"    0.0000";"    0.0000";" 1563.5284";"    0.0000";"    0.0000";" 1294.8263";"    0.0000";" 4040.2318";"  953.2487";"    0.0000";" 1957.9467";"    0.0000";"    0.0000";"    0.0000";"    0.0000";" 2021.0075";"    0.0000";" 1178.7640";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000"
"6pm";"1375.1818";"3796.6437";"1925.9352";"2707.5629";"   0.0000";"1468.6702";"   0.0000";"   0.0000";" 929.7031";"   0.0000";"   0.0000";"   0.0000";"1634.4570";"   0.0000";"   0.0000";"   0.0000";"1158.7940";"   0.0000";"   0.0000";"   0.0000";"1473.2626";"   0.0000";"3105.2922";"1770.8961";"1669.0865";"   0.0000";"   0.0000";"1944.1604";"3216.7119";"4807.4084";"   0.0000";"1080.9741";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"1041.7853";"1471.0375";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"1837.0984";"   0.0000";"   0.0000";"1298.5480";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000"
"7pm";"   0.000";"1356.719";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"1269.633";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"1975.435";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000"
"8pm";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"1167.69";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"0";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00"
"9pm";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0"
"10pm";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";"0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";"0";" 0";"0";"0"
"11pm";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";" 0";"0";"0";" 0";" 0";" 0";"0";" 0";"0";" 0"
"12pm";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";"0";"0";"0";"0";"0";" 0";"0";"0";"0";"0"
"1am";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";"0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";" 0";"0";" 0";"0";"0";" 0";" 0";" 0";"0";"0";" 0";" 0";" 0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"2am";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";"0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";" 0";"0";" 0";"0";"0";" 0";" 0";" 0";"0";"0";" 0";" 0";" 0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"3am";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";"0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";" 0";"0";" 0";"0";"0";"0";" 0";" 0";"0";"0";" 0";" 0";" 0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
