"hour","act1","act2","act3","act4","act5"
"4am",0.4999,0.5575,0.9448,0.6545,0
"5am",0.445,0.4601,0.9436,0.6022,0
"6am",0.3661,0.3551,0.8749,0.5929,0
"7am",0.3416,0.3107,0.637,0.6013,0.5894
"8am",0.3198,0.2979,0.5651,0.3426,0.4501
"9am",0.3061,0.2913,0.5639,0.3013,0.2375
"10am",0.3091,0.2757,0.5668,0.3138,0.2143
"11am",0.3389,0.2856,0.5564,0.3717,0.3391
"12am",0.3487,0.3099,0.5718,0.3865,0.3081
"1pm",0.3391,0.3357,0.5329,0.5752,0.3473
"2pm",0.3127,0.3126,0.5472,0.5061,0.2224
"3pm",0.3472,0.3051,0.5411,0.4163,0.2219
"4pm",0.3339,0.3105,0.5749,0.409,0.2389
"5pm",0.285,0.3263,0.6603,0.4641,0.2618
"6pm",0.255,0.2987,0.9443,0.4373,0.2729
"7pm",0.253,0.3878,0.9047,0.7424,0.2873
"8pm",0.3546,0.4787,0.8698,0.3714,0
"9pm",0.4492,0.5467,0.8513,0.4368,0
"10pm",0.4328,0.6097,0.943,0.9153,0.4239
"11pm",0.425,0.6028,0.9433,0.9214,0.4234
"12pm",0.5546,0.6562,0.9437,0.9228,0.5103
"1am",0.5475,0.7148,0.9241,0.5601,0
"2am",0.5778,0.7695,0.9219,0.6069,0
"3am",0.5256,0.7733,0.5535,0,0
