"hour","cleduc1","cleduc2","cleduc3","cleduc4"
"4am",0.157,0.0944,0.1054,0.1548
"5am",0.1531,0.0939,0.1023,0.1504
"6am",0.1572,0.1032,0.1245,0.1429
"7am",0.1854,0.1103,0.1302,0.1949
"8am",0.2323,0.1189,0.1412,0.2162
"9am",0.2402,0.0957,0.1462,0.2025
"10am",0.2568,0.1035,0.1606,0.1976
"11am",0.2304,0.1147,0.1512,0.1873
"12am",0.2332,0.1032,0.1395,0.1659
"1pm",0.2433,0.1411,0.1593,0.2202
"2pm",0.2364,0.135,0.1721,0.1958
"3pm",0.2084,0.1421,0.1679,0.1967
"4pm",0.1995,0.1322,0.1463,0.194
"5pm",0.1732,0.1249,0.1213,0.1816
"6pm",0.1551,0.107,0.1221,0.1385
"7pm",0.1533,0.0987,0.0965,0.1523
"8pm",0.1608,0.1102,0.1074,0.1585
"9pm",0.1468,0.1042,0.1038,0.1628
"10pm",0.1534,0.0954,0.1014,0.1481
"11pm",0.1499,0.0888,0.0939,0.1545
"12pm",0.1501,0.0917,0.0921,0.1554
"1am",0.1511,0.0942,0.0929,0.1576
"2am",0.1488,0.0947,0.0956,0.1571
"3am",0.1464,0.101,0.1028,0.1597
