"hour","cs1","cs2","cs3","cs4","cs5"
"4am",0.2076,0.2394,0.0982,0.1639,0.111
"5am",0.2103,0.2296,0.1036,0.1623,0.1037
"6am",0.2118,0.2069,0.0901,0.135,0.0991
"7am",0.1741,0.1896,0.0869,0.0988,0.0959
"8am",0.224,0.1868,0.0889,0.1263,0.1079
"9am",0.218,0.1951,0.0944,0.1199,0.1286
"10am",0.22,0.1952,0.0863,0.1108,0.1305
"11am",0.2276,0.1732,0.0731,0.1308,0.1297
"12am",0.2202,0.1827,0.0848,0.1459,0.1221
"1pm",0.1745,0.2104,0.0923,0.1334,0.1295
"2pm",0.1705,0.1875,0.0803,0.1485,0.118
"3pm",0.185,0.2006,0.0918,0.1605,0.114
"4pm",0.1669,0.2234,0.0732,0.1367,0.1242
"5pm",0.1919,0.2554,0.0829,0.1535,0.1331
"6pm",0.199,0.2072,0.0871,0.1415,0.1057
"7pm",0.1617,0.2129,0.0887,0.1569,0.1029
"8pm",0.1743,0.2277,0.104,0.1662,0.1234
"9pm",0.167,0.236,0.1099,0.181,0.1269
"10pm",0.155,0.2395,0.1021,0.1864,0.1168
"11pm",0.1607,0.2396,0.0932,0.1738,0.1157
"12pm",0.1587,0.2414,0.0909,0.1745,0.1105
"1am",0.166,0.2432,0.0913,0.1713,0.1107
"2am",0.1678,0.2416,0.0909,0.173,0.1102
"3am",0.2058,0.2438,0.0936,0.173,0.1127
