"hour","mode1","mode2","mode3"
"4am",0.2392,0.2685,0.2782
"5am",0.2643,0.2682,0.2738
"6am",0.2587,0.2698,0.2719
"7am",0.343,0.2687,0.2266
"8am",0.4034,0.2729,0.2138
"9am",0.394,0.2739,0.2041
"10am",0.4041,0.2618,0.1991
"11am",0.382,0.2552,0.1834
"12am",0.3111,0.2556,0.228
"1pm",0.3336,0.2893,0.2572
"2pm",0.3462,0.3093,0.2753
"3pm",0.3057,0.2899,0.2634
"4pm",0.2902,0.2855,0.2506
"5pm",0.2512,0.2991,0.283
"6pm",0.2131,0.2845,0.2883
"7pm",0.2135,0.2558,0.2591
"8pm",0.241,0.2527,0.2551
"9pm",0.2149,0.2536,0.2639
"10pm",0.202,0.2479,0.2583
"11pm",0.1965,0.2478,0.2611
"12pm",0.1977,0.2498,0.2659
"1am",0.2001,0.2547,0.2702
"2am",0.1992,0.2544,0.2705
"3am",0.1967,0.258,0.275
