"hour","educmen1","educmen2","educmen3","educmen4"
"4am",0.1764,0.1041,0.1044,0.1631
"5am",0.1734,0.1052,0.1044,0.1602
"6am",0.1749,0.1033,0.1298,0.1566
"7am",0.2081,0.1347,0.1188,0.2172
"8am",0.2411,0.1161,0.1267,0.2268
"9am",0.2445,0.1073,0.1334,0.2151
"10am",0.2602,0.1012,0.1513,0.207
"11am",0.2475,0.1142,0.1427,0.202
"12am",0.2479,0.1031,0.1387,0.1711
"1pm",0.2453,0.1275,0.1422,0.2192
"2pm",0.2368,0.1294,0.1647,0.1906
"3pm",0.2116,0.1319,0.1511,0.1979
"4pm",0.2132,0.1308,0.131,0.2155
"5pm",0.1864,0.1253,0.1226,0.2028
"6pm",0.1727,0.1161,0.1419,0.1621
"7pm",0.1697,0.1025,0.1177,0.1651
"8pm",0.1745,0.1146,0.1118,0.1742
"9pm",0.1677,0.1064,0.1157,0.1734
"10pm",0.1728,0.1036,0.1063,0.1656
"11pm",0.1708,0.1075,0.1026,0.1716
"12pm",0.1703,0.1094,0.0999,0.1706
"1am",0.171,0.1088,0.1007,0.1663
"2am",0.1688,0.1093,0.102,0.165
"3am",0.1666,0.1148,0.1088,0.1674
