"hour","resarea1","resarea2","resarea3"
"4am",0.9884,0.9927,0.9921
"5am",0.9465,0.9831,0.9815
"6am",0.9154,0.9497,0.9479
"7am",0.7152,0.8101,0.7973
"8am",0.5904,0.669,0.6568
"9am",0.4947,0.6206,0.6101
"10am",0.4509,0.5999,0.5901
"11am",0.499,0.6262,0.615
"12am",0.6243,0.7103,0.7122
"1pm",0.5272,0.6515,0.6458
"2pm",0.5063,0.6135,0.6063
"3pm",0.5012,0.6245,0.6158
"4pm",0.5455,0.6939,0.6838
"5pm",0.6985,0.7912,0.7833
"6pm",0.8347,0.8669,0.8693
"7pm",0.88,0.912,0.9141
"8pm",0.943,0.9287,0.9289
"9pm",0.9594,0.9425,0.942
"10pm",0.9659,0.9729,0.9724
"11pm",0.983,0.9855,0.9858
"12pm",0.9886,0.9881,0.988
"1am",1,0.9946,0.9949
"2am",1,0.9946,0.9949
"3am",1,0.9946,0.9949
