"hour","sex1","sex2"
"4am",0.0855,0.0855
"5am",0.088,0.088
"6am",0.0832,0.0832
"7am",0.1282,0.1282
"8am",0.1373,0.1373
"9am",0.1371,0.1371
"10am",0.1382,0.1382
"11am",0.1144,0.1144
"12am",0.083,0.083
"1pm",0.1363,0.1363
"2pm",0.1323,0.1323
"3pm",0.1423,0.1423
"4pm",0.1331,0.1331
"5pm",0.1213,0.1213
"6pm",0.0839,0.0839
"7pm",0.0689,0.0689
"8pm",0.0871,0.0871
"9pm",0.0742,0.0742
"10pm",0.0807,0.0807
"11pm",0.0793,0.0793
"12pm",0.08,0.08
"1am",0.0844,0.0844
"2am",0.0808,0.0808
"3am",0.0846,0.0846
