"hour","educmen1","educmen2","educmen3","educmen4"
"4am",-0.0222622351433555,0.0274794047265509,-0.111366782652836,0.19860701438114
"5am",-0.0190267141108741,-0.00121920734451296,-0.131495985667241,0.196420738231353
"6am",-0.0267565905745645,-0.0759543561213533,-0.129964831467691,0.20811386498755
"7am",-0.0562611071675255,-0.175314937148528,-0.0316634123393121,0.0371943665863386
"8am",-0.0279782652993236,-0.272853128926581,-0.112948129482897,0.0517734573729542
"9am",-0.0204483380421996,-0.191107906428222,-0.114518340642186,0.0262212215662567
"10am",-0.0368420408731742,-0.184016857846752,-0.0861901344291375,0.0429592482940973
"11am",-0.0601689432063801,-0.204866159557398,-0.146219941491044,-0.00751062861564511
"12am",0.117481766172284,-0.116264176706684,-0.175962635078875,0.230695471139243
"1pm",-0.0227355720698352,-0.252726469971306,-0.125239216225923,-0.0567158774557939
"2pm",-0.0776038155085136,-0.255255430102409,-0.0971273136152597,-0.0463887889697926
"3pm",0.0556697796593078,-0.117501976848037,-0.0146021756704875,-0.0357262449860198
"4pm",-0.0314388713955902,-0.105357127264538,0.0621696653817483,-0.0985860667151742
"5pm",-0.104288309233138,-0.0221200687182621,0.0113893968085477,-0.0066554061983966
"6pm",0.0156688801717133,0.0612674019741339,-0.199418275237442,0.221833876906204
"7pm",-0.0387885198377936,0.0165901107389068,-0.19888164928989,0.206906598388481
"8pm",-0.00304545291500204,0.0202570676260763,-0.0520641201170215,0.237434536326645
"9pm",-0.0318437793697494,-0.036299801989795,-0.0757427465555376,0.224916491447937
"10pm",0.00425788688459952,-0.0416379231668722,-0.0220446208589834,0.185966575662246
"11pm",-0.0161029055097694,-0.0018805548149552,-0.0730167368243517,0.188654978013028
"12pm",-0.0170639422085219,0.0218453098995176,-0.0839541886144193,0.197422813513331
"1am",-0.0397664373302685,0.0188727031395971,-0.0966350896289747,0.196088295261396
"2am",-0.0370305040419175,0.00971167529161628,-0.114409104038556,0.201053909612493
"3am",-0.0184510202759646,0.0205050899446555,-0.114143085107121,0.192303071565534
