"hour","cspmen1","cspmen2","cspmen3","cspmen4","cspmen5"
"4am",0.2296,0.244,0.1112,0.1591,0.1251
"5am",0.2331,0.2317,0.1158,0.1588,0.1176
"6am",0.2365,0.2142,0.1027,0.1303,0.1128
"7am",0.1895,0.1782,0.1093,0.0883,0.115
"8am",0.2242,0.1775,0.0887,0.1029,0.1052
"9am",0.2192,0.1802,0.0885,0.0904,0.1265
"10am",0.2177,0.1709,0.0945,0.0723,0.127
"11am",0.2318,0.1662,0.0722,0.1049,0.1205
"12am",0.2229,0.1693,0.096,0.1249,0.1194
"1pm",0.1804,0.1995,0.0878,0.1113,0.1315
"2pm",0.1856,0.1882,0.0834,0.1302,0.1144
"3pm",0.1974,0.2107,0.0948,0.1379,0.1209
"4pm",0.18,0.2212,0.0747,0.1194,0.1352
"5pm",0.224,0.2444,0.0956,0.1335,0.1478
"6pm",0.2295,0.2203,0.0867,0.1287,0.1258
"7pm",0.1973,0.234,0.1107,0.1432,0.1161
"8pm",0.2061,0.2428,0.1133,0.155,0.1356
"9pm",0.1861,0.249,0.1119,0.1644,0.1347
"10pm",0.1797,0.2573,0.109,0.1751,0.1284
"11pm",0.1964,0.2591,0.1077,0.1639,0.1302
"12pm",0.1948,0.2592,0.1061,0.165,0.1238
"1am",0.1941,0.2607,0.1036,0.164,0.124
"2am",0.1961,0.2586,0.1032,0.1661,0.1236
"3am",0.2282,0.261,0.1064,0.1661,0.1259
