"hour","resarea1","resarea2","resarea3"
"4am",-0.0223286769446681,0.381597332951215,0.531253328315623
"5am",-0.0241296692053033,0.378343879914719,0.529470125771539
"6am",-0.023790252050907,0.371360115989351,0.528433247283212
"7am",-0.0295424477652671,0.348380136826784,0.509780434822516
"8am",-0.0345915531190827,0.331021062462102,0.511341473492759
"9am",-0.0221386467464385,0.313914426065888,0.502854901585534
"10am",-0.0123328885001307,0.327026481624405,0.511033793766848
"11am",-0.0280823003357008,0.328388857491171,0.5136694911081
"12am",-0.0341074058512629,0.328773600040514,0.532976275365954
"1pm",-0.0328725510677925,0.346923658223301,0.518708404139347
"2pm",0.0134234197730022,0.351916960259554,0.507651986143747
"3pm",-0.00453787946319017,0.350836793211814,0.516533121178665
"4pm",-0.0136375493527019,0.349563458635573,0.497720187730147
"5pm",-0.0220024889476556,0.395310016311792,0.525292357612959
"6pm",-0.019999723925892,0.370902063787079,0.514148347209895
"7pm",-0.0152082382356123,0.391164387913855,0.536291406070548
"8pm",-0.020315991270644,0.358691935152872,0.517479158132659
"9pm",-0.0233358533736622,0.379305928666862,0.537302412420732
"10pm",-0.0230999178647083,0.380859185464862,0.5333123121226
"11pm",-0.0224929158029648,0.381982383604044,0.530868082987117
"12pm",-0.0222349917984138,0.383541772268987,0.53247590173876
"1am",-0.0218253968253968,0.385524178156417,0.533646689648355
"2am",-0.0218253968253968,0.385535025601469,0.533658767926881
"3am",-0.0218253968253968,0.38602150710711,0.534198133531366
