"hour","occ1","occ2","occ3","occ4","occ5"
"4am",0.1069,0.2151,0.2536,0.1438,0.2113
"5am",0.1085,0.2139,0.2544,0.1475,0.2139
"6am",0.1054,0.2139,0.2604,0.1497,0.2308
"7am",0.123,0.4403,0.2259,0.2271,0.2557
"8am",0.1591,0.4442,0.2253,0.2817,0.31
"9am",0.1465,0.4592,0.205,0.2994,0.2984
"10am",0.147,0.4513,0.2123,0.2996,0.2535
"11am",0.1517,0.4049,0.2261,0.2934,0.2832
"12am",0.1223,0.3882,0.2285,0.2625,0.2883
"1pm",0.1774,0.3932,0.1625,0.2703,0.2621
"2pm",0.1389,0.4067,0.1868,0.2454,0.2895
"3pm",0.1313,0.3607,0.2719,0.2382,0.2737
"4pm",0.1118,0.3169,0.2681,0.2285,0.2512
"5pm",0.1139,0.2634,0.242,0.1715,0.2095
"6pm",0.1098,0.2222,0.2451,0.1345,0.2131
"7pm",0.1205,0.2172,0.2555,0.142,0.2109
"8pm",0.1125,0.1998,0.2525,0.1609,0.2144
"9pm",0.1216,0.2369,0.2464,0.1505,0.2177
"10pm",0.1148,0.2339,0.2491,0.1573,0.2117
"11pm",0.1129,0.2364,0.251,0.1494,0.2113
"12pm",0.1113,0.228,0.2545,0.147,0.2119
"1am",0.1092,0.2165,0.2549,0.1426,0.2118
"2am",0.1104,0.2144,0.2524,0.1456,0.2123
"3am",0.1104,0.2164,0.2547,0.1431,0.2116
