"hour","age1","age2","age3","age4"
"4am",0.171827322286193,0.118600005704545,0.431476956731209,0.155632117008771
"5am",0.161245983001677,0.0908484189029438,0.416655176047618,0.148061344302423
"6am",0.111987019768004,0.0225619848783065,0.356094008765598,0.131292790023937
"7am",0.0445594878877966,-0.0570450207680092,0.277159074734517,0.00292348750512375
"8am",0.0792247089439498,-0.113658673415889,0.193840259126752,0.0188636491075162
"9am",0.0998760118347247,-0.128464507573601,0.1264828802396,0.00273478376595243
"10am",0.0964577132685621,-0.0529231293103512,0.101638207313039,0.0509631965688745
"11am",0.0797008080068003,-0.112153876826652,0.231497817528747,-0.0366303610551072
"12am",0.166036940660188,-0.137577140608709,-0.0750078686226075,0.114882821134764
"1pm",0.228717347831135,-0.0277770575261418,0.189660797906791,0.0395333441935647
"2pm",-0.0220183749960994,-0.0949751432262951,0.0691354240290332,-0.000123881828068276
"3pm",0.161098566514438,-0.180552628900305,0.119047201181425,0.0113498119850397
"4pm",0.106842284059993,-0.134716529031726,0.152659474282943,0.00164393001162458
"5pm",0.121718470456541,-0.0554759733903731,0.293096512284543,0.126275985555005
"6pm",0.104035032768102,0.0248170664092598,0.258269684998614,0.147092546992644
"7pm",0.125078556170701,0.108335650778363,0.247406442462612,0.088101461950009
"8pm",0.132937894269122,0.203781015424615,0.410455390004496,0.0469849393503907
"9pm",0.103388696474293,0.115886006769376,0.370335224594986,0.0478800780325253
"10pm",0.10793291858205,0.230620270069172,0.405041266762219,0.0845102631579617
"11pm",0.103576982791194,0.162829562562022,0.397158902574199,0.0803480339506512
"12pm",0.0860809666495808,0.108410353727209,0.420714241649812,0.0837352575622736
"1am",0.114007390571212,0.162525702250858,0.427362012835796,0.0985142518897502
"2am",0.117014182114311,0.231022389771519,0.418753571238544,0.0960146011456465
"3am",0.160855794097851,0.206288943828539,0.422534508422551,0.115150484678109
