"hour","age1","age2","age3","age4"
"4am",0.2435,0.1223,0.1375,0.15
"5am",0.2378,0.1238,0.1364,0.1517
"6am",0.2139,0.1376,0.1156,0.1532
"7am",0.3588,0.1873,0.1231,0.2058
"8am",0.345,0.1902,0.102,0.2536
"9am",0.3536,0.1914,0.1061,0.2743
"10am",0.3622,0.2112,0.0978,0.2715
"11am",0.3269,0.1883,0.0995,0.2736
"12am",0.3322,0.2316,0.104,0.246
"1pm",0.2964,0.2058,0.1088,0.2491
"2pm",0.3293,0.1901,0.0797,0.2279
"3pm",0.3356,0.2187,0.0774,0.2231
"4pm",0.2928,0.2203,0.083,0.2117
"5pm",0.247,0.2686,0.0998,0.1696
"6pm",0.2233,0.2068,0.1036,0.1405
"7pm",0.2288,0.1813,0.1208,0.1441
"8pm",0.2446,0.1344,0.1338,0.1588
"9pm",0.2502,0.1183,0.1409,0.1497
"10pm",0.2803,0.119,0.1444,0.1599
"11pm",0.2668,0.1223,0.1386,0.1529
"12pm",0.2608,0.1245,0.1348,0.1495
"1am",0.2429,0.119,0.1343,0.1473
"2am",0.2408,0.1257,0.1354,0.15
"3am",0.2393,0.1257,0.1354,0.1479
