"hour","001","050","100","120","140","180","200","240","260","300","350","360","400","425","450","500","560","600","625","650","700","750","800","820","840","845"
"min",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"max",40759.0326705,40759.0326705,40759.0326705,40759.0326705,40759.0326705,40759.0326705,40759.0326705,40759.0326705,40759.0326705,40759.0326705,40759.0326705,40759.0326705,40759.0326705,40759.0326705,40759.0326705,40759.0326705,40759.0326705,40759.0326705,40759.0326705,40759.0326705,40759.0326705,40759.0326705,40759.0326705,40759.0326705,40759.0326705,40759.0326705
"4am",1749.7915218,2610.8000484,1583.1447102,722.1361836,3124.6277175,2110.8596136,2180.2957851,1569.2574759,2124.7468479,361.0680918,0,0,180.5340459,458.2787319,0,611.0383092,0,680.4744807,1763.6787561,249.9702174,416.617029,236.0829831,1485.9340701,736.0234179,333.2936232,166.6468116
"5am",2485.8149397,3096.8532489,1847.0021619,819.3468237,3943.9745412,2458.0404711,2652.4617513,2055.3106764,2346.9425967,472.1659662,0,0,305.5191546,499.9404348,222.1957488,749.9106522,0,833.234058,2096.9723793,249.9702174,499.9404348,222.1957488,1666.468116,791.5723551,402.7297947,166.6468116
"6am",7971.2724882,4943.8554108,3319.0489977,1513.7085387,7693.5278022,3374.5979349,4957.7426451,4166.17029,3569.0192151,958.2191667,0,249.9702174,652.7000121,763.7978865,472.1659662,1777.5659904,347.1808575,2152.5213165,3305.1617634,361.0680918,736.0234179,249.9702174,2138.6340822,999.8808696,472.1659662,361.0680918
"7am",19886.5195176,11331.9831888,5985.3979833,3999.5234784,13706.7002541,4929.9681765,10901.4789255,7165.8128988,6763.0831041,2096.9723793,263.8574517,472.1659662,1124.8659783,1555.3702416,1194.3021498,4360.5915702,763.7978865,5846.5256403,5513.2320171,402.7297947,1055.4298068,374.9553261,3541.2447465,1680.3553503,805.4595894,638.8127778
"8am",32496.128262,19331.0301456,8110.1448312,6624.2107611,19983.7301577,6457.5639495,16720.2300972,11484.7427661,10082.1321018,3291.2745291,583.2638406,791.5723551,1430.3851329,2305.2808938,1666.468116,7346.3469447,1027.6553382,9596.0789013,7637.978865,527.7149034,1333.1744928,486.0532005,4555.0128504,2110.8596136,958.2191667,972.106401
"9am",36940.043238,23594.4110757,9207.2363409,7554.6554592,22941.7110636,7263.0235389,19817.0833461,12567.9470415,11651.3895777,4055.0724156,819.3468237,958.2191667,1527.595773,2652.4617513,1916.4383334,8776.7320776,1152.6404469,10457.0874279,8735.0703747,638.8127778,1527.595773,666.5872464,5374.3596741,2471.9277054,999.8808696,1013.7681039
"10am",38689.8347598,25719.1579236,9818.2746501,7804.6256766,24733.1642883,7401.8958819,21705.7472109,13373.4066309,12595.7215101,4457.8022103,874.8957609,999.8808696,1541.4830073,2944.0936716,2055.3106764,9596.0789013,1249.851087,10762.6065825,9846.0491187,916.5574638,1735.9042875,749.9106522,6110.383092,2555.2511112,999.8808696,1083.2042754
"11am",39523.0688178,27205.0919937,10498.7491308,7901.8363167,25358.0898318,7651.8660993,22344.5599887,13567.8279111,13054.000242,4721.659662,902.6702295,985.9936353,1555.3702416,2957.9809059,2152.5213165,9526.6427298,1291.5127899,11234.7725487,10109.9065704,944.3319324,1722.0170532,722.1361836,6638.0979954,2721.8979228,1027.6553382,1194.3021498
"12am",39953.5730811,28135.5366918,10387.6512564,8124.0320655,25899.6919695,7499.106522,22080.702537,13817.7981285,13415.0683338,4652.2234905,902.6702295,916.5574638,1694.2425846,2860.7702658,2221.957488,9484.9810269,1333.1744928,11818.0363893,10818.1555197,972.106401,1833.1149276,736.0234179,6943.61715,2971.8681402,1083.2042754,1319.2872585
"1pm",40759.0326705,28774.3494696,10693.170411,8207.3554713,26246.872827,7762.9639737,22191.8004114,13998.3321744,13692.8130198,4707.7724277,930.4446981,958.2191667,1610.9191788,2971.8681402,2249.7319566,9679.4023071,1319.2872585,12206.8789497,11679.1640463,1013.7681039,1916.4383334,791.5723551,7249.1363046,3249.6128262,1208.1893841,1416.4978986
"2pm",40397.9645787,27607.8217884,10623.7342395,7915.723551,25774.7068608,7762.9639737,21191.9195418,13512.2789739,13373.4066309,4221.7192272,847.1212923,819.3468237,1527.595773,2916.319203,1985.8745049,9068.3639979,1138.7532126,12429.0746985,12234.6534183,958.2191667,2041.4234421,819.3468237,7985.1597225,3180.1766547,1291.5127899,1388.72343
"3pm",34773.6346872,23733.2834187,8249.0171742,6721.4214012,20941.9493244,6929.7299157,17650.6747953,10943.1406284,11484.7427661,3485.6958093,624.9255435,736.0234179,1430.3851329,2485.8149397,1680.3553503,7818.5129109,930.4446981,10512.6363651,9957.1469931,791.5723551,1624.8064131,749.9106522,7207.4746017,2708.0106885,1069.3170411,1166.5276812
"4pm",21900.1684911,18150.6152301,5915.9618118,4582.787319,14567.7087807,5402.1341427,12109.6683096,7901.8363167,8832.2810148,2652.4617513,402.7297947,583.2638406,958.2191667,1930.3255677,1305.4000242,5971.510749,583.2638406,5804.8639374,7165.8128988,930.4446981,1305.4000242,583.2638406,5443.7958456,1971.9872706,749.9106522,847.1212923
"5pm",12692.9321502,13262.3087565,4749.4341306,3041.3043117,9790.5001815,3957.8617755,7915.723551,5541.0064857,6402.0150123,2402.4915339,374.9553261,486.0532005,597.1510749,1652.5808817,930.4446981,4082.8468842,333.2936232,2819.1085629,5166.0511596,749.9106522,1222.0766184,708.2489493,4277.2681644,1874.7766305,624.9255435,611.0383092
"6pm",10165.4555076,11970.7959666,4499.4639132,2930.2064373,8735.0703747,3541.2447465,7443.5575848,4485.5766789,5971.510749,2680.2362199,527.7149034,652.7000121,472.1659662,1499.8213044,1013.7681039,3527.3575122,361.0680918,2124.7468479,4527.2383818,791.5723551,1138.7532126,680.4744807,4291.1553987,1958.1000363,638.8127778,583.2638406
"7pm",9123.9129351,10498.7491308,4443.914976,2596.9128141,7290.7980075,3082.9660146,6263.1426693,4166.17029,5443.7958456,2485.8149397,597.1510749,708.2489493,527.7149034,1333.1744928,916.5574638,3624.5681523,402.7297947,1819.2276933,4207.8319929,819.3468237,1152.6404469,666.5872464,3721.7787924,1749.7915218,597.1510749,458.2787319
"8pm",7929.6107853,8485.1001573,3332.936232,1958.1000363,5693.766063,2513.5894083,4874.4192393,3013.5298431,3957.8617755,1930.3255677,472.1659662,472.1659662,499.9404348,1110.978744,694.361715,2930.2064373,347.1808575,1485.9340701,3444.0341064,652.7000121,985.9936353,555.489372,2444.1532368,1333.1744928,527.7149034,402.7297947
"9pm",5846.5256403,5624.3298915,2096.9723793,1319.2872585,4041.1851813,1930.3255677,3096.8532489,2055.3106764,2513.5894083,1374.8361957,263.8574517,319.4063889,472.1659662,722.1361836,416.617029,2208.0702537,249.9702174,1319.2872585,2194.1830194,430.5042633,597.1510749,361.0680918,1680.3553503,833.234058,402.7297947,347.1808575
"10pm",4207.8319929,3596.7936837,1638.6936474,916.5574638,2902.4319687,1583.1447102,2069.1979107,1485.9340701,1513.7085387,874.8957609,166.6468116,194.4212802,180.5340459,402.7297947,319.4063889,1124.8659783,208.3085145,833.234058,1610.9191788,263.8574517,388.8425604,333.2936232,1222.0766184,624.9255435,333.2936232,291.6319203
"11pm",3332.936232,2652.4617513,1222.0766184,624.9255435,2249.7319566,1194.3021498,1666.468116,1152.6404469,1124.8659783,652.7000121,0,166.6468116,0,374.9553261,277.744686,861.0085266,0,652.7000121,1263.7383213,0,277.744686,263.8574517,861.0085266,444.3914976,333.2936232,263.8574517
"12pm",3082.9660146,2374.7170653,1083.2042754,541.6021377,2138.6340822,972.106401,1583.1447102,1110.978744,1013.7681039,541.6021377,0,166.6468116,0,319.4063889,263.8574517,722.1361836,0,611.0383092,1013.7681039,0,236.0829831,194.4212802,736.0234179,402.7297947,333.2936232,222.1957488
"1am",2860.7702658,2249.7319566,1041.5425725,499.9404348,1971.9872706,902.6702295,1541.4830073,1041.5425725,985.9936353,527.7149034,0,0,0,305.5191546,263.8574517,694.361715,0,583.2638406,930.4446981,0,222.1957488,208.3085145,666.5872464,402.7297947,319.4063889,208.3085145
"2am",2638.574517,2096.9723793,1041.5425725,499.9404348,1944.212802,888.7829952,1513.7085387,1013.7681039,972.106401,499.9404348,0,0,0,305.5191546,263.8574517,652.7000121,0,555.489372,847.1212923,0,222.1957488,194.4212802,638.8127778,388.8425604,305.5191546,180.5340459
"3am",2444.1532368,2027.5362078,1013.7681039,486.0532005,1847.0021619,861.0085266,1485.9340701,1013.7681039,944.3319324,513.8276691,0,0,0,291.6319203,263.8574517,624.9255435,0,513.8276691,791.5723551,0,208.3085145,194.4212802,624.9255435,388.8425604,305.5191546,180.5340459
