"hour","001","002","003","004","005","006","007","008","009","010","011","012","013","014","015","016","017","018","019","020","021","022","023","024","025","026","027","028","029","030","031","032","033","034","035","036","037","038","039","040","041","042","044","045","046","047","048","049","050","051","052","053","054","057","058","059","060","061","062","063","065","067","068","069","070","071","072","073","074","075","076","077","078","079","080","082","083","084","085","086","087","088","089","090","091","092","093","094","095","096","097","099","100","101","103","104","105","106","107","108","109","110","111","112","113","114","115","116","117","118","119","120","121","123","124","125","126","127","128","129","130","131","133","134","135","136","137"
"min",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"max",28053.805,28053.805,28053.805,28053.805,28053.805,28053.805,28053.805,28053.805,28053.805,28053.805,28053.805,28053.805,28053.805,28053.805,28053.805,28053.805,28053.805,28053.805,28053.805,28053.805,28053.805,28053.805,28053.805,28053.805,28053.805,28053.805,28053.805,28053.805,28053.805,28053.805,28053.805,28053.805,28053.805,28053.805,28053.805,28053.805,28053.805,28053.805,28053.805,28053.805,28053.805,28053.805,28053.805,28053.805,28053.805,28053.805,28053.805,28053.805,28053.805,28053.805,28053.805,28053.805,28053.805,28053.805,28053.805,28053.805,28053.805,28053.805,28053.805,28053.805,28053.805,28053.805,28053.805,28053.805,28053.805,28053.805,28053.805,28053.805,28053.805,28053.805,28053.805,28053.805,28053.805,28053.805,28053.805,28053.805,28053.805,28053.805,28053.805,28053.805,28053.805,28053.805,28053.805,28053.805,28053.805,28053.805,28053.805,28053.805,28053.805,28053.805,28053.805,28053.805,28053.805,28053.805,28053.805,28053.805,28053.805,28053.805,28053.805,28053.805,28053.805,28053.805,28053.805,28053.805,28053.805,28053.805,28053.805,28053.805,28053.805,28053.805,28053.805,28053.805,28053.805,28053.805,28053.805,28053.805,28053.805,28053.805,28053.805,28053.805,28053.805,28053.805,28053.805,28053.805,28053.805,28053.805,28053.805
"4am",0,0,0,0,0,0,0,0,1388.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1126.104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1243.678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5am",0,0,0,0,0,0,0,0,2178.899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,918.808,0,0,0,0,0,0,0,0,0,0,0,1273.307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1442.339,0,0,0,1786.871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1756.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1028.353,0,0,0,0,0,0,0,0,0,0
"6am",0,0,0,1440.038,867.877,0,0,1805.666,2785.277,1581.246,0,0,0,1758.757,1792.205,0,0,0,0,0,0,0,1161.394,0,1391.979,0,0,0,0,0,1898.577,1166.116,1338.787,0,1637.723,0,0,1562.804,0,0,0,0,1423.305,0,0,0,0,1169.174,0,2141.032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2642.551,0,0,0,4754.687,0,0,0,0,0,0,0,0,0,0,864.661,0,0,0,3043.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1127.276,0,1168.826,0,0,0,0,0,0,1730.348,0,0,0,0,0,659.46,0,0,0,0
"7am",3355.472,1530.448,1769.798,3284.203,6721.458,4190.402,0,4487.114,7153.735,3561.92,3960.164,3767.708,4157.715,5771.674,5862.337,3299.913,961.893,1282.832,0,4776.795,1455.392,2753.78,5425.399,2066.638,3470.64,3733.054,1152.283,2520.923,0,3191.443,4627.624,4302.076,4741.443,4252.45,4756.363,0,0,3721.789,3694.514,1747.731,1639.432,1289.417,2584.219,0,0,0,0,2821.202,2772.767,4342.611,0,0,0,0,2079.901,843.091,1294.759,1121.701,0,613.299,0,0,2574.885,561.824,2457.425,0,789.111,7367.733,1406.51,0,1626.994,10229.34,0,0,1378.667,0,0,4198.639,4390.203,1497.064,2937.749,0,3088.44,1062.818,3250.471,1587.902,8603.352,1159.318,721.985,1032.28,0,0,1787.451,1790.901,2854.496,1610.45,0,0,718.419,1068.99,0,0,0,0,1892.14,2234.568,2041.099,3505.487,0,2106.489,4579.207,0,1122.112,2345.248,1728.476,1353.77,4765.705,0,0,0,0,0,2646.998,1514.629,0,0,0
"8am",9410.89,2557.458,3442.542,5679.135,15616.338,5916.598,1949.207,8305.602,12125.536,5322.078,6517.291,6454.161,7045.72,13477.802,12138.849,5338.738,1207.663,2279.447,2899.889,6170.649,4788.353,4132.788,6918.197,4802.93,6514.855,5431.724,1620.561,3183.881,2068.871,5080.612,6087.3,6516.363,6510.813,8502.33,7593.308,1582.059,0,6617.626,5305.418,2681.042,4063.492,3018.497,3407.716,1011.745,792.706,1430.987,1144.217,4428.403,4423.035,8685.612,1140.481,1551.831,0,0,3921.201,1449.277,2608.817,1887.508,0,1235.324,0,0,4600.774,1072.259,5260.29,1775.985,876.94,12287.802,3458.979,1561.894,3539.137,13148.941,1329.047,1811.635,1963.859,1652.051,1069.749,8577.379,8897.562,4111.608,6280.475,726.252,5165.312,2028.011,4755.057,2733.771,17536.881,1242.747,1479.162,1928.083,1404.115,1129.511,1877.978,2546.207,4665.155,2713.879,0,0,1211.934,1823.763,854.868,0,0,0,2516.291,4644.491,5982.342,4510.309,0,3617.25,8082.965,0,2312.775,4063.712,2650.589,2510.947,7297.369,814.884,1581.661,0,0,1380.814,3577.677,2676.8,0,0,0
"9am",11931.748,3021.175,4004.586,6268.326,23792.18,6674.468,2558.767,11811.51,14033.465,7190.574,8830.107,9568.855,10072.494,15064.482,13516.012,5940.137,1462.119,2428.109,3032.422,6119.626,5414.564,5155.434,6905.129,6684.561,8680.605,7803.572,2080.249,3318.76,3251.961,5901.37,6739.585,6603.815,7503.342,9121.997,8780.192,1741.701,0,9578.317,6527.761,4332.912,4894.471,3907.618,3949.437,950.07,1222.077,1880.801,1249.074,4964.124,5436.011,11458.165,1401.2,1421.604,0,0,5314.055,1493.264,2742.059,3565.199,0,1416.972,0,951.69,5717.012,1260.554,5877.898,2107.691,1335.103,15127.177,3460.071,1615.483,4408.415,13853.069,1423.447,2326.631,1982.969,1766.296,1478.912,12325.643,10315.36,5354.963,8932.386,1246.837,6043.676,2322.423,5584.993,3076.185,22917.194,1440.833,1798.747,2596.154,2013.075,1332.698,2076.507,2787.366,5204.717,4221.627,1107.455,803.134,1422.723,1940.957,1287,870.484,0,984.89,3046.928,5357.819,7137.19,4817.632,0,4858.638,9465.386,996.57,2433.369,4802.901,3428.721,2823.777,7697.149,899.461,1832.715,0,0,1554.642,4286.135,3185.204,0,0,0
"10am",12765.964,3586.502,4663.059,6261.859,26191.121,7133.241,3344.175,12856.32,15097.319,7876.197,8305.241,9007.184,9563.195,15662.265,14531.564,5808.439,1426.674,3076.504,2868.137,7586.445,5389.823,5354.638,7539.171,7934.593,9006.153,8042.576,1913.573,3269.306,3391.759,6852.095,6678.864,7509.262,8179.543,9797.56,8874.117,2638.231,1280.388,9498.181,7012.038,5891.129,4369.619,4077.346,4206.124,1037.001,1093.305,2093.302,1715.894,5055.002,5626.472,13252.861,1532.29,1501.609,0,0,7235.795,1505.832,3324.895,4242.711,0,1864.964,0,1150.852,5538.109,1379.324,6350.119,2222.228,1351.126,16424.126,3847.783,1604.438,3927.951,14385.222,1362.148,2235.215,1765.188,1757.181,1570.49,13789.03,11880.017,5836.435,9394.632,1452.302,6345.061,2666.631,5920.688,3349.492,23273.632,1563.384,2087.477,2445.412,1620.378,1322.334,2231.929,2670.531,5116.526,3825.14,1035.191,824.993,1508.99,1981.755,1069.895,898.591,0,1561.879,2986.132,6256.928,7956.023,4495.419,0,4847.629,10313.871,1063.696,2212.207,4897.406,3710.632,2595.302,7845.015,967.786,1828.439,939.148,0,1525.435,4714.754,3779.543,636.09,0,969.377
