"district","hour","rev5","rev1","rev2","rev3","rev4"
"024","5am",24.32432,12.252252,25.76577,29.36937,8.288288
"025","5am",28.8,28.8,23.73333,14.4,4.266667
"026","5am",26.13636,4.058442,21.75325,35.55195,12.5
"027","5am",22.51407,8.255159,32.83302,29.83114,6.566604
"028","5am",24.30939,6.998158,22.28361,31.67587,14.732965
"029","5am",24.97083,5.71762,19.48658,30.57176,19.253209
"030","5am",29.41176,10.649087,23.32657,27.28195,9.330629
"031","5am",23.14286,27,26.42857,19.42857,4
"032","5am",20.02488,13.681592,25.37313,29.85075,11.069652
"033","5am",25.03536,12.729844,30.1273,24.1867,7.920792
"034","5am",25.10949,6.569343,22.48175,34.45255,11.386861
"035","5am",24.88263,7.355243,19.24883,27.85603,20.657277
"036","5am",25.84705,7.647628,25.55663,28.6544,12.294288
"037","5am",24.39271,12.145749,26.72065,27.32794,9.412955
"038","5am",24.43559,6.640106,31.87251,24.7012,12.350598
"039","5am",20.22263,7.235622,37.66234,28.94249,5.93692
"040","5am",23.72881,5.811138,29.78208,32.08232,8.595642
"041","5am",20.37037,7.575758,34.34343,30.63973,7.070707
"042","5am",26.79128,4.569055,18.58775,31.7757,18.27622
"043","5am",28.00809,12.436805,24.46916,23.1547,11.931244
"044","5am",27.88235,18.352941,23.52941,23.05882,7.176471
"045","5am",30.05464,7.832423,27.6867,23.13297,11.29326
"046","5am",23.70089,10.392902,23.32066,31.05196,11.533587
"047","5am",24.80469,7.226562,30.07812,32.42188,5.46875
"048","5am",24.67903,10.984308,25.24964,27.24679,11.840228
"049","5am",25.73529,5.02451,28.18627,29.28922,11.764706
"050","5am",27.35849,8.018868,26.88679,24.5283,13.207547
"051","5am",20.5,9,28,30.75,11.75
"052","5am",21.79353,4.796663,26.06882,31.28259,16.058394
"053","5am",22.69504,6.914894,24.64539,30.31915,15.425532
"054","5am",18.92744,10.094637,32.80757,31.8612,6.309148
"055","5am",22.67303,10.739857,32.6969,26.96897,6.921241
"056","5am",22.38193,11.088296,37.16632,20.94456,8.418891
"059","5am",22.83737,4.67128,26.47059,34.42907,11.591696
"060","5am",23.65217,10.956522,27.65217,23.82609,13.913043
"061","5am",26.34315,2.079723,16.63778,32.06239,22.87695
"062","5am",27.38095,10.515873,25.99206,29.16667,6.944444
"063","5am",27.72643,12.939002,31.0536,21.44177,6.839187
"064","5am",31.14754,12.021858,29.8725,20.76503,6.193078
"065","5am",19.73684,15.037594,28.38346,28.00752,8.834586
"066","5am",24.29194,14.16122,29.84749,23.09368,8.605664
"067","5am",25.09294,12.267658,29.5539,24.72119,8.364312
"068","5am",23.88393,16.294643,31.91964,18.75,9.151786
"069","5am",18.64407,7.156309,18.26742,28.24859,27.683616
"070","5am",21.02218,11.47541,17.64706,28.54388,21.311475
"071","5am",20.8577,17.153996,15.78947,24.5614,21.637427
"072","5am",27.91411,7.822086,15.4908,21.47239,27.300613
"073","5am",22.20217,27.436823,22.38267,19.13357,8.844765
"074","5am",29.06277,14.703353,27.51505,21.49613,7.2227
"075","5am",30,11.372549,28.23529,24.90196,5.490196
"076","5am",23.03571,6.607143,30.71429,27.67857,11.964286
"001","6am",20.12987,18.367347,20.03711,26.53061,14.935065
"003","6am",19.35867,25.178147,19.00238,22.09026,14.370546
"004","6am",20.98093,27.247956,24.88647,20.25431,6.630336
"005","6am",23.94958,19.327731,23.38936,24.22969,9.103641
"006","6am",20.20033,21.619366,29.88314,21.86978,6.427379
"007","6am",21.66667,26.403509,23.59649,23.50877,4.824561
"010","6am",28.87029,13.389121,18.72385,24.37238,14.644351
"011","6am",27.13816,7.894737,16.28289,27.63158,21.052632
"012","6am",25.72721,8.920491,18.74596,27.86037,18.74596
"013","6am",21.02066,14.580802,23.93682,31.59174,8.869988
"014","6am",21.65517,3.310345,12.96552,33.10345,28.965517
"015","6am",27.17391,13.664596,28.26087,21.11801,9.782609
"016","6am",24.79224,10.387812,31.16343,28.53186,5.124654
"017","6am",24.19872,10.25641,19.55128,32.05128,13.942308
"018","6am",25.58594,11.914063,26.17188,25.19531,11.132812
"019","6am",25,9.693878,28.87755,25.91837,10.510204
"020","6am",27.47875,21.529745,24.50425,22.66289,3.824363
"021","6am",24.73545,19.973545,23.28042,23.80952,8.201058
"023","6am",25.54292,3.619442,25.23268,31.64426,13.960703
"024","6am",24.46184,13.111546,24.85323,30.13699,7.436399
"025","6am",29.42857,29.714286,24.57143,11.71429,4.571429
"026","6am",26.9962,4.562738,21.86312,35.1711,11.406844
"027","6am",23.40426,9.148936,32.97872,27.65957,6.808511
"028","6am",23.79032,7.862903,22.17742,31.65323,14.516129
"029","6am",26.0355,6.035503,19.40828,30.4142,18.106509
"030","6am",29.71246,10.969116,23.42918,26.51757,9.371672
"031","6am",23.60335,26.256983,26.95531,19.13408,4.050279
"032","6am",20.02472,13.720643,26.20519,29.78986,10.25958
"033","6am",25.26882,12.231183,30.37634,23.11828,9.005376
"034","6am",25.11485,6.891271,21.28637,34.60949,12.098009
"035","6am",24.36751,7.323569,20.50599,28.89481,18.908123
"036","6am",25.34175,7.465825,26.49842,28.60147,12.092534
"037","6am",25.08251,12.321232,26.29263,27.06271,9.240924
"038","6am",24.45483,7.320872,31.7757,24.92212,11.52648
"039","6am",19.82942,7.889126,39.44563,26.86567,5.970149
"040","6am",23.42606,6.149341,31.33236,30.16105,8.931186
"041","6am",19.79798,8.686869,35.55556,28.88889,7.070707
"042","6am",26.23295,5.666317,19.62225,31.37461,17.103882
"043","6am",27.40899,13.383298,23.8758,23.98287,11.349036
"044","6am",28.05588,17.811409,23.3993,22.93364,7.799767
"045","6am",29.97988,8.651911,27.16298,23.13883,11.066398
"046","6am",23.20442,11.187845,24.17127,30.1105,11.325967
"047","6am",25.44248,7.522124,29.64602,31.85841,5.530973
"048","6am",24.39024,11.33429,25.25108,27.40316,11.621234
"049","6am",25.70281,5.62249,28.38019,29.58501,10.709505
"050","6am",28.66779,8.263069,25.63238,25.29511,12.141653
"051","6am",19.42029,9.565217,27.53623,30.43478,13.043478
"052","6am",22.66811,5.206074,27.22343,29.50108,15.401302
"053","6am",22.69939,6.748466,25.15337,30.87935,14.519427
"054","6am",20.86331,10.071942,31.65468,31.29496,6.115108
"055","6am",23.56164,10.684932,32.05479,26.30137,7.39726
"056","6am",23.26622,11.409396,36.68904,21.02908,7.606264
"059","6am",22.11538,4.487179,23.55769,37.01923,12.820513
"060","6am",25.42373,12.5,25.42373,23.72881,12.923729
"061","6am",26.33588,2.671756,17.17557,31.87023,21.946565
"062","6am",27.64423,11.538462,24.51923,30.04808,6.25
"063","6am",27.51004,13.052209,31.72691,21.08434,6.626506
"064","6am",29.84496,12.790698,31.58915,20.73643,5.03876
"065","6am",19.00648,15.766739,29.80562,27.21382,8.207343
"066","6am",24.31791,14.472123,30.01186,22.41993,8.778173
