"hour";"101";"102";"103";"104";"105";"106";"107";"108";"109";"110";"111";"112";"113";"114";"115";"116";"117";"118";"119";"120";"121";"122";"123";"124";"125";"126";"127";"128";"129";"130";"131";"132";"201";"202";"203";"204";"205";"206";"207";"208";"209";"210";"211";"212";"213";"214";"215";"216";"217";"218";"219";"220";"221";"222";"223";"224"
"min";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"max";"13674.00076";"13674.00076";"13674.00076";"13674.00076";"13674.00076";"13674.00076";"13674.00076";"13674.00076";"13674.00076";"13674.00076";"13674.00076";"13674.00076";"13674.00076";"13674.00076";"13674.00076";"13674.00076";"13674.00076";"13674.00076";"13674.00076";"13674.00076";"13674.00076";"13674.00076";"13674.00076";"13674.00076";"13674.00076";"13674.00076";"13674.00076";"13674.00076";"13674.00076";"13674.00076";"13674.00076";"13674.00076";"13674.00076";"13674.00076";"13674.00076";"13674.00076";"13674.00076";"13674.00076";"13674.00076";"13674.00076";"13674.00076";"13674.00076";"13674.00076";"13674.00076";"13674.00076";"13674.00076";"13674.00076";"13674.00076";"13674.00076";"13674.00076";"13674.00076";"13674.00076";"13674.00076";"13674.00076";"13674.00076";"13674.00076"
"4am";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";"0";" 0";" 0";"0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";"0";" 0";" 0";"0";" 0";"0";"0";"0";" 0";" 0";"0";" 0";"0";"0";"0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0"
"5am";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";"0";" 0";" 0";"0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";"0";" 0";" 0";"0";" 0";" 0";"0";"0";" 0";" 0";"0";" 0";"0";" 0";" 0";"0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0"
"6am";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"979.8952";"919.1478";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"0";"  0.0000";"  0.0000";"  0.0000";"520.5582";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"0";"  0.0000";"  0.0000";"0";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000"
"7am";"1470.3292";"2301.2333";"2939.1154";"2857.2599";"3247.6806";"3668.2210";"   0.0000";"   0.0000";"1616.4661";"   0.0000";"   0.0000";"2034.4825";"1609.4232";" 651.9016";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"1954.5508";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"1324.5940";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";" 672.0887";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"1654.5732";"2658.1255";"   0.0000";"   0.0000";"   0.0000"
"8am";"3489.8596";"5194.6607";"5758.7010";"4120.9188";"5986.8932";"6402.5826";"1053.7363";"1125.9346";"2699.9187";"   0.0000";"   0.0000";"2638.6367";"3100.3989";"1444.6322";"   0.0000";"   0.0000";" 984.3084";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";" 587.6090";"3583.8783";"   0.0000";"   0.0000";"   0.0000";" 788.8500";"   0.0000";"   0.0000";"2181.4012";"   0.0000";"   0.0000";"   0.0000";" 782.9988";"   0.0000";"   0.0000";"1220.3281";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";" 613.1249";"   0.0000";"3917.7720";"3249.4951";"   0.0000";"   0.0000";"   0.0000"
"9am";"5628.3348";"5791.5190";"6776.0925";"5667.4715";"7040.9595";"7223.6255";"1357.7955";"1327.5793";"3252.8921";"1179.5918";"   0.0000";"3781.9547";"3876.5625";"1654.5671";"   0.0000";"   0.0000";"1598.4832";"   0.0000";"   0.0000";"   0.0000";" 862.5287";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";" 553.1359";"4066.1217";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"2498.6550";"   0.0000";"   0.0000";"   0.0000";" 782.9988";"   0.0000";"   0.0000";"1299.7500";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";" 489.6114";"   0.0000";" 987.1900";"   0.0000";"4641.5427";"3615.0528";"   0.0000";"1045.7132";"   0.0000"
"10am";"6429.2475";"6923.9996";"6787.0017";"6219.5330";"7615.2253";"8077.1757";"1425.3313";"1206.0483";"3375.8401";" 908.6263";"   0.0000";"4388.2590";"3556.5264";"1770.1751";"   0.0000";"   0.0000";"1507.3415";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";" 623.8172";"4397.6995";"1018.5531";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"2845.8497";"   0.0000";"   0.0000";"   0.0000";" 800.0500";"   0.0000";"   0.0000";"1539.9266";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";" 458.4813";"   0.0000";" 990.1068";"   0.0000";"4794.2824";"3625.4326";"   0.0000";"1100.5765";"   0.0000"
"11am";"5553.1821";"6510.5886";"6427.3405";"6302.5406";"7654.7822";"7060.7960";"1114.6173";"1438.8532";"3062.7118";" 939.8478";" 882.1939";"3440.3446";"3017.9573";"2005.5726";"   0.0000";"   0.0000";"1432.9207";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";" 665.7987";"3963.6070";"   0.0000";"   0.0000";"   0.0000";" 811.4092";"   0.0000";"   0.0000";"2115.9948";"   0.0000";"   0.0000";"   0.0000";" 800.0500";"   0.0000";"   0.0000";"1458.8357";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";" 430.3746";"   0.0000";" 671.7251";"   0.0000";"4027.4045";"3306.9729";"   0.0000";"   0.0000";"   0.0000"
"12am";"5654.8016";"3491.3460";"5367.0350";"4808.7944";"6041.6949";"6622.4101";"1243.0722";"1194.6373";"2189.4113";" 951.2019";"   0.0000";"2871.2181";"2141.8869";"1924.4971";"   0.0000";"   0.0000";"1036.6409";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";" 635.1631";"3486.7026";"   0.0000";"   0.0000";"   0.0000";" 887.3032";"   0.0000";"   0.0000";"1736.8965";"   0.0000";"   0.0000";"   0.0000";" 646.1208";"   0.0000";"   0.0000";" 939.9260";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"3124.4648";"2405.1789";"   0.0000";"   0.0000";"   0.0000"
"1pm";"6303.8176";"4423.2080";"6141.0398";"5380.2180";"6936.5150";"8148.4672";"1159.8305";"1026.7377";"3038.9003";"1188.8478";" 729.5805";"3649.1830";"3146.3595";"2175.7422";"   0.0000";"   0.0000";"1624.6504";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";" 754.0636";"3973.1438";"   0.0000";"   0.0000";"   0.0000";" 738.5891";"   0.0000";"   0.0000";"1963.5242";"   0.0000";"   0.0000";"   0.0000";" 729.9279";"   0.0000";"   0.0000";"1496.6942";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";" 787.9395";"   0.0000";"   0.0000";" 943.2910";"4716.1818";"2770.0038";"   0.0000";"   0.0000";"   0.0000"
"2pm";"7437.5229";"5423.9705";"6066.1361";"6149.1390";"7250.2678";"8446.1031";"1272.4204";" 958.3265";"3256.6177";"1239.2752";" 833.6819";"3938.1594";"3354.8865";"3301.7131";"   0.0000";"   0.0000";"1671.2042";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";" 728.7957";"4028.6991";"   0.0000";"   0.0000";"   0.0000";" 603.4258";"   0.0000";"   0.0000";"2239.8724";"   0.0000";"   0.0000";"   0.0000";" 827.7368";"   0.0000";" 475.6699";"1505.7886";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";" 838.2482";"   0.0000";" 853.8971";"1108.0289";"5478.4614";"2874.3536";"   0.0000";"   0.0000";"   0.0000"
