"hour";"001";"002";"003";"004";"005";"006";"007";"008";"009";"010";"011";"012";"013";"014";"015";"016";"017";"018";"019";"020";"021";"022";"023";"024";"025";"026";"027";"028"
"6pm";"26.348311";"27.556738";"40.276269";"31.006273";"14.122616";"24.656641";" 6.019444";"27.309757";"17.586312";"11.710614";"25.026547";"31.025626";"27.069947";" 5.921341";"15.396518";"12.220349";"17.487594";"18.596427";"15.778072";"13.917932";" 9.860131";"15.240976";"18.398368";"12.375494";"17.834474";"24.973885";"24.953553";"17.813542"
"7pm";"29.118936";"27.724075";"37.197500";"33.624037";"11.806672";"21.681314";" 8.021146";"26.102711";"18.388342";"10.203531";"25.686925";"30.034294";"32.354767";" 4.447594";"16.215690";"13.200426";"18.143048";"21.265695";"17.662282";"12.490119";" 8.603892";"15.771737";"19.164610";"17.169850";"22.438382";"28.364995";"26.490132";"17.024975"
"8pm";"27.581698";"25.451354";"37.213272";"34.420503";"11.425931";"23.076075";" 7.848484";"23.836073";"17.129801";"10.529406";"27.888093";"30.880421";"32.984087";" 3.974314";"15.822681";"11.988631";"18.544117";"23.706508";"14.358205";"14.269782";"12.708140";"16.011716";"19.092240";"17.923114";"23.588217";"28.737733";"27.861628";"16.674536"
"9pm";"28.788810";"27.577153";"37.898236";"32.793980";"12.476728";"24.409265";" 7.773359";"23.455553";"15.466880";"12.049008";"25.629869";"32.440611";"33.607782";" 3.873563";"16.271963";"11.505601";"17.406162";"23.513717";"13.758062";"14.915417";"12.593868";"16.941884";"19.843144";"18.325048";"25.295507";"29.617889";"27.063302";"19.248423"
"10pm";"27.143184";"29.029893";"37.665218";"34.857012";"11.502580";"22.806979";" 7.888393";"22.274464";"16.891915";" 9.935442";"27.809045";"32.443747";"33.684419";" 3.608167";"16.017751";"12.111874";"18.194275";"23.793638";"13.095569";"15.315801";"12.311919";"16.586702";"20.869726";"14.757721";"25.210830";"30.460063";"27.196318";"19.073236"
"11pm";"27.378766";"30.079218";"36.903631";"36.221746";"11.664807";"23.815902";" 8.011623";"21.983322";"16.661267";"10.016741";"27.902744";"33.188798";"32.456470";" 2.806555";"15.644668";"12.009891";"18.089108";"21.902076";"14.084215";"16.027259";"12.120019";"16.415756";"20.743327";"14.757721";"25.028695";"30.594480";"27.426933";"18.391494"
"12pm";"27.187188";"30.043373";"37.370333";"36.383085";"12.024982";"25.049942";" 8.011623";"22.393363";"17.791455";" 9.943608";"25.149748";"33.188798";"32.213640";" 3.366050";"15.419695";"11.801847";"17.711573";"21.902076";"14.084215";"16.156676";"12.120019";"16.331007";"20.743327";"14.757721";"21.909277";"30.594480";"27.627239";"18.782433"
"1am";"27.060703";"29.993382";"37.986866";"36.383085";"12.024982";"24.928481";" 8.131664";"22.281291";"18.558383";" 9.943608";"25.018074";"33.159019";"32.213640";" 3.347696";"15.419695";"11.715268";"17.737468";"21.617663";"14.084215";"16.033575";"12.120019";"16.331007";"20.743327";"14.608142";"21.909277";"30.150576";"27.627239";"18.782433"
"2am";"26.500929";"30.833285";"37.709951";"36.383085";"11.929366";"26.250224";" 8.131664";"22.167458";"19.084097";" 9.943608";"25.018074";"33.159019";"32.213640";" 3.347696";"15.419695";"11.120187";"17.614704";"21.617663";"14.084215";"16.033575";"12.120019";"16.331007";"20.743327";"14.608142";"21.909277";"30.150576";"27.627239";"18.782433"
"3am";"28.922613";"29.797040";"37.709951";"35.632335";"11.929366";"26.076853";" 8.131664";"22.167458";"19.084097";" 9.943608";"25.523590";"32.938791";"32.480174";" 3.347696";"15.419695";"10.929718";"17.614704";"21.617663";"14.084215";"16.033575";"12.120019";"16.331007";"20.743327";"14.608142";"21.909277";"30.150576";"27.627239";"18.782433"
