"hour","act1","act2","act3","act4","act5"
"4am",0.1536,0.224,0.4378,0.4662,0.1438
"5am",0.2481,0.3066,0.3941,0.4378,0.1346
"6am",0.2835,0.3062,0.4464,0.3894,0.1342
"7am",0.2994,0.2939,0.4071,0.2926,0.141
"8am",0.3111,0.2942,0.3627,0.2331,0.1619
"9am",0.3055,0.2866,0.3516,0.2593,0.1532
"10am",0.3039,0.2791,0.3528,0.2703,0.148
"11am",0.3107,0.276,0.3526,0.2876,0.1381
"12am",0.315,0.2796,0.3589,0.2914,0.12
"1pm",0.3106,0.2784,0.3608,0.2891,0.1211
"2pm",0.3114,0.2816,0.3734,0.2884,0.1275
"3pm",0.3222,0.2985,0.4308,0.2819,0.1324
"4pm",0.3383,0.3267,0.5516,0.2851,0.1523
"5pm",0.3196,0.3249,0.6105,0.3198,0.1734
"6pm",0.278,0.2935,0.6158,0.3439,0.1848
"7pm",0.2581,0.2698,0.6096,0.3634,0.1888
"8pm",0.2599,0.2767,0.6042,0.3693,0.2055
"9pm",0.2616,0.3112,0.5865,0.3967,0.2258
"10pm",0.2536,0.328,0.6699,0.4722,0.2154
"11pm",0.2581,0.3483,0.6807,0.5496,0.2309
"12pm",0.2475,0.3389,0.6753,0.563,0.2227
"1am",0.2438,0.3405,0.6719,0.5621,0.2107
"2am",0.2391,0.3416,0.6721,0.5622,0.2096
"3am",0.2391,0.3468,0.6704,0.5841,0.2076
