"hour","occ1","occ2","occ3","occ4","occ5"
"4am",0.087,0.09,0.1124,0.1151,0.1009
"5am",0.0852,0.0893,0.1092,0.1174,0.1007
"6am",0.0966,0.0907,0.1079,0.1291,0.1069
"7am",0.1276,0.1214,0.1268,0.1563,0.1313
"8am",0.1616,0.1624,0.1506,0.1841,0.1567
"9am",0.1671,0.1765,0.1546,0.192,0.1611
"10am",0.165,0.1836,0.1534,0.1921,0.1611
"11am",0.1629,0.1845,0.1571,0.1923,0.1687
"12am",0.162,0.1831,0.1562,0.1927,0.1712
"1pm",0.1605,0.1804,0.1545,0.1916,0.1681
"2pm",0.1578,0.1724,0.1507,0.1893,0.1649
"3pm",0.1458,0.1503,0.143,0.1732,0.1549
"4pm",0.1173,0.1298,0.1234,0.1484,0.1272
"5pm",0.0934,0.1202,0.1121,0.1256,0.1083
"6pm",0.0855,0.1086,0.1074,0.1171,0.1066
"7pm",0.0847,0.1059,0.1088,0.1146,0.1065
"8pm",0.0847,0.1029,0.1093,0.1149,0.1059
"9pm",0.0867,0.0978,0.1092,0.1163,0.1035
"10pm",0.0872,0.0959,0.1108,0.1166,0.1025
"11pm",0.0884,0.0948,0.1124,0.1172,0.1018
"12pm",0.0887,0.0951,0.1127,0.1171,0.1018
"1am",0.0887,0.095,0.1123,0.1173,0.1017
"2am",0.0888,0.095,0.112,0.1174,0.1022
"3am",0.0889,0.0948,0.1118,0.1174,0.1021
