"hour","age1","age2","age3","age4"
"4am",0.086,0.136,0.0608,0.1316
"5am",0.0897,0.1344,0.0561,0.1254
"6am",0.0909,0.1286,0.0595,0.1217
"7am",0.1069,0.122,0.0737,0.136
"8am",0.1287,0.1222,0.088,0.1559
"9am",0.1389,0.1234,0.0886,0.1606
"10am",0.1422,0.1201,0.0876,0.1602
"11am",0.1427,0.1192,0.0876,0.1614
"12am",0.1427,0.1217,0.0873,0.164
"1pm",0.1391,0.1222,0.0868,0.1636
"2pm",0.1319,0.124,0.0842,0.1611
"3pm",0.1192,0.1249,0.0773,0.1555
"4pm",0.0985,0.1336,0.064,0.141
"5pm",0.0977,0.1334,0.0596,0.1287
"6pm",0.0917,0.134,0.0615,0.1254
"7pm",0.0886,0.1348,0.0631,0.1252
"8pm",0.0864,0.1349,0.0638,0.1275
"9pm",0.0885,0.1392,0.0629,0.1315
"10pm",0.0895,0.139,0.0634,0.1336
"11pm",0.0899,0.1393,0.0638,0.1351
"12pm",0.0896,0.1389,0.0643,0.1356
"1am",0.0898,0.1387,0.0643,0.1359
"2am",0.0897,0.1388,0.0644,0.1359
"3am",0.0898,0.1385,0.0643,0.1359
