"hour","sex1","sex2"
"4am",0.0265,0.0265
"5am",0.0302,0.0302
"6am",0.0386,0.0386
"7am",0.0477,0.0477
"8am",0.0528,0.0528
"9am",0.0527,0.0527
"10am",0.0524,0.0524
"11am",0.0533,0.0533
"12am",0.0533,0.0533
"1pm",0.0533,0.0533
"2pm",0.0518,0.0518
"3pm",0.0454,0.0454
"4pm",0.0412,0.0412
"5pm",0.0356,0.0356
"6pm",0.0321,0.0321
"7pm",0.0303,0.0303
"8pm",0.0289,0.0289
"9pm",0.0277,0.0277
"10pm",0.0272,0.0272
"11pm",0.0273,0.0273
"12pm",0.027,0.027
"1am",0.027,0.027
"2am",0.0268,0.0268
"3am",0.0269,0.0269
