"hour","mode1","mode2","mode3"
"4am",0.2723,0.3496,0.3791
"5am",0.2646,0.3398,0.371
"6am",0.2839,0.3458,0.3497
"7am",0.3343,0.3743,0.3209
"8am",0.3823,0.402,0.2937
"9am",0.3837,0.3995,0.2813
"10am",0.3874,0.4004,0.2756
"11am",0.3897,0.4005,0.2713
"12am",0.3865,0.4012,0.2755
"1pm",0.3835,0.4011,0.2765
"2pm",0.3822,0.403,0.2805
"3pm",0.3681,0.4011,0.2925
"4pm",0.3268,0.3834,0.3274
"5pm",0.2886,0.3584,0.3548
"6pm",0.2784,0.3508,0.3682
"7pm",0.2795,0.3517,0.3729
"8pm",0.2783,0.3522,0.3791
"9pm",0.2749,0.3496,0.3829
"10pm",0.2772,0.3499,0.3851
"11pm",0.278,0.3503,0.3863
"12pm",0.2787,0.3505,0.3863
"1am",0.279,0.3504,0.3864
"2am",0.279,0.3504,0.3865
"3am",0.279,0.3503,0.3866
