"hour","rev5","rev1","rev2","rev3","rev4"
"4am",0.344624282878734,0.306742873046528,0.384735712671976,0.219410775167477,0.223339581098259
"5am",0.336256124494029,0.290463019664295,0.394866732262189,0.179282174661159,0.230061183213989
"6am",0.296591908980941,0.271447514192983,0.403535394863764,0.114025609450297,0.220993595766464
"7am",0.279265801659596,0.270441658560415,0.438215629788034,0.119655660190219,0.243724566632646
"8am",0.269774804216641,0.268129782182261,0.464826533342426,0.152758289083268,0.263076039795082
"9am",0.250711923934303,0.263430377931914,0.43244238281882,0.172790199775831,0.261948364119552
"10am",0.291582978141692,0.264020156139312,0.436888954180437,0.195892213859283,0.249216277879774
"11am",0.303471730136752,0.278664815100382,0.427181651598654,0.196031876398332,0.259286924680468
"12am",0.316862090013744,0.285583674049863,0.44702636303415,0.207257928361812,0.249487314288925
"1pm",0.300290064030779,0.295413664390234,0.448664145447245,0.192209560101139,0.25864014496157
"2pm",0.326741703746824,0.311005880565102,0.440077920521257,0.182135618062109,0.263942107646232
"3pm",0.321254284203483,0.31693073243458,0.415850421909143,0.187957677667633,0.2336588766273
"4pm",0.330232837734051,0.305558256322874,0.386098843699542,0.194688936538569,0.24647697507137
"5pm",0.327605082835195,0.306503983598298,0.377750749243806,0.224147526387554,0.238787820858217
"6pm",0.341964699929371,0.308124572213462,0.375500405051392,0.233402204233004,0.239002660028926
"7pm",0.338790597397818,0.302716795664314,0.386388590239768,0.227510571444149,0.234999044592323
"8pm",0.368382159643569,0.305798000341255,0.385492577510923,0.225403565954489,0.227602889148192
"9pm",0.352915112920682,0.29816784296773,0.387708403859829,0.223854683776367,0.219534222297218
"10pm",0.359529186055861,0.292784493578351,0.380404810184585,0.222555938122404,0.213426765765702
"11pm",0.363511332542398,0.299994662883314,0.379407151746898,0.226931113201025,0.21822567816067
"12pm",0.358804948533966,0.301827784159129,0.377852896154203,0.223740884580332,0.219184229866005
"1am",0.361365284775613,0.302391350377446,0.378601009761971,0.224308649195524,0.218972326308476
"2am",0.361310460234043,0.302358143911761,0.378635002808016,0.221707094004576,0.219140635069599
"3am",0.35985691240851,0.30231808587543,0.377724300684375,0.221158721770384,0.219075314512028
