"hour","rev5","rev1","rev2","rev3","rev4"
"4am",0.0853,0.2184,0.1032,0.085,0.1897
"5am",0.0821,0.2107,0.1029,0.0807,0.1893
"6am",0.0773,0.2,0.1009,0.0743,0.1872
"7am",0.0731,0.1918,0.0987,0.0676,0.1809
"8am",0.0693,0.1927,0.0952,0.0681,0.1807
"9am",0.0681,0.192,0.0946,0.068,0.1805
"10am",0.0648,0.1889,0.0934,0.0667,0.1797
"11am",0.0637,0.1873,0.0939,0.0665,0.1791
"12am",0.0624,0.1881,0.0952,0.068,0.1783
"1pm",0.0626,0.1868,0.0954,0.0663,0.1796
"2pm",0.0657,0.1867,0.0956,0.0671,0.1815
"3pm",0.0676,0.1911,0.0978,0.071,0.1867
"4pm",0.0705,0.199,0.1002,0.0756,0.1934
"5pm",0.0781,0.199,0.0988,0.0773,0.1861
"6pm",0.0792,0.2037,0.099,0.0804,0.1846
"7pm",0.0803,0.2084,0.0999,0.0812,0.1835
"8pm",0.0823,0.2102,0.0994,0.0811,0.1835
"9pm",0.0849,0.2143,0.1017,0.0826,0.1852
"10pm",0.0853,0.2164,0.1019,0.0828,0.1865
"11pm",0.0855,0.218,0.1032,0.0837,0.1877
"12pm",0.0858,0.2186,0.1031,0.084,0.1879
"1am",0.0859,0.2189,0.1032,0.0838,0.1877
"2am",0.086,0.2191,0.1031,0.0839,0.1877
"3am",0.0857,0.219,0.1031,0.084,0.1877
