"hour";"001";"002";"003";"004";"005";"006";"007";"008";"009";"010";"011";"012";"013";"014";"015"
"min";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"max";"61.2709738649664";"61.2709738649664";"61.2709738649664";"61.2709738649664";"61.2709738649664";"61.2709738649664";"61.2709738649664";"61.2709738649664";"61.2709738649664";"61.2709738649664";"61.2709738649664";"61.2709738649664";"61.2709738649664";"61.2709738649664";"61.2709738649664"
"4am";"30.04839";"33.75192";"35.20316";"35.77078";"31.33567";"29.74818";"31.70611";"36.25145";"23.13057";"26.37130";"27.16505";"29.44407";"33.46843";"25.79606";"29.33402"
"5am";"29.85856";"33.75192";"35.32798";"35.18690";"31.44431";"29.13329";"33.85234";"36.11922";"23.51887";"27.12651";"27.37138";"29.65137";"32.44189";"25.79606";"29.54184"
"6am";"30.24421";"33.69726";"35.10146";"34.19333";"31.74665";"29.80808";"35.61683";"36.80141";"24.95278";"27.70646";"27.19948";"31.60579";"32.64452";"25.62973";"29.54184"
"7am";"22.68505";"30.68974";"32.86900";"32.14848";"40.40154";"29.76766";"37.18637";"38.80646";"34.94879";"37.61469";"30.84334";"38.66860";"38.14300";"34.11871";"33.45557"
"8am";"19.61808";"24.22376";"30.94338";"37.62707";"40.01898";"38.05713";"41.56175";"38.11961";"37.20037";"41.66546";"34.80288";"46.40869";"43.98536";"43.82272";"44.32836"
"9am";"20.75924";"23.76053";"29.57008";"37.36387";"37.74093";"35.67999";"43.47115";"37.62590";"35.28931";"39.82186";"37.49387";"45.85525";"44.84112";"44.53886";"45.51102"
"10am";"23.07535";"22.75136";"28.65099";"33.62206";"39.59844";"39.40116";"37.99469";"36.02874";"37.48780";"40.07240";"39.02317";"48.04325";"46.42899";"32.49550";"48.29061"
"11am";"20.17604";"25.10992";"30.51781";"33.45625";"42.55491";"36.30660";"40.36970";"36.38055";"35.32417";"39.00137";"36.49643";"45.95319";"42.02567";"41.14352";"46.33563"
"12am";"19.28547";"29.35409";"34.82215";"34.18612";"41.89647";"33.35340";"43.60090";"32.75164";"31.36993";"35.99518";"35.05154";"39.34009";"42.61640";"34.80608";"39.61397"
"1pm";"19.35041";"24.76964";"31.16636";"34.92586";"50.18060";"35.62808";"42.95695";"33.29812";"32.11270";"40.22339";"32.58636";"44.90533";"46.92143";"39.49887";"43.98045"
"2pm";"21.34696";"24.48271";"30.44565";"36.77276";"51.19697";"36.16907";"36.70171";"36.10398";"30.35293";"43.24114";"36.10799";"41.28414";"45.48672";"32.23637";"43.01389"
"3pm";"23.45000";"24.25745";"28.95134";"37.28412";"51.93998";"38.25724";"32.96559";"36.71446";"28.01806";"40.31360";"38.54853";"39.16529";"41.14812";"35.22405";"42.78611"
"4pm";"22.72123";"21.41095";"28.79907";"37.22471";"45.04715";"39.10341";"37.62634";"37.85944";"28.47592";"35.47926";"35.14140";"36.46691";"45.04273";"31.25328";"39.32552"
"5pm";"25.44502";"26.80995";"32.49058";"36.54059";"35.18951";"37.90695";"36.04583";"36.37536";"31.60069";"29.85527";"31.01272";"34.28066";"42.93491";"25.13134";"33.84488"
"6pm";"29.23927";"30.68406";"35.36176";"29.99337";"37.89619";"32.58047";"33.14547";"33.79024";"28.65512";"24.45389";"33.62046";"33.48852";"35.67396";"22.89889";"31.86838"
"7pm";"29.40248";"32.00898";"34.96038";"38.40056";"33.19412";"30.04978";"32.31413";"35.59930";"25.98696";"23.98855";"33.09545";"31.26647";"34.94256";"22.21831";"31.36949"
"8pm";"32.41936";"33.64843";"33.03596";"37.82976";"31.81547";"30.57648";"32.88882";"36.06408";"24.27309";"23.99683";"34.22954";"28.63567";"34.69572";"21.57527";"30.49219"
"9pm";"31.08392";"31.11072";"34.32159";"37.84065";"32.14716";"29.62494";"36.05358";"37.30673";"23.89588";"23.98432";"32.85842";"28.88242";"34.19168";"22.48195";"30.12070"
"10pm";"30.22282";"31.59268";"34.69023";"37.20815";"31.60085";"29.88337";"34.37939";"37.31368";"23.64449";"23.79827";"32.27479";"28.49405";"34.51332";"24.90948";"29.84248"
"11pm";"30.08857";"32.71073";"34.81653";"36.14433";"32.02409";"30.66358";"33.78105";"36.42052";"23.19537";"23.35072";"32.25042";"28.85955";"34.74596";"25.23428";"29.17781"
"12pm";"30.66602";"32.71073";"35.02933";"36.48052";"32.02409";"30.71078";"33.65451";"36.24895";"23.17495";"23.02142";"31.96567";"28.85955";"34.17084";"25.23428";"28.99986"
"1am";"29.57054";"34.09645";"35.87124";"36.49552";"32.02409";"30.58741";"32.34154";"36.24895";"23.02442";"23.02142";"31.96567";"28.85955";"34.17084";"25.17465";"28.99986"
"2am";"29.48732";"34.09645";"35.87124";"36.49552";"32.02409";"30.58741";"32.22471";"36.56189";"23.02442";"23.02142";"31.96567";"28.85955";"34.17084";"25.17465";"28.99986"
"3am";"29.48732";"34.09645";"34.56809";"36.49552";"32.02409";"30.58741";"32.22471";"36.91100";"23.02442";"24.98164";"31.96567";"28.85955";"34.17084";"25.17465";"28.99986"
