"hour","101","102","103","104","105","106","107","108","109","110","111","112","113","114","115","116","117","118","119","120","121","122","123","124","125","126","127","128","129","130","132","133","134","201","202","203","204","206","207","208","209","210","211","212","213","214","215","216","217","218","219","220","221","222","223","224","225","226","228","229","230","231","232","233"
"min",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"max",21390.4725,21390.4725,21390.4725,21390.4725,21390.4725,21390.4725,21390.4725,21390.4725,21390.4725,21390.4725,21390.4725,21390.4725,21390.4725,21390.4725,21390.4725,21390.4725,21390.4725,21390.4725,21390.4725,21390.4725,21390.4725,21390.4725,21390.4725,21390.4725,21390.4725,21390.4725,21390.4725,21390.4725,21390.4725,21390.4725,21390.4725,21390.4725,21390.4725,21390.4725,21390.4725,21390.4725,21390.4725,21390.4725,21390.4725,21390.4725,21390.4725,21390.4725,21390.4725,21390.4725,21390.4725,21390.4725,21390.4725,21390.4725,21390.4725,21390.4725,21390.4725,21390.4725,21390.4725,21390.4725,21390.4725,21390.4725,21390.4725,21390.4725,21390.4725,21390.4725,21390.4725,21390.4725,21390.4725,21390.4725
"4am",0,0,0,0,0,0,0,0,0,0,536.2796,0,0,0,0,0,0,0,0,0,0,659.0211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5am",0,0,0,0,0,0,0,0,0,0,950.5303,0,0,0,0,0,0,594.1268,0,0,0,1297.3498,732.3645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6am",571.162,0,0,0,0,0,0,0,0,0,1931.4349,0,0,0,0,0,0,640.7237,0,0,0,1818.1214,658.1763,0,0,0,0,0,0,0,974.2892,598.7419,0,0,0,0,0,0,1031.5779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1143.5374,0,0
"7am",2556.3283,2366.9252,607.9318,0,2908.2423,1554.0976,1365.8127,788.398,890.3968,594.267,8113.7361,3876.8834,4248.9782,0,1149.7355,0,1708.7731,2212.9376,0,770.7832,0,3568.3524,1434.7449,533.5879,900.6717,0,0,1726.5368,668.2533,0,1623.4742,1489.266,524.3865,0,0,0,740.0742,1492.6467,1417.3855,0,0,632.561,1496.2077,0,0,0,0,0,0,3390.738,1398.7607,0,572.1606,0,1039.4038,1465.5272,0,2972.8556,1022.6301,0,0,4134.7078,0,0
"8am",5222.8511,5499.2527,1122.2107,1407.9142,5191.729,3201.6178,2548.8541,1472.2895,1047.1807,953.876,16882.4418,7109.4953,6103.4684,590.3638,2274.3415,723.6969,3319.5098,6211.9889,1026.3129,1517.565,982.1382,6538.0551,1666.0446,1097.7937,1846.6344,413.6479,0,2497.6036,1639.8516,0,1947.4803,3453.9046,1188.6315,566.6069,1190.8396,0,1293.1645,2282.3092,2578.9716,1403.182,1143.6276,1350.5888,3909.1425,0,940.8123,869.4683,0,0,1278.0117,6684.2361,2718.4624,1330.6956,949.2501,0,2400.8973,1664.6672,0,4599.1657,1368.7521,0,849.4197,6106.6213,788.6213,0
"9am",6650.0768,6318.9,1575.2922,1820.2787,5667.8272,3734.7451,3130.3133,1753.5065,1531.5608,1059.7678,20254.4331,9340.53,6258.3634,680.1481,2460.6303,823.8142,4092.0551,6808.8902,1270.4439,1888.4653,1407.0157,7933.0513,1823.2252,1046.8511,2057.0751,608.1233,0,2587.46,1907.6485,926.4149,2163.7585,3822.161,1162.9223,1142.1885,1292.6739,0,1397.3716,2329.7947,2809.6245,1604.3548,1414.0958,1638.5541,4279.831,1034.6451,1338.3644,883.3858,0,0,1482.2507,7159.3719,3444.8867,0,1376.3859,0,2545.2991,1784.8641,0,6018.4761,1503.6416,0,0,7246.9101,874.5098,583.4541
"10am",7573.3659,6946.6971,1542.4163,2312.1649,5750.6828,4138.4268,3410.8433,1947.3705,1308.0652,1194.7575,21390.4725,9984.3859,6463.2682,734.6128,2497.1365,942.9607,4256.6087,6885.9292,1909.0298,1809.4249,1242.8991,8799.1542,1796.1987,1208.4628,2013.5113,585.1096,0,2726.6322,1780.9912,943.2408,2132.2896,3846.207,1368.7166,895.5485,1288.8894,849.0853,1523.4895,2804.8807,2945.5697,1600.8221,1686.6921,1919.9409,4595.4126,996.8563,1387.3861,1021.7191,631.5021,0,1432.6238,7346.4468,3914.229,0,1445.8006,0,2519.3689,1786.7498,0,5064.6749,1836.2189,0,0,7614.6959,800.4022,819.6266
