"hour","sex1","sex2"
"4am",-0.184339727638368,-0.184339727638368
"5am",-0.231952335338494,-0.231952335338494
"6am",-0.243971410108962,-0.243971410108962
"7am",-0.184753632906278,-0.184753632906278
"8am",-0.200949377993646,-0.200949377993646
"9am",-0.118446147333354,-0.118446147333354
"10am",-0.104260064755002,-0.104260064755002
"11am",-0.0763606803025888,-0.0763606803025882
"12am",-0.0900200172936581,-0.0900200172936581
"1pm",-0.139271070594919,-0.139271070594919
"2pm",-0.105612041799946,-0.105612041799946
"3pm",-0.0862401539373489,-0.0862401539373492
"4pm",-0.127592470883471,-0.127592470883471
"5pm",-0.0942997177444287,-0.0942997177444291
"6pm",-0.188387907160945,-0.188387907160945
"7pm",-0.200197056190074,-0.200197056190074
"8pm",-0.176670301952513,-0.176670301952513
"9pm",-0.251701495496386,-0.251701495496386
"10pm",-0.203167711199266,-0.203167711199265
"11pm",-0.176130426535966,-0.176130426535965
"12pm",-0.173807377684415,-0.173807377684415
"1am",-0.169257178046535,-0.169257178046535
"2am",-0.170119681267473,-0.170119681267473
"3am",-0.172846448178883,-0.172846448178883
