"hour","cleduc1","cleduc2","cleduc3","cleduc4"
"4am",0.1248,0.1145,0.1489,0.4309
"5am",0.1287,0.1128,0.151,0.4354
"6am",0.1327,0.1094,0.1525,0.4424
"7am",0.1409,0.0969,0.1473,0.4156
"8am",0.1664,0.0975,0.1567,0.4304
"9am",0.1725,0.0937,0.1532,0.426
"10am",0.1745,0.1093,0.171,0.4104
"11am",0.1699,0.1005,0.1641,0.416
"12am",0.1561,0.116,0.175,0.4201
"1pm",0.1604,0.1145,0.1708,0.4463
"2pm",0.156,0.1123,0.1646,0.4176
"3pm",0.1526,0.1023,0.1619,0.3735
"4pm",0.1641,0.104,0.1628,0.4372
"5pm",0.1378,0.121,0.1806,0.4414
"6pm",0.1243,0.1172,0.1633,0.4344
"7pm",0.1294,0.1196,0.1537,0.4348
"8pm",0.133,0.1146,0.1513,0.4279
"9pm",0.1267,0.1117,0.1491,0.4319
"10pm",0.1242,0.115,0.1488,0.4327
"11pm",0.124,0.1148,0.1504,0.4353
"12pm",0.1254,0.1148,0.1512,0.4362
"1am",0.1268,0.1154,0.1522,0.4371
"2am",0.1266,0.1143,0.1512,0.4369
"3am",0.1281,0.1167,0.1516,0.438
