"hour","educmen1","educmen2","educmen3","educmen4"
"4am",0.1357,0.1182,0.1619,0.428
"5am",0.139,0.1225,0.1717,0.4324
"6am",0.1392,0.1192,0.1713,0.4393
"7am",0.1533,0.1129,0.165,0.4186
"8am",0.1778,0.0929,0.1581,0.4363
"9am",0.1807,0.0846,0.1553,0.4324
"10am",0.184,0.0986,0.1681,0.4207
"11am",0.178,0.0952,0.1691,0.4232
"12am",0.1651,0.111,0.1823,0.4273
"1pm",0.1688,0.1126,0.1852,0.4518
"2pm",0.1645,0.107,0.1746,0.427
"3pm",0.1613,0.0971,0.1615,0.382
"4pm",0.178,0.1068,0.1715,0.4428
"5pm",0.1498,0.116,0.1881,0.4438
"6pm",0.1416,0.12,0.1719,0.434
"7pm",0.1369,0.1215,0.1682,0.4323
"8pm",0.1394,0.1222,0.1659,0.4269
"9pm",0.1342,0.1193,0.1598,0.43
"10pm",0.1319,0.1209,0.1632,0.4309
"11pm",0.1341,0.1215,0.1655,0.4331
"12pm",0.1353,0.1199,0.1656,0.4339
"1am",0.1366,0.1217,0.1673,0.4348
"2am",0.1364,0.1199,0.1655,0.4346
"3am",0.1378,0.1225,0.1659,0.4356
