"hour","occ1","occ2","occ3","occ4","occ5"
"4am",0.0983,0.2026,0.2282,0.1262,0.2271
"5am",0.1038,0.2049,0.229,0.1279,0.2282
"6am",0.1134,0.2148,0.2301,0.1314,0.2266
"7am",0.1292,0.4041,0.2302,0.1701,0.234
"8am",0.1423,0.441,0.251,0.1906,0.2431
"9am",0.1403,0.461,0.2466,0.1908,0.2286
"10am",0.1534,0.4685,0.2276,0.1964,0.2257
"11am",0.1494,0.4408,0.2375,0.1923,0.2302
"12am",0.132,0.4146,0.2317,0.1912,0.2312
"1pm",0.1257,0.4086,0.246,0.1931,0.2314
"2pm",0.1168,0.42,0.2446,0.183,0.227
"3pm",0.119,0.37,0.2683,0.1877,0.229
"4pm",0.1261,0.2673,0.2405,0.1699,0.2241
"5pm",0.1211,0.2228,0.1994,0.1486,0.2263
"6pm",0.0984,0.2066,0.2273,0.1328,0.2255
"7pm",0.1054,0.2097,0.2273,0.1318,0.2258
"8pm",0.1074,0.2131,0.2321,0.1313,0.2322
"9pm",0.1077,0.2182,0.212,0.1267,0.2309
"10pm",0.1029,0.2227,0.2141,0.1263,0.2315
"11pm",0.1035,0.2172,0.2148,0.127,0.2299
"12pm",0.1047,0.2173,0.2153,0.1271,0.2272
"1am",0.1053,0.2211,0.2152,0.1274,0.2268
"2am",0.1045,0.2163,0.2154,0.1268,0.2267
"3am",0.1065,0.2175,0.2166,0.1281,0.227
