"hour","sex1","sex2"
"4am",0.0696,0.0696
"5am",0.0716,0.0716
"6am",0.0696,0.0696
"7am",0.0759,0.0759
"8am",0.0914,0.0914
"9am",0.0926,0.0926
"10am",0.0928,0.0928
"11am",0.0816,0.0816
"12am",0.069,0.069
"1pm",0.0842,0.0842
"2pm",0.0773,0.0773
"3pm",0.0844,0.0844
"4pm",0.0739,0.0739
"5pm",0.0797,0.0797
"6pm",0.0784,0.0784
"7pm",0.0799,0.0799
"8pm",0.0698,0.0698
"9pm",0.0665,0.0665
"10pm",0.0705,0.0705
"11pm",0.0703,0.0703
"12pm",0.069,0.069
"1am",0.0697,0.0697
"2am",0.0696,0.0696
"3am",0.0717,0.0717
