"hour","age1","age2","age3","age4"
"4am",0.1212,0.1813,0.0919,0.1192
"5am",0.125,0.1995,0.0933,0.1211
"6am",0.1344,0.2012,0.0932,0.1218
"7am",0.2943,0.2109,0.0917,0.1532
"8am",0.3253,0.2432,0.1011,0.1696
"9am",0.3444,0.2542,0.1061,0.1721
"10am",0.3408,0.2199,0.1181,0.1711
"11am",0.3282,0.2266,0.1021,0.1658
"12am",0.3097,0.2178,0.1118,0.1651
"1pm",0.3095,0.2101,0.0997,0.1677
"2pm",0.3031,0.2171,0.0845,0.1561
"3pm",0.259,0.2501,0.088,0.1527
"4pm",0.1932,0.232,0.0858,0.1457
"5pm",0.1246,0.2247,0.0968,0.1262
"6pm",0.1442,0.1815,0.087,0.1247
"7pm",0.1472,0.188,0.0859,0.1253
"8pm",0.1414,0.171,0.0936,0.1235
"9pm",0.1465,0.1756,0.0972,0.1207
"10pm",0.1447,0.18,0.0962,0.1201
"11pm",0.14,0.1813,0.0998,0.1204
"12pm",0.1352,0.1809,0.1002,0.1201
"1am",0.1356,0.1804,0.1006,0.1203
"2am",0.1319,0.1802,0.0989,0.1198
"3am",0.1309,0.1804,0.0976,0.1209
