"hour","occ1","occ2","occ3","occ4","occ5"
"4am",0.126967268926615,0.593779008358772,-0.167968547779205,0.362080129982682,0.152914656730157
"5am",0.190378452126861,0.571761936546104,-0.150666979388356,0.399974074174347,0.160497770266148
"6am",0.159682575431575,0.624546888215659,-0.144644341500561,0.381589948915377,0.11577961042765
"7am",0.248215329518065,0.41994307891103,-0.0676063092476616,0.455430211409558,0.174457687702398
"8am",0.296341914182561,0.291931594255946,-0.0193075424280451,0.433718700309235,0.231649225956734
"9am",0.323168756595394,0.278184214728307,-0.125814283069633,0.484813342864224,0.161122878908109
"10am",0.270108460479928,0.266107565203329,0.00780367836277291,0.463501539305265,0.198518373608508
"11am",0.286539351856674,0.293918360716394,-0.00388436261859093,0.449770914095143,0.240203354592373
"12am",0.365671276751419,0.305399282337625,-0.0312243521103746,0.484562795641293,0.215457851380126
"1pm",0.342679522533936,0.322232662511491,-0.059625934091953,0.454634116356146,0.190162654903989
"2pm",0.202581613252488,0.381893646894261,-0.0887036690013788,0.369776740367355,0.179519552541962
"3pm",0.186683508925538,0.436968503070083,-0.136829591040166,0.410423251737788,0.175673306042742
"4pm",0.133677992329736,0.528690437357239,-0.125965474011972,0.323195339018677,0.210780150802322
"5pm",0.166876591055274,0.412452547768864,-0.0625879083773954,0.346824257966596,0.189320883852209
"6pm",0.248641800254584,0.406250965230684,-0.173656509677362,0.401490023601417,0.160926915550694
"7pm",0.210932047802062,0.499929885929411,-0.113488883305752,0.443726875181748,0.143118249637923
"8pm",0.0919877841332469,0.530425816721348,-0.128147054414949,0.385444947233878,0.104487409510664
"9pm",0.170633925832107,0.397352349538086,-0.157802963332823,0.467664197630423,0.123418552211837
"10pm",0.155351154373995,0.538414877488696,-0.169994461140325,0.410536098028816,0.161831856767987
"11pm",0.131417118103812,0.552940538775644,-0.176756062331421,0.388234963367271,0.158971653872226
"12pm",0.132167792523939,0.528650903696959,-0.179908783858947,0.391058701619078,0.166868650249139
"1am",0.127972888680613,0.52168934178174,-0.18403838170828,0.397163725780496,0.167906255675775
"2am",0.133167193074912,0.527672037551541,-0.184022754573726,0.393622228026035,0.167904237930712
"3am",0.110880520475798,0.527031898834648,-0.188502118747242,0.375564956555783,0.16694003528536
