"hour","act1","act2","act3","act4","act5"
"4am",0.3886,0.4629,0.8791,0.6387,0
"5am",0.4184,0.4499,0.8794,0.5806,0
"6am",0.2782,0.315,0.8485,0.9589,0.4645
"7am",0.2834,0.2049,0.6566,0.7819,0.3523
"8am",0.2592,0.1879,0.5416,0.45,0.3152
"9am",0.2645,0.1909,0.5446,0.3267,0.2079
"10am",0.2754,0.1889,0.5358,0.2897,0.1793
"11am",0.2732,0.1771,0.5265,0.3602,0.1995
"12am",0.284,0.2087,0.5302,0.5101,0.2305
"1pm",0.27,0.1964,0.5157,0.4932,0.2603
"2pm",0.2651,0.188,0.4947,0.3872,0.1584
"3pm",0.2653,0.2048,0.4631,0.4074,0.1713
"4pm",0.2553,0.2201,0.4382,0.4071,0.1899
"5pm",0.248,0.2313,0.5892,0.4544,0.2346
"6pm",0.2327,0.2966,0.6935,0.454,0.221
"7pm",0.2317,0.3526,0.9251,0.71,0.224
"8pm",0.2705,0.4436,0.9241,0.7398,0.3261
"9pm",0.3066,0.5239,0.9493,0.7173,0.342
"10pm",0.3479,0.6124,0.9494,0.7427,0.4147
"11pm",0.3996,0.6894,0.9502,0.7453,0.4646
"12pm",0.48,0.6697,0.9496,0.7447,0.5352
"1am",0.4747,0.6693,0.9496,0.7453,0.5551
"2am",0.479,0.6653,0.9497,0.7454,0.6216
"3am",0.4845,0.6257,0.9496,0.7451,0.6205
