"hour","cspmen1","cspmen2","cspmen3","cspmen4","cspmen5"
"4am",0.2326,0.1853,0.0911,0.1179,0.1888
"5am",0.2355,0.1761,0.0894,0.1117,0.1977
"6am",0.2199,0.1805,0.0953,0.1186,0.1888
"7am",0.2071,0.1863,0.0811,0.1294,0.2119
"8am",0.2205,0.1812,0.0959,0.1154,0.1785
"9am",0.2025,0.1774,0.0927,0.1051,0.1898
"10am",0.2332,0.1749,0.1001,0.109,0.201
"11am",0.2347,0.1843,0.1062,0.1153,0.2137
"12am",0.239,0.1872,0.1011,0.1113,0.2102
"1pm",0.2283,0.2114,0.1092,0.118,0.2075
"2pm",0.204,0.207,0.107,0.118,0.203
"3pm",0.2153,0.2041,0.1066,0.1123,0.2189
"4pm",0.2074,0.1922,0.1063,0.1154,0.2173
"5pm",0.2362,0.1977,0.0987,0.1197,0.196
"6pm",0.2481,0.1873,0.1027,0.1201,0.1849
"7pm",0.2442,0.1814,0.0952,0.111,0.194
"8pm",0.2517,0.1831,0.098,0.1274,0.1945
"9pm",0.2326,0.1887,0.0925,0.1245,0.2006
"10pm",0.227,0.1937,0.0908,0.1211,0.1935
"11pm",0.2321,0.1923,0.0911,0.1228,0.19
"12pm",0.234,0.1913,0.0901,0.1227,0.1877
"1am",0.2334,0.1926,0.0901,0.125,0.1884
"2am",0.2335,0.1929,0.0891,0.1249,0.1882
"3am",0.235,0.1929,0.0909,0.125,0.1872
