"hour","resarea1","resarea2","resarea3"
"4am",0.9852,0.9884,0.9839
"5am",0.981,0.9763,0.9674
"6am",0.9688,0.9632,0.9628
"7am",0.8632,0.8582,0.8966
"8am",0.7757,0.7737,0.8109
"9am",0.7279,0.731,0.7794
"10am",0.7141,0.7101,0.7672
"11am",0.7355,0.7355,0.778
"12am",0.7741,0.7677,0.7979
"1pm",0.7516,0.7616,0.7715
"2pm",0.7139,0.7217,0.7613
"3pm",0.7161,0.7292,0.775
"4pm",0.7643,0.7754,0.8162
"5pm",0.8469,0.8588,0.9065
"6pm",0.9125,0.9172,0.9371
"7pm",0.9493,0.9521,0.9644
"8pm",0.9669,0.9685,0.9709
"9pm",0.978,0.9773,0.9804
"10pm",0.9884,0.9842,0.9871
"11pm",0.9912,0.9894,0.9904
"12pm",0.9918,0.9905,0.9891
"1am",0.9914,0.9906,0.9907
"2am",0.9916,0.9907,0.9907
"3am",0.992,0.991,0.9907
