"hour","cs1","cs2","cs3","cs4","cs5"
"4am",0.2345,0.1674,0.0757,0.1335,0.1887
"5am",0.238,0.1662,0.0765,0.1291,0.1816
"6am",0.2325,0.169,0.0821,0.1273,0.1733
"7am",0.225,0.1709,0.0776,0.1535,0.2013
"8am",0.2009,0.1721,0.0963,0.1391,0.181
"9am",0.1814,0.1713,0.0998,0.1334,0.1882
"10am",0.2211,0.1675,0.0951,0.1397,0.1994
"11am",0.2229,0.1702,0.1113,0.1422,0.2083
"12am",0.2196,0.1702,0.1098,0.1362,0.202
"1pm",0.2344,0.1898,0.1164,0.1418,0.2014
"2pm",0.2191,0.1951,0.1167,0.1385,0.2038
"3pm",0.2177,0.1882,0.1119,0.1373,0.227
"4pm",0.211,0.1699,0.1173,0.1459,0.2234
"5pm",0.2298,0.18,0.0977,0.1466,0.2139
"6pm",0.2373,0.1656,0.0908,0.1376,0.2003
"7pm",0.2493,0.1561,0.0885,0.1245,0.1951
"8pm",0.2553,0.1603,0.0913,0.1388,0.2006
"9pm",0.2372,0.1634,0.0846,0.1417,0.2009
"10pm",0.2339,0.1687,0.0818,0.1369,0.1953
"11pm",0.2335,0.1669,0.0808,0.1381,0.1903
"12pm",0.2359,0.168,0.078,0.1383,0.1882
"1am",0.2354,0.1689,0.0784,0.1387,0.1895
"2am",0.2355,0.1692,0.0784,0.1391,0.1892
"3am",0.2357,0.1692,0.0792,0.1392,0.1881
