"hour","mode1","mode2","mode3"
"4am",0.3115,0.1996,0.2009
"5am",0.3119,0.2037,0.2047
"6am",0.355,0.2168,0.2091
"7am",0.5593,0.2086,0.1734
"8am",0.538,0.1916,0.1628
"9am",0.5284,0.1923,0.1642
"10am",0.5328,0.2007,0.1689
"11am",0.5244,0.1892,0.1614
"12am",0.4954,0.1954,0.1651
"1pm",0.4701,0.187,0.159
"2pm",0.4629,0.1872,0.1534
"3pm",0.4455,0.204,0.1919
"4pm",0.4401,0.1762,0.173
"5pm",0.3958,0.1893,0.1806
"6pm",0.3297,0.1901,0.1821
"7pm",0.3143,0.1888,0.1912
"8pm",0.3,0.1809,0.1789
"9pm",0.2976,0.1923,0.193
"10pm",0.3055,0.1954,0.1964
"11pm",0.3057,0.1985,0.1986
"12pm",0.3059,0.2004,0.2003
"1am",0.3058,0.1996,0.2004
"2am",0.2972,0.1984,0.2002
"3am",0.2961,0.1963,0.1976
