"district","hour","occ1","occ2","occ3","occ4","occ5"
"020","5am",7177.585,1344.6137,1056.8207,2466.3123,1049.5859
"021","5am",6442.772,1216.181,843.5104,2228.7906,1333.1899
"022","5am",1927.55,506.1293,850.7046,1287.6163,581.356
"023","5am",3349.021,406.4252,250.9034,3358.2463,548.6628
"024","5am",6069.124,1763.9462,444.5858,3355.5445,646.0498
"025","5am",7783.647,3190.8717,718.8377,2648.2712,367.9241
"026","5am",3389.261,1080.1292,680.6679,1692.3637,639.1013
"027","5am",6137.807,940.063,2056.1043,3290.4524,1369.2961
"028","5am",4915.952,1382.3585,943.5892,2963.4906,1011.8675
"029","5am",1607.224,468.4816,758.2302,1098.7586,407.9718
"030","5am",6108.365,2907.9726,1006.8816,1087.0104,516.7613
"031","5am",8185.665,2548.5054,691.4614,1770.8005,278.9146
"032","5am",3476.69,932.6461,295.5833,1558.8215,395.6863
"033","5am",4417.672,2435.9191,745.732,1993.4126,280.5764
"034","5am",6383.417,1010.5372,448.4723,1882.1615,458.8831
"035","5am",5133.58,2120.8898,776.2494,2080.3053,76.7392
"036","5am",5363.197,2871.3624,735.412,2316.0958,135.2478
"037","5am",4733.498,5079.4607,245.5657,998.7433,0
"038","5am",3415.823,487.5348,48.0473,2073.8765,122.2567
"039","5am",2176.711,341.6919,381.0105,349.1909,278.6664
"041","5am",9837.919,1324.336,1221.8372,5165.5291,451.076
"042","5am",6282.69,491.6495,260.2928,3449.892,633.3404
"043","5am",5091.198,494.5734,138.2505,3410.4225,137.0536
"044","5am",11583.297,1108.4659,1419.4071,4492.318,251.0478
"045","5am",2662.961,371.3035,176.0799,989.4038,139.7859
"046","5am",4189.144,259.6867,197.4855,2142.7074,0
"047","5am",6415.603,569.6095,298.706,3089.8344,352.6804
"048","5am",3654.219,484.1404,173.4796,2440.5896,359.6106
"049","5am",3305.619,708.9571,164.042,2673.8637,241.2732
"050","5am",15026.913,1258.8199,1845.5771,5504.63,1724.4787
"051","5am",10715.244,629.1609,1415.5956,3441.6659,550.183
"052","5am",17402.53,2183.362,1797.2491,11173.4394,1437.4655
"053","5am",13021.069,2406.271,244.0707,6948.9066,1281.4188
"054","5am",8582.859,1585.1631,835.8768,4985.8335,891.1978
"055","5am",12384.46,1804.9303,987.9546,9507.8056,1570.6455
"056","5am",4693.418,855.444,274.8742,3239.766,286.2224
"057","5am",7248.731,1335.3983,1027.8774,4683.3293,1065.8267
"058","5am",10051.692,1447.7746,424.3719,4972.8624,808.6054
"059","5am",4142.83,487.2988,457.2827,2603.4201,395.297
"060","5am",7654.8,961.8832,539.1565,5135.4108,384.7137
"061","5am",10587.682,1234.1687,1117.401,5678.4402,709.1771
"062","5am",7891.846,897.0331,1157.7659,4951.9296,873.8067
"063","5am",4483.512,717.0277,627.3786,2220.952,309.2344
"064","5am",4312.383,638.224,501.5226,2054.7118,279.6259
"065","5am",3730.413,489.3649,428.3449,2692.618,146.2835
"066","5am",6014.495,688.6693,788.667,5428.4542,711.2103
"067","5am",11135.5,676.365,286.084,4514.7067,592.7036
"068","5am",4956.918,207.4349,203.557,3214.5871,827.6479
"001","6am",9500.879,1292.8691,685.5251,4796.5302,840.2409
"002","6am",3794.025,643.7439,50.0224,1837.7279,197.2317
"003","6am",6935.782,1106.7804,225.5996,2719.7608,162.3088
"004","6am",7293.292,1115.9606,558.2,3665.6315,300.2468
"005","6am",9239.822,685.8453,251.9761,5270.6972,541.6608
"006","6am",6121.97,1074.3839,374.4732,4553.3968,355.8984
"007","6am",4973.38,635.4111,192.4594,4083.4362,496.2256
"008","6am",5451.191,856.0078,725.309,1986.8502,437.5274
"009","6am",6585.753,915.6967,453.7687,3302.9987,195.9538
"010","6am",8492.635,1433.897,470.059,4083.9343,292.2456
"011","6am",5482.672,1724.9254,875.6494,3157.7074,726.619
"012","6am",3433.58,206.4523,418.0365,2770.8843,135.9863
"013","6am",6410.407,765.4479,503.697,4397.8014,357.7935
"014","6am",4900.143,694.9308,366.0707,2431.9215,0
"015","6am",3205.982,685.6091,711.515,1960.2274,606.5955
"016","6am",5674.833,1182.0761,975.8344,2013.4245,1082.6242
"017","6am",3930.811,1251.2391,1113.1356,1646.8036,1434.5545
"018","6am",6671.678,1122.7725,1162.3449,2968.3578,957.3513
"019","6am",3553.134,604.7207,820.9876,1671.5953,760.8463
"020","6am",7176.692,1344.6137,1056.8207,2466.3123,949.1975
"021","6am",5652.272,1143.9441,843.5104,2228.7906,1416.45
"022","6am",1741.222,506.1293,850.7046,1287.6163,581.356
"023","6am",3372.376,406.4252,250.9034,3282.8595,476.4259
"024","6am",5915.298,1763.9462,444.5858,3355.5445,646.0498
"025","6am",8463.28,3023.396,718.8377,2648.2712,367.9241
"026","6am",3144.086,1045.8647,680.6679,1692.3637,639.1013
"027","6am",5656.22,1031.308,2056.1043,3290.4524,1369.2961
"028","6am",5354.883,1309.0643,943.5892,2963.4906,1011.8675
"029","6am",1626.068,436.913,758.2302,1098.7586,407.9718
"030","6am",5950.174,3001.4861,1100.1446,1143.666,516.7613
"031","6am",8356.505,2630.5417,691.4614,1770.8005,278.9146
"032","6am",3613.581,885.5588,295.5833,1558.8215,395.6863
"033","6am",4451.855,2435.9191,745.732,1993.4126,280.5764
"034","6am",5965.994,1002.1433,448.4723,1882.1615,458.8831
"035","6am",5401.623,2120.8898,776.2494,2000.656,76.7392
"036","6am",6583.156,2852.4033,735.412,2395.7451,135.2478
"037","6am",5033.781,4996.2389,245.5657,998.7433,0
"038","6am",3192.155,435.7648,48.0473,2073.8765,122.2567
"039","6am",2025.932,341.6919,381.0105,349.1909,278.6664
"041","6am",9573.015,1324.336,1221.8372,5165.5291,451.076
"042","6am",5722.307,491.6495,260.2928,3449.892,633.3404
"043","6am",4416.869,411.7656,138.2505,3410.4225,137.0536
"044","6am",11185.551,1159.3339,1419.4071,4492.318,251.0478
"045","6am",2221.211,454.5253,176.0799,989.4038,139.7859
"046","6am",3933.156,259.6867,197.4855,2142.7074,0
"047","6am",5771.166,569.6095,298.706,3089.8344,352.6804
"048","6am",3684.213,484.1404,173.4796,2440.5896,359.6106
"049","6am",3098.432,603.7102,164.042,2673.8637,241.2732
"050","6am",14461.996,1258.8199,1845.5771,5504.63,1724.4787
"051","6am",10419.779,495.6047,1415.5956,3441.6659,550.183
"052","6am",16126.006,2183.362,1797.2491,10979.1333,1437.4655
"053","6am",12058.406,1849.6185,244.0707,6948.9066,1281.4188
"054","6am",7286.727,1231.542,733.6521,4985.8335,891.1978
"055","6am",11069.553,1634.1208,820.4305,9507.8056,1570.6455
"056","6am",4342.707,855.444,274.8742,3239.766,286.2224
"057","6am",6495.425,1106.2599,1027.8774,4683.3293,1065.8267
"058","6am",8834.113,1447.7746,424.3719,4972.8624,808.6054
"059","6am",3623.313,371.3983,457.2827,2603.4201,395.297
"060","6am",6950.959,807.4404,658.5941,5135.4108,384.7137
"061","6am",9435.277,938.066,1117.401,5678.4402,709.1771
"062","6am",8134.583,742.4026,1157.7659,4951.9296,873.8067
"063","6am",3827.061,717.0277,627.3786,2220.952,289.6283
"064","6am",4115.031,590.6467,501.5226,2054.7118,279.6259
"065","6am",3069.737,544.9693,428.3449,2692.618,146.2835
"066","6am",5763.236,501.5519,788.667,5428.4542,711.2103
"067","6am",10093.875,355.9577,286.084,4514.7067,592.7036
"068","6am",4085.643,207.4349,203.557,3214.5871,827.6479
"001","7am",8533.512,1334.995,667.8858,4796.5302,817.3954
"002","7am",3364.85,204.5321,50.0224,1870.4903,152.3916
"003","7am",4999.138,511.3188,225.5996,2634.541,162.3088
"004","7am",6345.17,771.0666,542.5414,3876.4797,300.2468
"005","7am",7506.094,524.1384,286.1476,5055.674,541.6608
"006","7am",5697.014,769.2228,374.4732,4553.3968,355.8984
"007","7am",5035.028,286.5876,192.4594,4023.1464,496.2256
"008","7am",4908.608,154.6186,725.309,1986.8502,437.5274
"009","7am",5325.391,310.7977,453.7687,3225.9303,195.9538
"010","7am",8298.671,1142.1998,470.059,4083.9343,292.2456
"011","7am",4789.387,2462.51,969.0751,3099.2038,640.928
"012","7am",3761.282,268.0547,418.0365,2724.7348,97.9352
"013","7am",4502.766,77.0031,503.697,4397.8014,357.7935
"014","7am",4301.143,665.9542,288.3036,2291.4983,0
"015","7am",2823.65,434.5058,656.2327,2125.1703,606.5955
"016","7am",4485.952,591.3815,975.8344,2013.4245,1082.6242
"017","7am",4777.981,767.6815,1113.1356,1587.2577,1434.5545
"018","7am",6588.038,778.694,1230.0896,2968.3578,841.0964
"019","7am",6197.559,668.7421,820.9876,1623.7922,645.3165
"020","7am",5629.354,995.4433,1056.8207,2555.9716,1049.5859
"021","7am",4765.925,710.2593,754.1452,2094.357,1327.1786
"022","7am",1885.423,527.6,809.4948,1328.8261,502.5286
"023","7am",2878.487,389.3907,250.9034,3118.6725,476.4259
"024","7am",5688.644,1387.2516,444.5858,3424.8477,679.1429
