"district","hour","resarea1","resarea2","resarea3"
"001","4am",18616.6331,51.7857,0
"002","4am",6528.0057,0,0
"003","4am",12328.9889,0,0
"004","4am",13349.4371,249.0856,82.0363
"005","4am",16800.5046,422.2512,80.6841
"006","4am",247.945,12929.1668,140.2068
"007","4am",10061.4244,130.0497,227.7291
"008","4am",102.2275,9668.1146,0
"009","4am",0,11977.4275,0
"010","4am",157.6989,14694.46,80.021
"011","4am",0,12742.8202,193.3322
"012","4am",0,6864.0245,0
"013","4am",0,13213.6709,0
"014","4am",0,8227.058,0
"015","4am",0,0,7743.4784
"016","4am",0,0,11461.9804
"017","4am",234.4848,0,9536.061
"018","4am",164.0074,194.587,13544.2451
"019","4am",92.9865,7424.2948,82.8632
"020","4am",0,13182.9521,0
"021","4am",54.3789,12278.0317,155.5822
"022","4am",0,65.8468,5120.6026
"023","4am",0,8131.8463,0
"024","4am",0,65.8468,12520.5518
"025","4am",130.7219,146.5422,13086.8082
"026","4am",128.2149,0,7694.9535
"027","4am",235.9426,0,13756.3188
"028","4am",0,71.12,11169.9944
"029","4am",0,171.5724,4343.5483
"030","4am",0,350.0109,11307.3514
"031","4am",0,0,13501.7078
"032","4am",0,0,6679.148
"033","4am",0,0,9970.6329
"034","4am",0,0,10969.163
"035","4am",84.6369,51.77,10120.705
"036","4am",52.4153,0,10876.108
"037","4am",139.2902,132.6908,10865.5509
"038","4am",102.2247,6000.0085,0
"039","4am",0,0,3716.5325
"041","4am",18465.5139,0,0
"042","4am",11543.6609,0,0
"043","4am",9192.7929,0,80.0478
"044","4am",18815.563,0,0
"045","4am",4317.6637,0,0
"046","4am",6948.5528,0,0
"047","4am",11373.9667,0,0
"048","4am",7330.9077,43.1334,0
"049","4am",7063.3795,0,80.021
"050","4am",1114.1942,24582.1479,26.7609
"051","4am",512.7295,16308.3772,286.6406
"052","4am",34240.8933,0,0
"053","4am",25414.1205,0,0
"054","4am",17583.943,0,0
"055","4am",27574.96,0,98.1706
"056","4am",571.0276,9060.5641,0
"057","4am",15466.4474,76.0399,0
"058","4am",18167.4683,62.1431,65.7113
"059","4am",8445.0097,0,0
"060","4am",15500.3928,0,0
"061","4am",20038.1351,0,0
"062","4am",475.7384,15153.6323,0
"063","4am",9018.3495,0,0
"064","4am",8160.045,0,0
"065","4am",7688.5634,0,0
"066","4am",14686.7292,0,0
"067","4am",18438.5376,0,0
"068","4am",9466.7595,85.4119,0
"001","5am",18351.1018,145.0487,98.3556
"002","5am",6484.8138,167.1087,0
"003","5am",12228.5845,0,0
"004","5am",12905.893,397.8874,0
"005","5am",15994.8933,555.8074,140.453
"006","5am",254.0045,12485.6872,232.679
"007","5am",10012.7099,287.512,227.7291
"008","5am",102.2275,9668.1146,0
"009","5am",111.6144,11927.2537,0
"010","5am",545.0215,14627.3845,80.021
"011","5am",0,12241.0596,219.8906
"012","5am",0,6695.6233,71.7888
"013","5am",85.2198,12801.6952,0
"014","5am",0,8134.6011,70.461
"015","5am",0,0,7492.6342
"016","5am",0,0,11028.8052
"017","5am",234.4848,123.5019,9353.1885
"018","5am",308.3342,194.587,13440.6071
"019","5am",92.9865,7112.7221,82.8632
"020","5am",0,12933.2611,161.6563
"021","5am",54.3789,11935.7818,155.5822
"022","5am",0,65.8468,5087.5095
"023","5am",0,7913.2584,0
"024","5am",0,182.5481,12096.7021
"025","5am",514.5132,766.6578,13595.5393
"026","5am",128.2149,0,7640.7643
"027","5am",235.9426,72,13707.4766
"028","5am",147.2196,211.6901,11107.1738
"029","5am",53.1765,215.5219,4285.4213
"030","5am",88.1013,485.46,11140.6406
"031","5am",0,0,13568.2025
"032","5am",0,0,6764.2143
"033","5am",0,0,9953.21
"034","5am",0,87.5812,10594.134
"035","5am",84.6369,51.77,10276.1563
"036","5am",242.8273,334.5756,10992.4432
"037","5am",139.2902,201.994,10782.3291
"038","5am",102.2247,6045.3141,0
"039","5am",0,0,3580.5929
"041","5am",18130.3242,0,0
"042","5am",11294.5111,0,0
"043","5am",9293.6047,0,175.9773
"044","5am",18962.2476,0,0
"045","5am",4282.9942,77.0031,79.7224
"046","5am",6789.0233,0,0
"047","5am",11173.0104,0,0
"048","5am",7325.311,43.1334,0
"049","5am",7115.7948,0,80.021
"050","5am",1585.9624,24348.471,26.7609
"051","5am",773.6452,15952.2265,286.6406
"052","5am",34126.4158,119.0282,0
"053","5am",24416.0975,0,0
"054","5am",17144.2915,0,0
"055","5am",27009.3255,0,98.1706
"056","5am",571.0276,8956.2314,0
"057","5am",15457.1249,76.0399,0
"058","5am",17839.2469,146.4558,65.7113
"059","5am",8330.454,0,0
"060","5am",15094.4774,0,0
"061","5am",19483.3681,0,0
"062","5am",654.8254,15165.5934,0
"063","5am",8559.0895,0,0
"064","5am",7839.4472,0,0
"065","5am",7645.6109,34.247,0
"066","5am",13631.4958,0,0
"067","5am",17523.6988,0,0
"068","5am",9425.6921,119.6589,0
"001","6am",17080.6542,166.6185,249.4398
"002","6am",6171.623,270.3345,175.2035
"003","6am",11304.4092,0,0
"004","6am",12555.1092,400.9522,169.6316
"005","6am",15281.2163,940.0642,222.6701
"006","6am",373.8622,11822.5385,371.3032
"007","6am",9567.922,556.7717,385.8452
"008","6am",391.6788,9215.8971,0
"009","6am",248.5114,11554.0181,220.8151
"010","6am",966.9772,13810.1129,87.4781
"011","6am",266.9428,11560.0848,340.4616
"012","6am",0,6631.1648,379.9242
"013","6am",285.1794,12409.4357,47.04
"014","6am",0,8245.7613,226.5579
"015","6am",0,0,7239.8261
"016","6am",46.3348,234.3307,10740.5916
"017","6am",425.5536,212.8671,8862.5572
"018","6am",341.7293,248.3871,12930.9088
"019","6am",274.1474,7025.1438,111.9929
"020","6am",0,12910.4146,83.2218
"021","6am",54.3789,11045.8161,266.0712
"022","6am",0,147.1459,4819.8822
"023","6am",0,7611.1245,177.865
"024","6am",142.1078,182.5481,11800.7682
"025","6am",713.9418,986.8656,13688.0605
"026","6am",329.8952,0,7159.6444
"027","6am",419.5017,52.7753,13152.8002
"028","6am",656.0896,544.5003,10545.7955
"029","6am",96.3684,405.3583,4039.6687
"030","6am",401.0546,538.4192,10859.9697
"031","6am",100.2742,65.8468,13654.9574
"032","6am",111.7186,198.6282,6543.6719
"033","6am",0,47.2303,9940.162
"034","6am",66.0848,87.5812,10102.2321
"035","6am",181.5339,309.5138,10109.9086
"036","6am",1064.196,514.6155,11271.6839
"037","6am",394.1992,242.7162,10703.7585
"038","6am",102.2247,5769.8759,0
"039","6am",0,0,3429.8139
"041","6am",17674.5397,0,61.2537
"042","6am",10734.1286,0,0
"043","6am",8536.4682,0,175.9773
"044","6am",18473.5308,38.0511,103.7878
"045","6am",3841.2436,77.0031,162.9442
"046","6am",6533.0353,0,0
"047","6am",10528.5729,0,0
"048","6am",7253.2796,145.1583,0
"049","6am",6803.3611,0,80.021
"050","6am",2213.9251,22999.5852,182.7674
"051","6am",993.2744,15303.5764,286.6406
"052","6am",32655.5858,119.0282,0
"053","6am",22761.3331,135.4491,0
"054","6am",15392.3134,0,0
"055","6am",25356.0851,0,98.1706
"056","6am",571.0276,8605.5206,0
"057","6am",14299.4333,251.2873,0
"058","6am",16559.5242,208.5989,65.7113
"059","6am",7695.0369,0,0
"060","6am",14355.6311,0,0
"061","6am",17964.1712,0,70.6892
"062","6am",1334.7291,14503.3352,70.461
"063","6am",7883.0329,0,0
"064","6am",7594.5177,0,0
"065","6am",7040.5398,34.247,0
"066","6am",13193.1194,0,0
"067","6am",15892.6618,269.0053,0
"068","6am",8525.7258,148.3497,0
"001","7am",15647.9403,518.4963,364.5494
"002","7am",4887.1108,674.382,175.2035
"003","7am",8687.0846,0,0
"004","7am",11255.4307,615.3896,157.0466
"005","7am",12946.7193,1001.3188,419.6253
"006","7am",1252.0567,9969.3843,616.1454
"007","7am",8435.9546,941.4931,785.6259
"008","7am",900.0238,7164.7117,298.8677
"009","7am",721.5838,8968.8352,390.5957
"010","7am",1891.4347,11806.2814,589.3937
"011","7am",1129.2313,9737.3031,1294.4856
"012","7am",613.3813,6191.832,510.9789
"013","7am",531.9948,9368.219,245.3556
"014","7am",369.7218,6856.0931,400.3372
"015","7am",255.6074,104.6531,6355.7912
"016","7am",369.9535,390.0164,8481.7115
"017","7am",686.5231,816.1567,8302.3644
"018","7am",956.9453,914.799,11173.0522
"019","7am",1752.927,7312.2288,891.242
"020","7am",159.4338,10702.1872,425.5545
"021","7am",92.7051,9171.9429,468.516
"022","7am",99.9345,361.6756,4592.2624
"023","7am",244.8572,6374.5854,494.4374
"024","7am",249.5624,631.179,10743.7309
"025","7am",1681.2168,2092.3172,13078.4981
"026","7am",637.962,439.6138,6240.6931
"027","7am",1042.4472,223.7001,12254.3261
"028","7am",1818.9747,1923.3977,11158.6671
"029","7am",303.9189,541.4731,3665.4576
"030","7am",1723.4957,1190.5395,9554.5927
"031","7am",2262.7658,2129.7167,13491.366
"032","7am",1204.0585,946.2201,6615.705
"033","7am",332.2266,709.0717,10842.0868
"034","7am",188.3845,657.162,8709.3335
"035","7am",567.3868,727.1938,8412.3277
"036","7am",2262.5849,2903.6714,11849.1636
"037","7am",1276.512,1155.4508,9133.6236
"038","7am",158.7031,4485.1384,0
"039","7am",565.3284,375.6937,2920.9221
"041","7am",17408.1256,259.3735,251.8507
"042","7am",8535.813,93.263,0
"043","7am",7349.0971,106.653,95.9295
