"hour";"001";"002";"003";"004";"005";"006";"007";"008";"009";"010";"011";"012";"013";"014";"015";"016";"017";"018";"019";"020";"021";"022";"023";"024";"025";"026";"027";"028";"029";"030";"031";"032";"033";"034";"035";"036";"037";"038";"039";"040";"041";"042";"043";"044";"045";"046";"047";"048";"049";"050";"051";"052";"053";"054";"055";"056";"057";"058";"059";"060";"061";"062";"063";"064";"065";"066"
"12am";"1588.2205";"7137.0065";"2820.6368";"2482.7277";"1063.1883";"1028.4885";"1115.2021";"1137.0575";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"2303.7520";"   0.0000";"   0.0000";"1310.5057";"1443.0848";"1793.9425";"   0.0000";"1127.0453";"1315.9121";"   0.0000";"4075.1815";"3881.9623";"3047.0488";"   0.0000";"1621.0501";"5292.4307";"4618.5469";"6233.0323";"   0.0000";"2007.9050";"1049.9451";" 981.7858";"   0.0000";"   0.0000";"1198.3395";"2468.6988";"   0.0000";"   0.0000";" 987.2453";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"3681.6836";"   0.0000";"   0.0000";"1478.8234";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"1273.5325";"   0.0000";" 969.5675";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"0";"   0.0000";"   0.0000";"   0.0000"
"1pm";"1545.1729";"7450.2660";"3317.3012";"2475.4993";"1146.4149";"1603.6928";"1169.0483";"1478.0088";"   0.0000";"1038.2544";"1051.2762";"   0.0000";"2546.7455";"   0.0000";"   0.0000";"1082.1062";"1608.4411";"1696.0970";"   0.0000";"1406.2302";"1407.2513";"   0.0000";"5084.5562";"3985.7827";"3328.9364";"   0.0000";"1993.5536";"5229.1261";"5831.5236";"6379.0351";"   0.0000";"2532.9392";" 890.8792";" 861.9295";"   0.0000";"   0.0000";"1586.4803";"2302.0374";"   0.0000";"   0.0000";" 899.8509";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"3507.0492";"   0.0000";"   0.0000";"1572.1169";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"1914.8546";"   0.0000";"1327.9930";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000"
"2pm";"2082.7408";"7203.0292";"3702.6395";"2912.4541";"1341.1370";"1818.3473";"1492.5927";"2024.5851";"1012.9533";" 854.4037";"1180.4338";"   0.0000";"2629.7629";"   0.0000";"   0.0000";"1133.3780";"1612.4329";"1599.5251";"   0.0000";"1663.8541";"1255.4727";"   0.0000";"5353.1509";"4276.4798";"3435.0304";"   0.0000";"1993.5536";"5469.4690";"6066.0104";"6318.5030";"1076.5031";"2379.8722";"1166.2416";" 847.7201";"   0.0000";"   0.0000";"1800.7387";"2286.2123";"   0.0000";"   0.0000";" 929.4778";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"3768.9345";"   0.0000";"   0.0000";"2465.7607";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"1372.6600";"   0.0000";"1033.8128";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000"
"3pm";"2878.3765";"6628.7283";"3621.2545";"3247.8827";"1473.7922";"1583.0154";"1454.7263";"1938.6599";"1013.6899";" 928.8312";" 961.0539";"   0.0000";"2362.5630";"   0.0000";"   0.0000";"1113.6786";"1052.7642";"1344.5058";" 934.1901";"1712.8045";"1301.0413";"   0.0000";"5334.6670";"4430.6669";"3710.1606";"   0.0000";"1988.5280";"5140.6360";"6172.8965";"6158.0742";"1129.5644";"2709.2534";" 786.3249";" 984.8656";"   0.0000";"   0.0000";"1484.8236";"2511.1946";"   0.0000";"   0.0000";"1228.4100";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"3620.0638";"   0.0000";"   0.0000";"2231.3927";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"1453.7877";"   0.0000";"1017.9146";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000"
"4pm";"1515.5712";"5754.5326";"2656.0554";"2603.2824";"1621.1501";"1227.6359";"1372.7718";"1915.3349";"   0.0000";"   0.0000";"1403.2947";"   0.0000";"2242.2721";"   0.0000";"   0.0000";"1197.0082";"1175.4992";"   0.0000";"   0.0000";"1602.4649";" 912.0312";"   0.0000";"4548.6604";"3531.8096";"2661.9007";"   0.0000";"1790.0173";"4493.2011";"4528.8914";"5339.6787";"   0.0000";"1792.9166";"1013.9581";" 831.1470";"   0.0000";"   0.0000";"1233.7919";"2338.2552";"   0.0000";"   0.0000";"1188.1978";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"2860.8585";"   0.0000";"   0.0000";"1969.2170";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"2325.8309";"   0.0000";"1062.6521";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000"
"5pm";"1781.7662";"3377.6190";"1549.2289";"2151.1457";" 827.7904";"   0.0000";"1054.3935";"   0.0000";"   0.0000";"   0.0000";"1266.8785";"   0.0000";"1251.2331";"   0.0000";"   0.0000";" 939.1218";"   0.0000";"   0.0000";"   0.0000";"   0.0000";" 884.3387";"   0.0000";"2746.0158";"1875.2236";"1586.8405";"   0.0000";"   0.0000";"2289.8163";"2820.8362";"3485.6682";"   0.0000";"1374.5567";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"1760.0882";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"1977.1487";"   0.0000";"   0.0000";"1128.4687";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"1791.1161";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000"
"6pm";"1192.742";"2861.169";"1544.723";"1270.318";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"1105.124";"1073.921";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"1340.193";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"1101.893";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"1601.163";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000"
"7pm";"   0.000";"2363.610";"   0.000";"1279.799";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000"
"8pm";"   0.000";"1476.597";"   0.000";"1374.553";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"0";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000"
"9pm";"   0.000";"1355.585";"   0.000";"1328.147";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"0";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"0"
"10pm";"   0.0000";" 965.8773";"   0.0000";"1237.7818";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"0";"0";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"0";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"0";"   0.0000";"0";"0"
"11pm";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";" 0";"0";"0";" 0";" 0";" 0";"0";" 0";"0";" 0"
"12pm";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";" 0";" 0";"0";"0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";"0";"0";"0";"0";"0";" 0";"0";"0";"0";"0"
"1am";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";"0";" 0";" 0";"0";" 0";"0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";" 0";"0";"0";"0";"0";" 0";" 0";" 0";"0";"0";" 0";" 0";" 0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"2am";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";"0";" 0";" 0";"0";" 0";"0";" 0";"0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";" 0";"0";"0";"0";"0";" 0";" 0";" 0";"0";"0";" 0";" 0";" 0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"3am";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";"0";" 0";" 0";"0";" 0";"0";" 0";"0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";" 0";"0";"0";"0";"0";"0";" 0";" 0";"0";"0";" 0";" 0";" 0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
