"district","hour","resarea1","resarea2","resarea3"
"015","4pm",0,0,0
"001","5pm",0,440.329,1851.138
"002","5pm",0,243.834,1414.76
"003","5pm",0,555.517,1354.139
"004","5pm",0,385.916,0
"005","5pm",0,0,0
"006","5pm",0,0,648.211
"007","5pm",0,0,0
"008","5pm",0,538.25,574.677
"009","5pm",0,0,0
"010","5pm",0,0,0
"011","5pm",0,0,0
"012","5pm",0,0,0
"013","5pm",0,0,0
"014","5pm",0,0,0
"015","5pm",0,0,0
"001","6pm",0,0,805.099
"002","6pm",0,0,545.959
"003","6pm",0,348.671,457.982
"004","6pm",0,0,0
"005","6pm",0,0,0
"006","6pm",0,0,421.791
"007","6pm",0,0,0
"008","6pm",0,317.48,0
"009","6pm",0,0,0
"010","6pm",0,0,0
"011","6pm",0,0,0
"012","6pm",0,0,0
"013","6pm",0,0,0
"014","6pm",0,0,0
"015","6pm",0,0,0
"001","7pm",0,0,620.986
"002","7pm",0,0,0
"003","7pm",0,0,715.942
"004","7pm",0,0,0
"005","7pm",0,0,0
"006","7pm",0,0,0
"007","7pm",0,0,0
"008","7pm",0,0,0
"009","7pm",0,0,0
"010","7pm",0,0,0
"011","7pm",0,0,0
"012","7pm",0,0,0
"013","7pm",0,0,0
"014","7pm",0,0,0
"015","7pm",0,0,0
"001","8pm",0,0,339.026
"002","8pm",0,0,0
"003","8pm",0,0,697.956
"004","8pm",0,0,0
"005","8pm",0,0,0
"006","8pm",0,0,0
"007","8pm",0,0,0
"008","8pm",0,0,0
"009","8pm",0,0,0
"010","8pm",0,0,0
"011","8pm",0,0,0
"012","8pm",0,0,0
"013","8pm",0,0,0
"014","8pm",0,0,0
"015","8pm",0,0,0
"001","9pm",0,0,0
"002","9pm",0,0,0
"003","9pm",0,0,0
"004","9pm",0,0,0
"005","9pm",0,0,0
"006","9pm",0,0,0
"007","9pm",0,0,0
"008","9pm",0,0,0
"009","9pm",0,0,0
"010","9pm",0,0,0
"011","9pm",0,0,0
"012","9pm",0,0,0
"013","9pm",0,0,0
"014","9pm",0,0,0
"015","9pm",0,0,0
"001","10pm",0,0,0
"002","10pm",0,0,0
"003","10pm",0,0,0
"004","10pm",0,0,0
"005","10pm",0,0,0
"006","10pm",0,0,0
"007","10pm",0,0,0
"008","10pm",0,0,0
"009","10pm",0,0,0
"010","10pm",0,0,0
"011","10pm",0,0,0
"012","10pm",0,0,0
"013","10pm",0,0,0
"014","10pm",0,0,0
"015","10pm",0,0,0
"001","11pm",0,0,0
"002","11pm",0,0,0
"003","11pm",0,0,0
"004","11pm",0,0,0
"005","11pm",0,0,0
"006","11pm",0,0,0
"007","11pm",0,0,0
"008","11pm",0,0,0
"009","11pm",0,0,0
"010","11pm",0,0,0
"011","11pm",0,0,0
"012","11pm",0,0,0
"013","11pm",0,0,0
"014","11pm",0,0,0
"015","11pm",0,0,0
"001","12pm",0,0,0
"002","12pm",0,0,0
"003","12pm",0,0,0
"004","12pm",0,0,0
"005","12pm",0,0,0
"006","12pm",0,0,0
"007","12pm",0,0,0
"008","12pm",0,0,0
"009","12pm",0,0,0
"010","12pm",0,0,0
"011","12pm",0,0,0
"012","12pm",0,0,0
"013","12pm",0,0,0
"014","12pm",0,0,0
"015","12pm",0,0,0
"001","1am",0,0,0
"002","1am",0,0,0
"003","1am",0,0,0
"004","1am",0,0,0
"005","1am",0,0,0
"006","1am",0,0,0
"007","1am",0,0,0
"008","1am",0,0,0
"009","1am",0,0,0
"010","1am",0,0,0
"011","1am",0,0,0
"012","1am",0,0,0
"013","1am",0,0,0
"014","1am",0,0,0
"015","1am",0,0,0
"001","2am",0,0,0
"002","2am",0,0,0
"003","2am",0,0,0
"004","2am",0,0,0
"005","2am",0,0,0
"006","2am",0,0,0
"007","2am",0,0,0
"008","2am",0,0,0
"009","2am",0,0,0
"010","2am",0,0,0
"011","2am",0,0,0
"012","2am",0,0,0
"013","2am",0,0,0
"014","2am",0,0,0
"015","2am",0,0,0
"001","3am",0,0,0
"002","3am",0,0,0
"003","3am",0,0,0
"004","3am",0,0,0
"005","3am",0,0,0
"006","3am",0,0,0
"007","3am",0,0,0
"008","3am",0,0,0
"009","3am",0,0,0
"010","3am",0,0,0
"011","3am",0,0,0
"012","3am",0,0,0
"013","3am",0,0,0
"014","3am",0,0,0
"015","3am",0,0,0
