"district","hour","educmen1","educmen2","educmen3","educmen4"
"003","12am",9.568323,38.35835,31.22811,20.845221
"004","12am",12.866471,39.11838,38.83883,9.176322
"005","12am",11.146,35.5478,36.5923,16.713901
"006","12am",14.748299,38.61721,35.38543,11.249069
"007","12am",19.252524,47.40853,22.96535,10.373596
"008","12am",10.560355,40.03121,31.01607,18.392363
"009","12am",8.586442,43.32403,38.9151,9.174429
"010","12am",10.563583,49.95679,29.60836,9.871275
"011","12am",19.563024,47.11918,16.8164,16.501396
"012","12am",12.260665,53.79129,29.22197,4.726082
"013","12am",16.627967,36.28134,34.37192,12.718766
"014","12am",10.430097,41.4163,36.39187,11.761735
"015","12am",10.311709,42.70203,26.18008,20.806179
"001","1pm",10.526675,28.07576,29.51376,31.883809
"002","1pm",6.709476,24.90785,36.8726,31.51007
"003","1pm",8.585925,38.35826,30.59688,22.458931
"004","1pm",13.319783,35.06604,41.63932,9.974852
"005","1pm",12.621217,39.52911,33.26247,14.587205
"006","1pm",14.122726,41.93315,32.52263,11.421489
"007","1pm",17.798665,50.10932,26.75141,5.340608
"008","1pm",12.010531,41.45053,30.70675,15.83219
"009","1pm",9.593463,48.10643,35.6608,6.6393
"010","1pm",13.821368,46.64688,27.23887,12.292884
"011","1pm",16.735121,43.60926,21.14408,18.51154
"012","1pm",15.266107,57.02212,24.84258,2.869198
"013","1pm",15.622115,37.66159,38.43382,8.282474
"014","1pm",12.18291,46.60555,34.1385,7.073042
"015","1pm",9.641931,42.07298,26.1566,22.128489
"001","2pm",9.56357,30.27348,30.59526,29.567686
"002","2pm",5.569558,27.42733,35.081,31.922113
"003","2pm",9.87151,36.54582,29.3311,24.25157
"004","2pm",15.67125,41.89151,30.18786,12.249378
"005","2pm",11.168722,37.52349,34.62057,16.687216
"006","2pm",15.736549,47.59102,25.99236,10.68007
"007","2pm",16.41655,39.7141,38.85221,5.017141
"008","2pm",13.25841,37.18362,34.19785,15.360128
"009","2pm",10.205714,53.15685,29.42408,7.21336
"010","2pm",14.619418,49.96874,25.28444,10.127396
"011","2pm",20.19603,42.08805,18.81306,18.902863
"012","2pm",15.391767,48.21733,33.67155,2.719349
"013","2pm",15.472919,36.74551,38.03518,9.746398
"014","2pm",9.01884,38.49,43.95153,8.53963
"015","2pm",9.085924,47.2479,24.99672,18.669454
"001","3pm",6.958276,31.57885,31.67153,29.791346
"002","3pm",7.28156,25.48516,35.76996,31.463318
"003","3pm",9.840319,37.98773,29.62362,22.54833
"004","3pm",14.816461,37.8107,32.8959,14.476936
"005","3pm",11.755445,41.91729,28.33474,17.992522
"006","3pm",14.991986,50.27436,23.02211,11.711541
"007","3pm",18.234315,39.10175,38.21542,4.448518
"008","3pm",13.020283,40.08961,33.8204,13.069708
"009","3pm",9.007742,52.17214,30.31374,8.506374
"010","3pm",14.134577,54.55228,23.82305,7.490084
"011","3pm",19.036648,39.08201,23.90313,17.978204
"012","3pm",14.189522,48.29078,32.7772,4.742495
"013","3pm",14.210174,34.34228,40.08934,11.35821
"014","3pm",15.917864,46.02863,29.51311,8.540394
"015","3pm",11.296008,48.38619,24.58842,15.729381
"001","4pm",7.173597,27.62389,35.48017,29.722338
"002","4pm",7.374993,24.91879,35.13266,32.573556
"003","4pm",9.51802,36.33163,31.79926,22.351083
"004","4pm",13.931443,33.58104,37.55031,14.937208
"005","4pm",10.61464,35.75979,37.10833,16.517232
"006","4pm",16.789852,44.16285,26.44022,12.607071
"007","4pm",18.741011,48.75346,25.44031,7.065216
"008","4pm",12.224119,44.47308,26.3671,16.935702
"009","4pm",9.328257,56.78244,29.84338,4.045923
"010","4pm",11.753771,50.64381,29.74634,7.856084
"011","4pm",18.260919,38.59779,21.83645,21.304847
"012","4pm",14.815886,45.31274,35.89571,3.975657
"013","4pm",16.42437,37.56233,34.26542,11.747887
"014","4pm",14.448914,48.88249,27.2449,9.423698
"015","4pm",8.287497,41.65186,28.15179,21.908853
