"hour";"001";"002";"003";"004";"005";"006";"007";"008";"009";"010";"011";"012";"013";"014";"015";"016";"017";"018";"019";"020";"021";"022";"023";"024";"025";"026";"027";"028";"029"
"min";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"max";"9832.56";"9832.56";"9832.56";"9832.56";"9832.56";"9832.56";"9832.56";"9832.56";"9832.56";"9832.56";"9832.56";"9832.56";"9832.56";"9832.56";"9832.56";"9832.56";"9832.56";"9832.56";"9832.56";"9832.56";"9832.56";"9832.56";"9832.56";"9832.56";"9832.56";"9832.56";"9832.56";"9832.56";"9832.56"
"4am";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";"0";" 0"
"5am";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"0";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"0";"  0.00";"  0.00";"0";"165.36"
"6am";"190.80";"  0.00";"  0.00";"  0.00";"178.08";"203.52";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"190.80";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"483.36"
"7am";" 788.64";" 318.00";"   0.00";" 546.96";" 470.64";" 343.44";" 241.68";" 457.92";"   0.00";"   0.00";"   0.00";" 190.80";" 496.08";" 178.08";" 496.08";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";" 165.36";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"1475.52"
"8am";"1424.64";" 674.16";"   0.00";"1068.48";" 648.72";" 419.76";" 508.80";" 636.00";"   0.00";"   0.00";" 165.36";" 419.76";" 737.76";" 241.68";" 496.08";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";" 279.84";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"2047.92"
"9am";"1526.40";" 775.92";"   0.00";"1272.00";" 737.76";" 381.60";" 508.80";" 636.00";"   0.00";" 216.24";" 178.08";" 496.08";" 864.96";" 267.12";" 508.80";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";" 254.40";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"2175.12"
"10am";"1526.40";" 839.52";"   0.00";"1361.04";" 775.92";" 381.60";" 534.24";" 597.84";"   0.00";" 216.24";" 178.08";" 597.84";" 839.52";" 267.12";" 546.96";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";" 241.68";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"2327.76"
"11am";"1704.48";" 814.08";"   0.00";"1259.28";" 763.20";" 394.32";" 546.96";" 648.72";"   0.00";" 216.24";" 216.24";" 572.40";" 864.96";" 279.84";" 508.80";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";" 267.12";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"2315.04"
