"hour","001","002","003","004","005","006","007","008","009","010","011","012","013","014","015","016","017","018","019","020","021","022","023","024","025","026","027","028","029","030","031","032","033","034","035","036","037","038","039","040","041","042","043","044","045","046","047","048","049","051","052","053","101","102","103","104","105","106","107","108","110","111","112","113","114","115","116","117","118","119","120","121","122","123","124","125","126","127","128","129","130","131","132","133","134","135","136","200","201","202","203","204","205","206","208","209","210","211","213","214","215","216","217","218","219","220","221","222","223","224","226","227","228","229","231","232","233"
"min",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"max",19603.86601,19603.86601,19603.86601,19603.86601,19603.86601,19603.86601,19603.86601,19603.86601,19603.86601,19603.86601,19603.86601,19603.86601,19603.86601,19603.86601,19603.86601,19603.86601,19603.86601,19603.86601,19603.86601,19603.86601,19603.86601,19603.86601,19603.86601,19603.86601,19603.86601,19603.86601,19603.86601,19603.86601,19603.86601,19603.86601,19603.86601,19603.86601,19603.86601,19603.86601,19603.86601,19603.86601,19603.86601,19603.86601,19603.86601,19603.86601,19603.86601,19603.86601,19603.86601,19603.86601,19603.86601,19603.86601,19603.86601,19603.86601,19603.86601,19603.86601,19603.86601,19603.86601,19603.86601,19603.86601,19603.86601,19603.86601,19603.86601,19603.86601,19603.86601,19603.86601,19603.86601,19603.86601,19603.86601,19603.86601,19603.86601,19603.86601,19603.86601,19603.86601,19603.86601,19603.86601,19603.86601,19603.86601,19603.86601,19603.86601,19603.86601,19603.86601,19603.86601,19603.86601,19603.86601,19603.86601,19603.86601,19603.86601,19603.86601,19603.86601,19603.86601,19603.86601,19603.86601,19603.86601,19603.86601,19603.86601,19603.86601,19603.86601,19603.86601,19603.86601,19603.86601,19603.86601,19603.86601,19603.86601,19603.86601,19603.86601,19603.86601,19603.86601,19603.86601,19603.86601,19603.86601,19603.86601,19603.86601,19603.86601,19603.86601,19603.86601,19603.86601,19603.86601,19603.86601,19603.86601,19603.86601,19603.86601,19603.86601
"4am",0,0,0,0,0,0,949.25493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1641.63847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1181.93922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5am",0,0,0,0,0,974.49688,1100.63748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1272.2039,0,0,0,0,0,0,0,0,1910.75026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1235.08857,0,1686.93044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,829.61188,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6am",0,1671.90522,0,996.88856,0,1418.58037,1658.36072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1468.15854,0,0,940.2025,0,0,0,1663.95805,1770.91178,822.95749,0,709.17077,0,0,0,0,2744.11655,0,0,0,0,1473.14301,0,0,0,0,0,792.80931,0,0,885.47338,0,0,639.75074,0,0,0,0,0,2341.84597,0,2408.35624,508.8925,1086.88134,0,0,0,0,0,0,0,0,0,755.8718,0,0,0,0,0,0,0,0,0,0,0,0,832.88091,0,0,0,0,0,1163.27698,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7am",1820.99565,5407.27253,1253.65418,3874.88483,3150.61472,3605.72812,6322.05794,984.96641,1307.36191,1193.13688,1193.4044,0,0,1894.36914,0,1696.15794,4617.18079,1723.70065,1187.30097,2420.66476,873.48403,3074.27028,3066.25951,1979.80169,0,1474.00897,1271.53995,1660.45413,932.06926,7993.5692,4562.58351,1566.44501,1783.65869,3524.77936,1484.79366,1168.78237,693.67098,5051.25308,3068.52981,2219.67582,1652.07091,1924.54236,992.19264,0,0,1146.62572,5213.15146,0,3155.06514,0,1156.33264,4014.93875,0,0,0,1217.60554,0,2032.37715,827.76181,0,2840.37035,0,0,3602.48991,0,0,2614.7325,0,2130.06397,5380.54504,859.99909,4995.71964,1380.03375,1992.66425,0,0,0,591.67783,933.85804,1113.45,0,521.21454,846.93085,2789.94093,0,0,724.53204,1287.66717,0,1604.78266,0,0,1717.82241,0,785.12641,0,2793.30452,0,0,0,1478.70907,0,4290.73852,0,0,884.68868,0,1120.72169,0,750.55019,0,0,1308.54751,803.38719,1781.14253,0,0
"8am",6942.28442,11209.51429,3941.60783,9439.28815,4957.25975,6504.64862,14919.57043,2019.41469,1651.24098,3376.21331,1711.85854,1532.27709,1228.7887,3920.69677,871.64274,3428.02535,6238.71332,3843.45265,2582.49646,4988.04883,1584.89034,4350.68899,5637.11821,4538.8979,2102.87922,3274.76817,3002.11085,2745.01941,2328.59176,15832.33342,9601.19489,3173.46497,2496.48111,8565.68595,2682.72843,2962.04558,1193.82153,8069.39794,4660.98241,3155.03218,2567.59361,3277.56871,1871.76401,1685.2365,886.29747,2374.90696,7253.01464,946.00629,4714.13467,1358.552,1957.6231,9205.04875,0,1093.86626,969.74838,3380.78885,0,4268.38886,1795.87615,1423.59906,4465.77638,1595.10516,977.39431,7769.88354,869.35671,0,3509.14132,0,3824.23842,8094.64634,1738.8576,6799.53799,1844.74538,2528.86567,0,1453.73468,0,1664.15325,1321.77012,1658.38818,1085.39521,1424.1532,1210.11738,3437.50467,0,0,1367.15232,2029.32732,0,2214.65659,1420.08909,631.28172,3126.04927,1063.24112,1621.02982,0,4514.09548,682.2437,0,775.25216,2206.61749,859.9578,6280.9835,1502.19987,1125.40276,1461.44398,1015.96133,1550.47077,0,2708.44712,1220.05775,973.99883,2498.93577,1741.54119,2194.32655,0,0
"9am",11872.4399,13278.13634,4003.36332,11610.28298,5806.75346,6955.77564,18764.67367,2850.04532,1574.18566,3476.07655,2453.33953,1946.86143,1761.80924,4689.70125,1296.36883,4733.64411,7594.33083,4716.41149,4095.907,5708.05983,2285.02464,4513.60368,7396.22616,5936.84097,2678.04178,4444.19165,4032.56726,3875.56985,3376.39946,19425.98587,11524.52634,3974.37157,3016.31896,11556.67715,3264.6204,4090.10724,1406.7395,9680.46856,5098.2628,3749.83186,3962.75802,4128.85994,2009.73391,1768.66405,786.63667,3182.15951,8155.74762,1110.77155,4709.54742,1705.0766,2270.65967,10805.70153,0,1132.41048,1234.10409,4339.93739,0,4812.95234,2092.87254,1723.21995,5340.36852,2131.32314,1508.23808,8593.3454,1274.86652,742.0208,4152.2729,826.0183,5341.61119,8913.37714,2767.46609,7257.62645,1973.8504,3141.70909,695.73594,1823.91259,0,2079.18614,1572.81232,1737.05938,1127.64221,1821.37969,1314.9543,4195.41495,0,770.30602,1667.11497,2443.76712,1347.5673,2758.13442,2003.70065,841.27557,3524.94415,1280.42488,2150.6523,0,5419.85524,809.54742,770.43852,850.56545,2289.02304,1071.8864,6812.02256,1784.93091,1424.38175,1687.34294,1113.25526,1803.095,0,3377.60848,908.13118,942.43161,2800.44281,1740.44195,2285.37618,0,0
"10am",13178.84499,14248.80912,4388.26512,12375.45698,5814.09367,6981.10398,18827.7532,2858.65839,1924.19437,3633.04497,2822.90368,1877.89529,1642.1692,4637.64219,1567.55833,4711.1857,8096.45635,5012.85251,4348.45876,5611.72095,2552.45299,5022.98417,7021.13539,5964.43185,2402.1101,4626.44767,4653.19958,4665.67631,3338.77757,19603.86601,11992.03144,4147.42691,3029.38526,12918.99834,3243.06002,4668.13929,1891.78843,9593.78383,5138.04511,3743.39845,4027.88869,3873.29873,2221.67964,1658.81144,1057.81518,4178.0432,8055.6747,1282.61652,5170.81345,2022.87983,1642.9451,11369.50629,0,1283.80838,1466.72505,4523.97729,0,4953.50618,2429.79327,1923.99522,5530.45022,2516.9075,2187.9044,8734.91655,1574.27059,833.3491,4572.26551,1019.9083,5772.73074,9340.83458,3425.64538,7070.46181,1884.46378,3092.65269,895.80431,1862.78994,624.52148,2430.6204,1498.50954,1656.53487,1373.65014,2145.06844,1283.87736,4806.22868,0,749.46842,1466.77704,2419.94924,1263.87507,3107.57525,2503.11332,1137.80109,3394.07492,1341.71734,2639.27398,926.52215,5746.75526,780.1442,862.51886,1016.79601,2226.44443,982.17495,6514.32707,1883.17515,1456.52083,1715.10032,1251.22261,1903.45173,831.7796,3093.9874,908.13118,1055.94146,2895.70126,1873.65347,2810.32536,0,0
