"hour","mode1","mode2","mode3"
"4am",0.3695,0.2297,0.2075
"5am",0.3656,0.2275,0.2034
"6am",0.4378,0.2316,0.2025
"7am",0.494,0.231,0.178
"8am",0.4813,0.2009,0.1719
"9am",0.48,0.2096,0.19
"10am",0.4825,0.2061,0.178
"11am",0.4792,0.2125,0.182
"12am",0.4758,0.2328,0.1897
"1pm",0.4673,0.2243,0.182
"2pm",0.4499,0.2178,0.1746
"3pm",0.4294,0.2092,0.1762
"4pm",0.427,0.2162,0.1851
"5pm",0.3927,0.2245,0.1914
"6pm",0.3451,0.2282,0.2033
"7pm",0.3463,0.2274,0.1997
"8pm",0.3548,0.2223,0.1936
"9pm",0.3551,0.2246,0.1981
"10pm",0.3674,0.2253,0.1994
"11pm",0.3656,0.23,0.206
"12pm",0.3653,0.2302,0.2065
"1am",0.3654,0.2294,0.2059
"2am",0.3647,0.2302,0.2061
"3am",0.3643,0.2299,0.2065
