"hour","resarea1","resarea2","resarea3"
"4am",0.9821,0.9823,0.9803
"5am",0.9711,0.9717,0.9733
"6am",0.952,0.9556,0.962
"7am",0.817,0.8478,0.869
"8am",0.6798,0.7173,0.7556
"9am",0.6352,0.6775,0.7076
"10am",0.6157,0.6587,0.7035
"11am",0.6318,0.6708,0.7044
"12am",0.6851,0.7352,0.7543
"1pm",0.6482,0.6863,0.7121
"2pm",0.6179,0.656,0.6752
"3pm",0.6318,0.6632,0.6832
"4pm",0.6953,0.7168,0.7321
"5pm",0.816,0.8304,0.8259
"6pm",0.9028,0.8938,0.8894
"7pm",0.936,0.927,0.9206
"8pm",0.9464,0.9353,0.9311
"9pm",0.9584,0.9523,0.946
"10pm",0.9673,0.9651,0.9601
"11pm",0.9797,0.9787,0.974
"12pm",0.9838,0.9845,0.9794
"1am",0.9858,0.9866,0.9829
"2am",0.9878,0.9884,0.9873
"3am",0.9884,0.989,0.9886
