"hour","cs1","cs2","cs3","cs4","cs5"
"4am",0.1991,0.2145,0.161,0.1524,0.2095
"5am",0.1964,0.2203,0.16,0.1459,0.2024
"6am",0.1907,0.2167,0.1545,0.1435,0.1958
"7am",0.1761,0.2152,0.1479,0.1435,0.1935
"8am",0.1888,0.2042,0.128,0.1502,0.2034
"9am",0.1949,0.2014,0.1329,0.1569,0.2042
"10am",0.2073,0.1963,0.1303,0.1568,0.2231
"11am",0.1979,0.1995,0.1269,0.1448,0.2016
"12am",0.2046,0.198,0.1218,0.1491,0.1866
"1pm",0.2037,0.1964,0.1229,0.139,0.1937
"2pm",0.2034,0.1854,0.1227,0.1315,0.1843
"3pm",0.2079,0.1862,0.1312,0.1368,0.1995
"4pm",0.189,0.1727,0.14,0.1566,0.2012
"5pm",0.1851,0.1803,0.1468,0.1457,0.2099
"6pm",0.1869,0.1964,0.1594,0.1508,0.1888
"7pm",0.1948,0.203,0.1572,0.1522,0.1991
"8pm",0.1961,0.2067,0.1582,0.1534,0.2061
"9pm",0.1971,0.2116,0.1624,0.1543,0.2081
"10pm",0.1964,0.2134,0.1612,0.1527,0.2081
"11pm",0.1952,0.2148,0.1653,0.1533,0.2101
"12pm",0.1965,0.2145,0.1659,0.1538,0.2094
"1am",0.1972,0.2154,0.1657,0.1535,0.2075
"2am",0.1971,0.2143,0.1658,0.1531,0.2064
"3am",0.1969,0.2158,0.1663,0.1526,0.2067
